chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.008518	chr02	0.060562	-29.551	0	6.77
chr02	2	0.009368	chr01	0.060562	-29.551	0	6.77
chr03	2	0.010364	chr09	0.060785	-29.463	0	6.20
chr04	2	0.008928	chr08	0.060131	-29.721	0	6.57
chr05	2	0.008049	chr11	0.060754	-29.475	0	7.14
chr06	2	0.008672	chr17	0.128273	-2.749	0.0284927	14.48
chr07	2	0.010635					
chr08	2	0.009374	chr04	0.060131	-29.721	0	6.57
chr09	2	0.009237	chr03	0.060785	-29.463	0	6.20
chr10	2	0.007941	chr14	0.057232	-30.869	0	6.83
chr11	2	0.008971	chr05	0.060754	-29.475	0	7.14
chr12	2	0.010126					
chr13	2	0.020756					
chr14	2	0.008820	chr10	0.057232	-30.869	0	6.83
chr15	2	0.008571	chr20	0.057840	-30.628	0	7.78
chr16	2	0.009296					
chr17	2	0.009049	chr06	0.128273	-2.749	0.0284927	14.48
chr18	2	0.009049	chr21	0.061407	-29.216	0	8.59
chr19	2	0.008955					
chr20	2	0.006296	chr15	0.057840	-30.628	0	7.78
chr21	2	0.005245	chr18	0.061407	-29.216	0	8.59
