chrom_a	chrom_b	mean_distance	z_score	p_value	q_value	n_haplotype_copy_pairs	resolution_limited	n_resolution_limited_of_total
chr01	chr05	0.085408	-10.084	0	0	4	False	0/4
chr02	chr04	0.085440	-10.076	0	0	4	False	0/4
chr09	chr10	0.086911	-9.702	0	0	4	False	0/4
chr06	chr14	0.087491	-9.555	0	0	4	False	0/4
chr21	chr24	0.088268	-9.358	0	0	4	False	0/4
chr18	chr23	0.089324	-9.090	0	0	4	False	0/4
chr08	chr20	0.093634	-7.996	6.66134e-16	3.09276e-14	4	False	0/4
chr12	chr16	0.094442	-7.791	3.33067e-15	1.35308e-13	4	False	0/4
chr13	chr15	0.095425	-7.541	2.32592e-14	8.39915e-13	4	False	0/4
chr11	chr19	0.102952	-5.631	8.95764e-09	2.91123e-07	4	False	0/4
chr03	chr17	0.103702	-5.441	2.6562e-08	7.19388e-07	4	False	0/4
chr07	chr25	0.105899	-4.883	5.2272e-07	1.21346e-05	4	False	0/4
chr22	chr26	0.110641	-3.679	0.000116945	0.00223572	4	False	0/4
