unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b	te_marker_fraction	windowed_distance_cv
HAP1_chr01	HAP2_chr01	chr01	1700	3618	16830	18630	0.149972	0.036387
HAP1_chr01	HAP3_chr01	chr01	1751	3563	16830	18380	0.150923	0.024937
HAP1_chr01	HAP4_chr01	chr01	1700	3731	16830	18869	0.152133	0.044924
HAP2_chr01	HAP3_chr01	chr01	1912	1697	18630	18380	0.097514	0.066988
HAP2_chr01	HAP4_chr01	chr01	1583	1774	18630	18869	0.089522	0.088161
HAP3_chr01	HAP4_chr01	chr01	1543	1967	18380	18869	0.094231	0.159902
HAP1_chr02	HAP2_chr02	chr02	1071	1354	10259	10533	0.116631	0.271401
HAP1_chr02	HAP3_chr02	chr02	877	2295	10259	11685	0.144550	0.018300
HAP1_chr02	HAP4_chr02	chr02	1365	2518	10259	11681	0.176983	0.045765
HAP2_chr02	HAP3_chr02	chr02	1153	2236	10533	11685	0.152534	0.057643
HAP2_chr02	HAP4_chr02	chr02	1445	2308	10533	11681	0.168948	0.021372
HAP3_chr02	HAP4_chr02	chr02	2378	2105	11685	11681	0.191860	0.017715
HAP1_chr03	HAP2_chr03	chr03	2459	12023	33817	43207	0.188019	0.035602
HAP1_chr03	HAP3_chr03	chr03	2038	17250	33817	48372	0.234679	0.020360
HAP1_chr03	HAP4_chr03	chr03	1514	30570	33817	61771	0.335649	0.017991
HAP2_chr03	HAP3_chr03	chr03	4010	9539	43207	48372	0.147949	0.018224
HAP2_chr03	HAP4_chr03	chr03	2710	21446	43207	61771	0.230105	0.023211
HAP3_chr03	HAP4_chr03	chr03	3672	16887	48372	61771	0.186657	0.021945
HAP1_chr04	HAP2_chr04	chr04	1329	916	4574	4173	0.256659	0.145768
HAP1_chr04	HAP3_chr04	chr04	630	3010	4574	6972	0.315261	0.164886
HAP1_chr04	HAP4_chr04	chr04	978	1627	4574	5207	0.266333	0.080269
HAP2_chr04	HAP3_chr04	chr04	357	3164	4173	6972	0.315926	0.012876
HAP2_chr04	HAP4_chr04	chr04	301	1348	4173	5207	0.175800	0.012068
HAP3_chr04	HAP4_chr04	chr04	2629	870	6972	5207	0.287298	0.073353
HAP1_chr05	HAP2_chr05	chr05	1784	1345	18914	18480	0.083677	0.077389
HAP1_chr05	HAP3_chr05	chr05	1899	3311	18914	20307	0.132837	0.309318
HAP1_chr05	HAP4_chr05	chr05	1982	3640	18914	20153	0.143907	0.222909
HAP2_chr05	HAP3_chr05	chr05	1163	3017	18480	20307	0.107768	0.232266
HAP2_chr05	HAP4_chr05	chr05	1627	3709	18480	20153	0.138120	0.205013
HAP3_chr05	HAP4_chr05	chr05	3045	3087	20307	20153	0.151557	0.134829
HAP1_chr06	HAP2_chr06	chr06	840	2208	8057	9493	0.173675	0.084719
HAP1_chr06	HAP3_chr06	chr06	701	2286	8057	9701	0.168206	0.070908
HAP1_chr06	HAP4_chr06	chr06	745	4728	8057	12029	0.272478	0.046589
HAP2_chr06	HAP3_chr06	chr06	1297	1346	9493	9701	0.137699	0.028839
HAP2_chr06	HAP4_chr06	chr06	923	3380	9493	12029	0.199935	0.067940
HAP3_chr06	HAP4_chr06	chr06	1050	3441	9701	12029	0.206673	0.092329
HAP1_chr07	HAP2_chr07	chr07	586	4457	11654	15526	0.185541	0.062698
HAP1_chr07	HAP3_chr07	chr07	385	8000	11654	19273	0.271122	0.094015
HAP1_chr07	HAP4_chr07	chr07	511	9516	11654	20517	0.311678	0.047880
HAP2_chr07	HAP3_chr07	chr07	832	4545	15526	19273	0.154516	0.033226
HAP2_chr07	HAP4_chr07	chr07	754	5682	15526	20517	0.178564	0.034672
HAP3_chr07	HAP4_chr07	chr07	1309	2546	19273	20517	0.096884	0.040062
HAP1_chr08	HAP2_chr08	chr08	712	1213	6066	6574	0.152294	0.270030
HAP1_chr08	HAP3_chr08	chr08	621	1480	6066	6909	0.161927	0.194237
HAP1_chr08	HAP4_chr08	chr08	319	1977	6066	7702	0.166764	0.113763
HAP2_chr08	HAP3_chr08	chr08	639	1056	6574	6909	0.125714	0.223817
HAP2_chr08	HAP4_chr08	chr08	345	1510	6574	7702	0.129938	0.032472
HAP3_chr08	HAP4_chr08	chr08	1064	1507	6909	7702	0.175963	0.148953
HAP1_chr09	HAP2_chr09	chr09	1209	1012	9641	9503	0.116015	0.074743
HAP1_chr09	HAP3_chr09	chr09	964	2373	9641	11052	0.161262	0.210902
HAP1_chr09	HAP4_chr09	chr09	1232	1330	9641	9680	0.132602	0.099793
HAP2_chr09	HAP3_chr09	chr09	647	2229	9503	11052	0.139917	0.088334
HAP2_chr09	HAP4_chr09	chr09	817	1070	9503	9680	0.098368	0.147780
HAP3_chr09	HAP4_chr09	chr09	2002	859	11052	9680	0.137999	0.103462
HAP1_chr10	HAP2_chr10	chr10	875	2437	5565	7129	0.260911	0.054049
HAP1_chr10	HAP3_chr10	chr10	796	1315	5565	6027	0.182108	0.060787
HAP1_chr10	HAP4_chr10	chr10	549	2782	5565	7796	0.249308	0.009655
HAP2_chr10	HAP3_chr10	chr10	2493	1026	7129	6027	0.267483	0.013239
HAP2_chr10	HAP4_chr10	chr10	1635	1934	7129	7796	0.239129	0.010890
HAP3_chr10	HAP4_chr10	chr10	729	2778	6027	7796	0.253708	0.013310
HAP1_chr11	HAP2_chr11	chr11	2428	2896	11110	11509	0.235377	0.021881
HAP1_chr11	HAP3_chr11	chr11	1850	3089	11110	12192	0.211956	0.012886
HAP1_chr11	HAP4_chr11	chr11	2286	9257	11110	17274	0.406673	0.007057
HAP2_chr11	HAP3_chr11	chr11	1854	2701	11509	12192	0.192186	0.218198
HAP2_chr11	HAP4_chr11	chr11	1729	8550	11509	17274	0.357121	0.006804
HAP3_chr11	HAP4_chr11	chr11	2138	8044	12192	17274	0.345551	0.006939
HAP1_chr12	HAP2_chr12	chr12	1124	3568	7461	10225	0.265295	0.113699
HAP1_chr12	HAP3_chr12	chr12	639	1069	7461	7902	0.111176	0.084631
HAP1_chr12	HAP4_chr12	chr12	558	1808	7461	8709	0.146320	0.095296
HAP2_chr12	HAP3_chr12	chr12	3469	1474	10225	7902	0.272687	0.201409
HAP2_chr12	HAP4_chr12	chr12	3181	1888	10225	8709	0.267719	0.126899
HAP3_chr12	HAP4_chr12	chr12	824	1571	7902	8709	0.144182	0.258198
HAP1_chr13	HAP2_chr13	chr13	1007	1748	7455	8214	0.175825	0.010886
HAP1_chr13	HAP3_chr13	chr13	1528	6915	7455	12808	0.416671	0.124917
HAP1_chr13	HAP4_chr13	chr13	1399	6177	7455	12233	0.384803	0.021062
HAP2_chr13	HAP3_chr13	chr13	2296	6876	8214	12808	0.436305	0.012119
HAP2_chr13	HAP4_chr13	chr13	1672	5685	8214	12233	0.359808	0.162592
HAP3_chr13	HAP4_chr13	chr13	2668	2074	12808	12233	0.189369	0.131650
HAP1_chr14	HAP2_chr14	chr14	857	1476	6654	7265	0.167613	0.338316
HAP1_chr14	HAP3_chr14	chr14	886	1784	6654	7578	0.187605	0.184181
HAP1_chr14	HAP4_chr14	chr14	635	2019	6654	8047	0.180532	0.039636
HAP2_chr14	HAP3_chr14	chr14	1587	1865	7265	7578	0.232568	0.028203
HAP2_chr14	HAP4_chr14	chr14	1283	2057	7265	8047	0.218130	0.011577
HAP3_chr14	HAP4_chr14	chr14	1523	2000	7578	8047	0.225472	0.169998
HAP1_chr15	HAP2_chr15	chr15	852	1200	7417	7759	0.135213	0.067210
HAP1_chr15	HAP3_chr15	chr15	1053	2453	7417	8845	0.215595	0.011004
HAP1_chr15	HAP4_chr15	chr15	946	2226	7417	8703	0.196774	0.070332
HAP2_chr15	HAP3_chr15	chr15	1045	2112	7759	8845	0.190135	0.066967
HAP2_chr15	HAP4_chr15	chr15	1103	2150	7759	8703	0.197607	0.173262
HAP3_chr15	HAP4_chr15	chr15	1383	1184	8845	8703	0.146284	0.064261
HAP1_chr16	HAP2_chr16	chr16	1003	1595	9540	10120	0.132146	0.089647
HAP1_chr16	HAP3_chr16	chr16	1035	1942	9540	10447	0.148947	0.156384
HAP1_chr16	HAP4_chr16	chr16	716	3071	9540	11786	0.177577	0.172056
HAP2_chr16	HAP3_chr16	chr16	772	1122	10120	10447	0.092089	0.274338
HAP2_chr16	HAP4_chr16	chr16	967	2695	10120	11786	0.167169	0.233028
HAP3_chr16	HAP4_chr16	chr16	1301	2663	10447	11786	0.178294	0.268788
HAP1_chr17	HAP2_chr17	chr17	949	1002	8398	8429	0.115945	0.156334
HAP1_chr17	HAP3_chr17	chr17	2503	6122	8398	12026	0.422297	0.172190
HAP1_chr17	HAP4_chr17	chr17	2130	8884	8398	15148	0.467765	0.131549
HAP2_chr17	HAP3_chr17	chr17	2607	6211	8429	12026	0.431093	0.307188
HAP2_chr17	HAP4_chr17	chr17	2243	9020	8429	15148	0.477711	0.206373
HAP3_chr17	HAP4_chr17	chr17	645	3849	12026	15148	0.165379	0.269451
HAP1_chr18	HAP2_chr18	chr18	795	3423	9174	11780	0.201298	0.144163
HAP1_chr18	HAP3_chr18	chr18	786	4185	9174	12577	0.228541	0.197137
HAP1_chr18	HAP4_chr18	chr18	759	4472	9174	12926	0.236697	0.081756
HAP2_chr18	HAP3_chr18	chr18	1204	1957	11780	12577	0.129778	0.213864
HAP2_chr18	HAP4_chr18	chr18	860	2166	11780	12926	0.122480	0.048350
HAP3_chr18	HAP4_chr18	chr18	1677	1957	12577	12926	0.142493	0.242145
HAP1_chr19	HAP2_chr19	chr19	1460	3335	16181	17942	0.140521	0.393572
HAP1_chr19	HAP3_chr19	chr19	1945	31898	16181	41454	0.587195	0.009631
HAP1_chr19	HAP4_chr19	chr19	1789	31601	16181	42059	0.573317	0.010330
HAP2_chr19	HAP3_chr19	chr19	3001	32823	17942	41454	0.603138	0.009687
HAP2_chr19	HAP4_chr19	chr19	3101	33350	17942	42059	0.607507	0.008551
HAP3_chr19	HAP4_chr19	chr19	2672	3278	41454	42059	0.071246	0.630000
HAP1_chr20	HAP2_chr20	chr20	936	1394	8920	9323	0.127720	0.133470
HAP1_chr20	HAP3_chr20	chr20	767	2736	8920	10701	0.178533	0.177460
HAP1_chr20	HAP4_chr20	chr20	621	3243	8920	11497	0.189254	0.041835
HAP2_chr20	HAP3_chr20	chr20	1181	2671	9323	10701	0.192369	0.052296
HAP2_chr20	HAP4_chr20	chr20	742	2909	9323	11497	0.175360	0.034610
HAP3_chr20	HAP4_chr20	chr20	1807	2550	10701	11497	0.196279	0.205051
HAP1_chr21	HAP2_chr21	chr21	730	3178	7368	9730	0.228565	0.150419
HAP1_chr21	HAP3_chr21	chr21	654	1759	7368	8017	0.156841	0.084112
HAP1_chr21	HAP4_chr21	chr21	605	1613	7368	8337	0.141229	0.042576
HAP2_chr21	HAP3_chr21	chr21	2785	1173	9730	8017	0.223024	0.124324
HAP2_chr21	HAP4_chr21	chr21	2569	1188	9730	8337	0.207948	0.145141
HAP3_chr21	HAP4_chr21	chr21	1119	1419	8017	8337	0.155191	0.017884
HAP1_chr22	HAP2_chr22	chr22	1639	1811	14708	14862	0.116672	0.309966
HAP1_chr23	HAP2_chr23	chr23	731	1502	5799	6615	0.179878	0.282811
HAP1_chr23	HAP3_chr23	chr23	637	2199	5799	7409	0.214718	0.094298
HAP1_chr23	HAP4_chr23	chr23	640	2182	5799	7347	0.214666	0.072627
HAP2_chr23	HAP3_chr23	chr23	538	1666	6615	7409	0.157159	0.019643
HAP2_chr23	HAP4_chr23	chr23	648	1709	6615	7347	0.168815	0.006657
HAP3_chr23	HAP4_chr23	chr23	1136	1019	7409	7347	0.146042	0.138857
HAP1_chr24	HAP2_chr24	chr24	687	614	5149	5170	0.126078	0.239612
HAP1_chr24	HAP3_chr24	chr24	501	638	5149	5290	0.109110	0.179247
HAP1_chr24	HAP4_chr24	chr24	400	1261	5149	6008	0.148875	0.089600
HAP2_chr24	HAP3_chr24	chr24	575	724	5170	5290	0.124187	0.212623
HAP2_chr24	HAP4_chr24	chr24	493	1338	5170	6008	0.163804	0.056042
HAP3_chr24	HAP4_chr24	chr24	475	1189	5290	6008	0.147283	0.253504
HAP1_chr25	HAP2_chr25	chr25	1628	1043	7655	7085	0.181208	0.092916
HAP1_chr25	HAP3_chr25	chr25	1956	1466	7655	7506	0.225711	0.046927
HAP1_chr25	HAP4_chr25	chr25	1016	3429	7655	9987	0.251956	0.322291
HAP2_chr25	HAP3_chr25	chr25	963	1368	7085	7506	0.159756	0.226256
HAP2_chr25	HAP4_chr25	chr25	887	3781	7085	9987	0.273430	0.029391
HAP3_chr25	HAP4_chr25	chr25	1189	3744	7506	9987	0.281999	0.017639
