unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	1700	3618	16830	18630
HAP1_chr01	HAP3_chr01	chr01	1751	3563	16830	18380
HAP1_chr01	HAP4_chr01	chr01	1700	3731	16830	18869
HAP2_chr01	HAP3_chr01	chr01	1912	1697	18630	18380
HAP2_chr01	HAP4_chr01	chr01	1583	1774	18630	18869
HAP3_chr01	HAP4_chr01	chr01	1543	1967	18380	18869
HAP1_chr02	HAP2_chr02	chr02	1071	1354	10259	10533
HAP1_chr02	HAP3_chr02	chr02	877	2295	10259	11685
HAP1_chr02	HAP4_chr02	chr02	1365	2518	10259	11681
HAP2_chr02	HAP3_chr02	chr02	1153	2236	10533	11685
HAP2_chr02	HAP4_chr02	chr02	1445	2308	10533	11681
HAP3_chr02	HAP4_chr02	chr02	2378	2105	11685	11681
HAP1_chr03	HAP2_chr03	chr03	2459	12023	33817	43207
HAP1_chr03	HAP3_chr03	chr03	2038	17250	33817	48372
HAP1_chr03	HAP4_chr03	chr03	1514	30570	33817	61771
HAP2_chr03	HAP3_chr03	chr03	4010	9539	43207	48372
HAP2_chr03	HAP4_chr03	chr03	2710	21446	43207	61771
HAP3_chr03	HAP4_chr03	chr03	3672	16887	48372	61771
HAP1_chr04	HAP2_chr04	chr04	1329	916	4574	4173
HAP1_chr04	HAP3_chr04	chr04	630	3010	4574	6972
HAP1_chr04	HAP4_chr04	chr04	978	1627	4574	5207
HAP2_chr04	HAP3_chr04	chr04	357	3164	4173	6972
HAP2_chr04	HAP4_chr04	chr04	301	1348	4173	5207
HAP3_chr04	HAP4_chr04	chr04	2629	870	6972	5207
HAP1_chr05	HAP2_chr05	chr05	1784	1345	18914	18480
HAP1_chr05	HAP3_chr05	chr05	1899	3311	18914	20307
HAP1_chr05	HAP4_chr05	chr05	1982	3640	18914	20153
HAP2_chr05	HAP3_chr05	chr05	1163	3017	18480	20307
HAP2_chr05	HAP4_chr05	chr05	1627	3709	18480	20153
HAP3_chr05	HAP4_chr05	chr05	3045	3087	20307	20153
HAP1_chr06	HAP2_chr06	chr06	840	2208	8057	9493
HAP1_chr06	HAP3_chr06	chr06	701	2286	8057	9701
HAP1_chr06	HAP4_chr06	chr06	745	4728	8057	12029
HAP2_chr06	HAP3_chr06	chr06	1297	1346	9493	9701
HAP2_chr06	HAP4_chr06	chr06	923	3380	9493	12029
HAP3_chr06	HAP4_chr06	chr06	1050	3441	9701	12029
HAP1_chr07	HAP2_chr07	chr07	586	4457	11654	15526
HAP1_chr07	HAP3_chr07	chr07	385	8000	11654	19273
HAP1_chr07	HAP4_chr07	chr07	511	9516	11654	20517
HAP2_chr07	HAP3_chr07	chr07	832	4545	15526	19273
HAP2_chr07	HAP4_chr07	chr07	754	5682	15526	20517
HAP3_chr07	HAP4_chr07	chr07	1309	2546	19273	20517
HAP1_chr08	HAP2_chr08	chr08	712	1213	6066	6574
HAP1_chr08	HAP3_chr08	chr08	621	1480	6066	6909
HAP1_chr08	HAP4_chr08	chr08	319	1977	6066	7702
HAP2_chr08	HAP3_chr08	chr08	639	1056	6574	6909
HAP2_chr08	HAP4_chr08	chr08	345	1510	6574	7702
HAP3_chr08	HAP4_chr08	chr08	1064	1507	6909	7702
HAP1_chr09	HAP2_chr09	chr09	1209	1012	9641	9503
HAP1_chr09	HAP3_chr09	chr09	964	2373	9641	11052
HAP1_chr09	HAP4_chr09	chr09	1232	1330	9641	9680
HAP2_chr09	HAP3_chr09	chr09	647	2229	9503	11052
HAP2_chr09	HAP4_chr09	chr09	817	1070	9503	9680
HAP3_chr09	HAP4_chr09	chr09	2002	859	11052	9680
HAP1_chr10	HAP2_chr10	chr10	875	2437	5565	7129
HAP1_chr10	HAP3_chr10	chr10	796	1315	5565	6027
HAP1_chr10	HAP4_chr10	chr10	549	2782	5565	7796
HAP2_chr10	HAP3_chr10	chr10	2493	1026	7129	6027
HAP2_chr10	HAP4_chr10	chr10	1635	1934	7129	7796
HAP3_chr10	HAP4_chr10	chr10	729	2778	6027	7796
HAP1_chr11	HAP2_chr11	chr11	2428	2896	11110	11509
HAP1_chr11	HAP3_chr11	chr11	1850	3089	11110	12192
HAP1_chr11	HAP4_chr11	chr11	2286	9257	11110	17274
HAP2_chr11	HAP3_chr11	chr11	1854	2701	11509	12192
HAP2_chr11	HAP4_chr11	chr11	1729	8550	11509	17274
HAP3_chr11	HAP4_chr11	chr11	2138	8044	12192	17274
HAP1_chr12	HAP2_chr12	chr12	1124	3568	7461	10225
HAP1_chr12	HAP3_chr12	chr12	639	1069	7461	7902
HAP1_chr12	HAP4_chr12	chr12	558	1808	7461	8709
HAP2_chr12	HAP3_chr12	chr12	3469	1474	10225	7902
HAP2_chr12	HAP4_chr12	chr12	3181	1888	10225	8709
HAP3_chr12	HAP4_chr12	chr12	824	1571	7902	8709
HAP1_chr13	HAP2_chr13	chr13	1007	1748	7455	8214
HAP1_chr13	HAP3_chr13	chr13	1528	6915	7455	12808
HAP1_chr13	HAP4_chr13	chr13	1399	6177	7455	12233
HAP2_chr13	HAP3_chr13	chr13	2296	6876	8214	12808
HAP2_chr13	HAP4_chr13	chr13	1672	5685	8214	12233
HAP3_chr13	HAP4_chr13	chr13	2668	2074	12808	12233
HAP1_chr14	HAP2_chr14	chr14	857	1476	6654	7265
HAP1_chr14	HAP3_chr14	chr14	886	1784	6654	7578
HAP1_chr14	HAP4_chr14	chr14	635	2019	6654	8047
HAP2_chr14	HAP3_chr14	chr14	1587	1865	7265	7578
HAP2_chr14	HAP4_chr14	chr14	1283	2057	7265	8047
HAP3_chr14	HAP4_chr14	chr14	1523	2000	7578	8047
HAP1_chr15	HAP2_chr15	chr15	852	1200	7417	7759
HAP1_chr15	HAP3_chr15	chr15	1053	2453	7417	8845
HAP1_chr15	HAP4_chr15	chr15	946	2226	7417	8703
HAP2_chr15	HAP3_chr15	chr15	1045	2112	7759	8845
HAP2_chr15	HAP4_chr15	chr15	1103	2150	7759	8703
HAP3_chr15	HAP4_chr15	chr15	1383	1184	8845	8703
HAP1_chr16	HAP2_chr16	chr16	1003	1595	9540	10120
HAP1_chr16	HAP3_chr16	chr16	1035	1942	9540	10447
HAP1_chr16	HAP4_chr16	chr16	716	3071	9540	11786
HAP2_chr16	HAP3_chr16	chr16	772	1122	10120	10447
HAP2_chr16	HAP4_chr16	chr16	967	2695	10120	11786
HAP3_chr16	HAP4_chr16	chr16	1301	2663	10447	11786
HAP1_chr17	HAP2_chr17	chr17	949	1002	8398	8429
HAP1_chr17	HAP3_chr17	chr17	2503	6122	8398	12026
HAP1_chr17	HAP4_chr17	chr17	2130	8884	8398	15148
HAP2_chr17	HAP3_chr17	chr17	2607	6211	8429	12026
