chrom	group_a	group_b	n_within	n_cross	within_te_marker_fraction	cross_te_marker_fraction	split_ratio	flagged_units
chr01	HAP1_chr01,HAP4_chr01	HAP3_chr01,HAP2_chr01	2	4	0.124824	0.121162	0.97	
chr02	HAP1_chr02	HAP2_chr02,HAP3_chr02,HAP4_chr02	3	3	0.171114	0.146055	0.85	
chr03	HAP1_chr03,HAP3_chr03	HAP2_chr03,HAP4_chr03	2	4	0.232392	0.214569	0.92	
chr04	HAP1_chr04,HAP4_chr04	HAP3_chr04,HAP2_chr04	2	4	0.291130	0.258754	0.89	
chr05	HAP2_chr05	HAP4_chr05,HAP1_chr05,HAP3_chr05	3	3	0.142767	0.109855	0.77	
chr06	HAP1_chr06	HAP3_chr06,HAP2_chr06,HAP4_chr06	3	3	0.181436	0.204786	1.13	
chr07	HAP1_chr07	HAP2_chr07,HAP3_chr07,HAP4_chr07	3	3	0.143321	0.256114	1.79	
chr08	HAP1_chr08	HAP3_chr08,HAP2_chr08,HAP4_chr08	3	3	0.143872	0.160328	1.11	
chr09	HAP1_chr09	HAP2_chr09,HAP3_chr09,HAP4_chr09	3	3	0.125428	0.136627	1.09	
chr10	HAP3_chr10	HAP4_chr10,HAP1_chr10,HAP2_chr10	3	3	0.249782	0.234433	0.94	
chr11	HAP3_chr11,HAP1_chr11,HAP2_chr11	HAP4_chr11	3	3	0.213173	0.369781	1.73	
chr12	HAP1_chr12,HAP3_chr12,HAP4_chr12	HAP2_chr12	3	3	0.133893	0.268567	2.01	
chr13	HAP2_chr13,HAP1_chr13	HAP3_chr13,HAP4_chr13	2	4	0.182597	0.399397	2.19	
chr14	HAP2_chr14	HAP4_chr14,HAP1_chr14,HAP3_chr14	3	3	0.197870	0.206103	1.04	
chr15	HAP1_chr15	HAP3_chr15,HAP2_chr15,HAP4_chr15	3	3	0.178009	0.182527	1.03	
chr16	HAP1_chr16	HAP4_chr16,HAP2_chr16,HAP3_chr16	3	3	0.145851	0.152890	1.05	
chr17	HAP1_chr17,HAP2_chr17	HAP3_chr17,HAP4_chr17	2	4	0.140662	0.449717	3.20	
chr18	HAP1_chr18	HAP4_chr18,HAP2_chr18,HAP3_chr18	3	3	0.131584	0.222179	1.69	HAP1_chr18
chr19	HAP1_chr19,HAP2_chr19	HAP3_chr19,HAP4_chr19	2	4	0.105884	0.592789	5.60	
chr20	HAP1_chr20	HAP4_chr20,HAP2_chr20,HAP3_chr20	3	3	0.188003	0.165169	0.88	
chr21	HAP2_chr21,HAP1_chr21	HAP4_chr21,HAP3_chr21	2	4	0.191878	0.182260	0.95	
chr23	HAP1_chr23	HAP3_chr23,HAP2_chr23,HAP4_chr23	3	3	0.157339	0.203087	1.29	
chr24	HAP1_chr24,HAP2_chr24,HAP3_chr24	HAP4_chr24	3	3	0.119792	0.153321	1.28	
chr25	HAP3_chr25,HAP2_chr25	HAP4_chr25,HAP1_chr25	2	4	0.205856	0.240587	1.17	
