unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	3566	829	22027	19307
HAP1_chr01	HAP3_chr01	chr01	3002	1868	22027	20891
HAP1_chr01	HAP4_chr01	chr01	2762	2277	22027	21568
HAP2_chr01	HAP3_chr01	chr01	1505	3092	19307	20891
HAP2_chr01	HAP4_chr01	chr01	1281	3542	19307	21568
HAP3_chr01	HAP4_chr01	chr01	2884	3557	20891	21568
HAP1_chr02	HAP2_chr02	chr02	2534	2253	18912	18612
HAP1_chr02	HAP3_chr02	chr02	2418	2180	18912	18668
HAP1_chr02	HAP4_chr02	chr02	2966	1156	18912	17111
HAP2_chr02	HAP3_chr02	chr02	1680	1703	18612	18668
HAP2_chr02	HAP4_chr02	chr02	2731	1230	18612	17111
HAP3_chr02	HAP4_chr02	chr02	2914	1353	18668	17111
HAP1_chr03	HAP2_chr03	chr03	2684	1302	16713	15340
HAP1_chr03	HAP3_chr03	chr03	1326	2790	16713	18179
HAP1_chr03	HAP4_chr03	chr03	1887	1290	16713	16119
HAP2_chr03	HAP3_chr03	chr03	892	3731	15340	18179
HAP2_chr03	HAP4_chr03	chr03	1246	2018	15340	16119
HAP3_chr03	HAP4_chr03	chr03	3120	1055	18179	16119
HAP1_chr04	HAP2_chr04	chr04	665	2356	12851	14531
HAP1_chr04	HAP3_chr04	chr04	1237	1469	12851	13041
HAP1_chr04	HAP4_chr04	chr04	975	1289	12851	13158
HAP2_chr04	HAP3_chr04	chr04	2641	1151	14531	13041
HAP2_chr04	HAP4_chr04	chr04	2220	847	14531	13158
HAP3_chr04	HAP4_chr04	chr04	1091	1208	13041	13158
HAP1_chr05	HAP2_chr05	chr05	10483	8	14055	4525
HAP1_chr05	HAP3_chr05	chr05	1681	1599	14055	13969
HAP1_chr05	HAP4_chr05	chr05	693	775	14055	14137
HAP2_chr05	HAP3_chr05	chr05	18	10570	4525	13969
HAP2_chr05	HAP4_chr05	chr05	18	10678	4525	14137
HAP3_chr05	HAP4_chr05	chr05	1462	1630	13969	14137
HAP1_chr06	HAP2_chr06	chr06	857	1494	8568	9203
HAP1_chr06	HAP3_chr06	chr06	1512	580	8568	7644
HAP1_chr06	HAP4_chr06	chr06	932	1429	8568	9072
HAP2_chr06	HAP3_chr06	chr06	2161	594	9203	7644
HAP2_chr06	HAP4_chr06	chr06	1457	1305	9203	9072
HAP3_chr06	HAP4_chr06	chr06	843	2275	7644	9072
HAP1_chr07	HAP2_chr07	chr07	3391	1014	14736	12364
HAP1_chr07	HAP3_chr07	chr07	2171	1082	14736	13642
HAP1_chr07	HAP4_chr07	chr07	2436	1439	14736	13745
HAP2_chr07	HAP3_chr07	chr07	954	2237	12364	13642
HAP2_chr07	HAP4_chr07	chr07	763	2144	12364	13745
HAP3_chr07	HAP4_chr07	chr07	1638	1736	13642	13745
HAP1_chr08	HAP2_chr08	chr08	4726	1111	13994	10610
HAP1_chr08	HAP3_chr08	chr08	4071	1736	13994	11399
HAP1_chr08	HAP4_chr08	chr08	4935	852	13994	9910
HAP2_chr08	HAP3_chr08	chr08	271	1380	10610	11399
HAP2_chr08	HAP4_chr08	chr08	2198	1552	10610	9910
HAP3_chr08	HAP4_chr08	chr08	2969	1249	11399	9910
HAP1_chr09	HAP2_chr09	chr09	1902	1335	9990	9426
HAP1_chr09	HAP3_chr09	chr09	2867	354	9990	7478
HAP1_chr09	HAP4_chr09	chr09	2833	993	9990	8180
HAP2_chr09	HAP3_chr09	chr09	2417	468	9426	7478
HAP2_chr09	HAP4_chr09	chr09	2512	1268	9426	8180
HAP3_chr09	HAP4_chr09	chr09	981	1648	7478	8180
HAP1_chr10	HAP2_chr10	chr10	1029	2483	9032	10479
HAP1_chr10	HAP3_chr10	chr10	984	1396	9032	9434
HAP1_chr10	HAP4_chr10	chr10	1617	1603	9032	9011
HAP2_chr10	HAP3_chr10	chr10	1931	885	10479	9434
HAP2_chr10	HAP4_chr10	chr10	2135	667	10479	9011
HAP3_chr10	HAP4_chr10	chr10	1548	1124	9434	9011
HAP1_chr11	HAP2_chr11	chr11	5727	374	13265	7914
HAP1_chr11	HAP3_chr11	chr11	3584	1022	13265	10711
HAP1_chr11	HAP4_chr11	chr11	3434	1319	13265	11149
HAP2_chr11	HAP3_chr11	chr11	223	3013	7914	10711
HAP2_chr11	HAP4_chr11	chr11	288	3525	7914	11149
HAP3_chr11	HAP4_chr11	chr11	1267	1713	10711	11149
HAP1_chr12	HAP2_chr12	chr12	2000	1848	9931	9810
