chrom	group_a	group_b	n_within	n_cross	within_te_marker_fraction	cross_te_marker_fraction	split_ratio	flagged_units	high_density_units
chr01	HAP1_chr01,HAP4_chr01	HAP2_chr01,HAP3_chr01	2	4	0.114973	0.122374	1.06		
chr02	HAP1_chr02,HAP4_chr02	HAP2_chr02,HAP3_chr02	2	4	0.102586	0.120016	1.17		
chr03	HAP1_chr03,HAP4_chr03	HAP3_chr03,HAP2_chr03	2	4	0.117344	0.116950	1.00		
chr04	HAP2_chr04,HAP1_chr04	HAP4_chr04,HAP3_chr04	2	4	0.099040	0.109964	1.11		
chr05	HAP2_chr05	HAP4_chr05,HAP1_chr05,HAP3_chr05	3	3	0.093042	0.570098	6.13	HAP2_chr05	
chr06	HAP2_chr06,HAP1_chr06,HAP3_chr06	HAP4_chr06	3	3	0.141622	0.157169	1.11		
chr07	HAP1_chr07	HAP3_chr07,HAP2_chr07,HAP4_chr07	3	3	0.119080	0.137744	1.16		
chr08	HAP1_chr08,HAP4_chr08	HAP2_chr08,HAP3_chr08	2	4	0.158554	0.211654	1.33		
chr09	HAP1_chr09,HAP2_chr09	HAP4_chr09,HAP3_chr09	2	4	0.167310	0.195083	1.17		
chr10	HAP1_chr10	HAP4_chr10,HAP2_chr10,HAP3_chr10	3	3	0.143348	0.162450	1.13		
chr11	HAP1_chr11,HAP2_chr11,HAP3_chr11	HAP4_chr11	3	3	0.217974	0.177009	0.81		
chr12	HAP3_chr12	HAP4_chr12,HAP1_chr12,HAP2_chr12	3	3	0.171193	0.188273	1.10		
chr13	HAP1_chr13	HAP4_chr13,HAP2_chr13,HAP3_chr13	3	3	0.210110	0.205019	0.98	HAP3_chr13	
chr14	HAP1_chr14	HAP3_chr14,HAP2_chr14,HAP4_chr14	3	3	0.196337	0.177194	0.90		
chr15	HAP2_chr15,HAP4_chr15	HAP3_chr15,HAP1_chr15	2	4	0.141929	0.143943	1.01		
chr16	HAP1_chr16	HAP2_chr16,HAP3_chr16,HAP4_chr16	3	3	0.129909	0.132052	1.02		
chr17	HAP1_chr17,HAP2_chr17	HAP4_chr17,HAP3_chr17	2	4	0.132260	0.217011	1.64		
chr18	HAP2_chr18,HAP3_chr18	HAP4_chr18,HAP1_chr18	2	4	0.153598	0.206465	1.34		
chr19	HAP1_chr19,HAP3_chr19	HAP4_chr19,HAP2_chr19	2	4	0.129144	0.154335	1.20		
