unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b	te_marker_fraction	windowed_distance_cv
HAP1_chr01	HAP2_chr01	chr01	3566	829	22027	19307	0.106329	0.119686
HAP1_chr01	HAP3_chr01	chr01	3002	1868	22027	20891	0.113472	0.142615
HAP1_chr01	HAP4_chr01	chr01	2762	2277	22027	21568	0.115587	0.171341
HAP2_chr01	HAP3_chr01	chr01	1505	3092	19307	20891	0.114359	0.142642
HAP2_chr01	HAP4_chr01	chr01	1281	3542	19307	21568	0.117994	0.116492
HAP3_chr01	HAP4_chr01	chr01	2884	3557	20891	21568	0.151699	0.155096
HAP1_chr02	HAP2_chr02	chr02	2534	2253	18912	18612	0.127572	0.125301
HAP1_chr02	HAP3_chr02	chr02	2418	2180	18912	18668	0.122352	0.132839
HAP1_chr02	HAP4_chr02	chr02	2966	1156	18912	17111	0.114427	0.039307
HAP2_chr02	HAP3_chr02	chr02	1680	1703	18612	18668	0.090746	0.104956
HAP2_chr02	HAP4_chr02	chr02	2731	1230	18612	17111	0.110881	0.134071
HAP3_chr02	HAP4_chr02	chr02	2914	1353	18668	17111	0.119260	0.053165
HAP1_chr03	HAP2_chr03	chr03	2684	1302	16713	15340	0.124357	0.118882
HAP1_chr03	HAP3_chr03	chr03	1326	2790	16713	18179	0.117964	0.111275
HAP1_chr03	HAP4_chr03	chr03	1887	1290	16713	16119	0.096765	0.152610
HAP2_chr03	HAP3_chr03	chr03	892	3731	15340	18179	0.137922	0.090643
HAP2_chr03	HAP4_chr03	chr03	1246	2018	15340	16119	0.103754	0.111317
HAP3_chr03	HAP4_chr03	chr03	3120	1055	18179	16119	0.121727	0.120936
HAP1_chr04	HAP2_chr04	chr04	665	2356	12851	14531	0.110328	0.198827
HAP1_chr04	HAP3_chr04	chr04	1237	1469	12851	13041	0.104511	0.089419
HAP1_chr04	HAP4_chr04	chr04	975	1289	12851	13158	0.087047	0.116139
HAP2_chr04	HAP3_chr04	chr04	2641	1151	14531	13041	0.137531	0.118349
HAP2_chr04	HAP4_chr04	chr04	2220	847	14531	13158	0.110766	0.095311
HAP3_chr04	HAP4_chr04	chr04	1091	1208	13041	13158	0.087751	0.157807
HAP1_chr05	HAP2_chr05	chr05	10483	8	14055	4525	0.564639	0.187914
HAP1_chr05	HAP3_chr05	chr05	1681	1599	14055	13969	0.117043	0.099360
HAP1_chr05	HAP4_chr05	chr05	693	775	14055	14137	0.052072	0.168189
HAP2_chr05	HAP3_chr05	chr05	18	10570	4525	13969	0.572510	0.089772
HAP2_chr05	HAP4_chr05	chr05	18	10678	4525	14137	0.573143	0.158481
HAP3_chr05	HAP4_chr05	chr05	1462	1630	13969	14137	0.110012	0.138871
HAP1_chr06	HAP2_chr06	chr06	857	1494	8568	9203	0.132294	0.119741
HAP1_chr06	HAP3_chr06	chr06	1512	580	8568	7644	0.129040	0.081987
HAP1_chr06	HAP4_chr06	chr06	932	1429	8568	9072	0.133844	0.087130
HAP2_chr06	HAP3_chr06	chr06	2161	594	9203	7644	0.163531	0.035478
HAP2_chr06	HAP4_chr06	chr06	1457	1305	9203	9072	0.151135	0.047001
HAP3_chr06	HAP4_chr06	chr06	843	2275	7644	9072	0.186528	0.149173
HAP1_chr07	HAP2_chr07	chr07	3391	1014	14736	12364	0.162546	0.099978
HAP1_chr07	HAP3_chr07	chr07	2171	1082	14736	13642	0.114631	0.147549
HAP1_chr07	HAP4_chr07	chr07	2436	1439	14736	13745	0.136056	0.130836
HAP2_chr07	HAP3_chr07	chr07	954	2237	12364	13642	0.122702	0.129281
HAP2_chr07	HAP4_chr07	chr07	763	2144	12364	13745	0.111341	0.134620
HAP3_chr07	HAP4_chr07	chr07	1638	1736	13642	13745	0.123197	0.172036
HAP1_chr08	HAP2_chr08	chr08	4726	1111	13994	10610	0.237238	0.111889
HAP1_chr08	HAP3_chr08	chr08	4071	1736	13994	11399	0.228685	0.125999
HAP1_chr08	HAP4_chr08	chr08	4935	852	13994	9910	0.242093	0.125060
HAP2_chr08	HAP3_chr08	chr08	271	1380	10610	11399	0.075015	0.488437
HAP2_chr08	HAP4_chr08	chr08	2198	1552	10610	9910	0.182749	0.056788
HAP3_chr08	HAP4_chr08	chr08	2969	1249	11399	9910	0.197945	0.120280
HAP1_chr09	HAP2_chr09	chr09	1902	1335	9990	9426	0.166718	0.060302
HAP1_chr09	HAP3_chr09	chr09	2867	354	9990	7478	0.184394	0.016425
HAP1_chr09	HAP4_chr09	chr09	2833	993	9990	8180	0.210567	0.131041
HAP2_chr09	HAP3_chr09	chr09	2417	468	9426	7478	0.170670	0.090516
HAP2_chr09	HAP4_chr09	chr09	2512	1268	9426	8180	0.214700	0.076059
HAP3_chr09	HAP4_chr09	chr09	981	1648	7478	8180	0.167901	0.016723
HAP1_chr10	HAP2_chr10	chr10	1029	2483	9032	10479	0.180001	0.136272
HAP1_chr10	HAP3_chr10	chr10	984	1396	9032	9434	0.128886	0.128345
HAP1_chr10	HAP4_chr10	chr10	1617	1603	9032	9011	0.178463	0.125430
HAP2_chr10	HAP3_chr10	chr10	1931	885	10479	9434	0.141415	0.157233
HAP2_chr10	HAP4_chr10	chr10	2135	667	10479	9011	0.143766	0.155976
HAP3_chr10	HAP4_chr10	chr10	1548	1124	9434	9011	0.144863	0.166144
HAP1_chr11	HAP2_chr11	chr11	5727	374	13265	7914	0.288068	0.171063
