chrom	unit_a	unit_b	hap_a	hap_b	distance	resolution_limited
chr01	HAP1_chr01	HAP2_chr01	HAP1	HAP2	0.006671	False
chr02	HAP1_chr02	HAP2_chr02	HAP1	HAP2	0.002969	False
chr03	HAP1_chr03	HAP2_chr03	HAP1	HAP2	0.004659	False
chr04	HAP1_chr04	HAP2_chr04	HAP1	HAP2	0.003571	False
chr05	HAP1_chr05	HAP2_chr05	HAP1	HAP2	0.003276	False
chr06	HAP1_chr06	HAP2_chr06	HAP1	HAP2	0.002873	False
chr07	HAP1_chr07	HAP2_chr07	HAP1	HAP2	0.003721	False
chr08	HAP1_chr08	HAP2_chr08	HAP1	HAP2	0.005722	False
chr09	HAP1_chr09	HAP2_chr09	HAP1	HAP2	0.003830	False
chr10	HAP1_chr10	HAP2_chr10	HAP1	HAP2	0.003363	False
chr11	HAP1_chr11	HAP2_chr11	HAP1	HAP2	0.001842	False
chr12	HAP1_chr12	HAP2_chr12	HAP1	HAP2	0.002204	False
chr13	HAP1_chr13	HAP2_chr13	HAP1	HAP2	0.005030	False
chr14	HAP1_chr14	HAP2_chr14	HAP1	HAP2	0.004152	False
chr15	HAP1_chr15	HAP2_chr15	HAP1	HAP2	0.002298	False
chr16	HAP1_chr16	HAP2_chr16	HAP1	HAP2	0.001517	False
chr17	HAP1_chr17	HAP2_chr17	HAP1	HAP2	0.002721	False
chr18	HAP1_chr18	HAP2_chr18	HAP1	HAP2	0.002397	False
chr19	HAP1_chr19	HAP2_chr19	HAP1	HAP2	0.003022	False
chr20	HAP1_chr20	HAP2_chr20	HAP1	HAP2	0.000690	False
chr21	HAP1_chr21	HAP2_chr21	HAP1	HAP2	0.004440	False
