,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21
HAP1_chr01,0.000000,0.106014,0.095233,0.099891,0.106133,0.096529,0.105960,0.097688,0.102707,0.094244,0.094424,0.100697,0.101810,0.102467,0.104512,0.104325,0.105326,0.105099,0.098662,0.109017,0.110972,0.006671,0.106201,0.100152,0.102396,0.105906,0.097752,0.107077,0.102644,0.103256,0.099153,0.094511,0.106388,0.101467,0.103192,0.108030,0.105867,0.110024,0.108937,0.105712,0.109260,0.111230
HAP1_chr02,0.106014,0.000000,0.106398,0.109074,0.112108,0.108369,0.110475,0.107050,0.107678,0.106341,0.100959,0.109052,0.105331,0.108586,0.107983,0.108142,0.109607,0.110414,0.090367,0.111461,0.112534,0.105926,0.002969,0.107517,0.110038,0.111782,0.109336,0.111840,0.108978,0.108083,0.108411,0.101571,0.111779,0.105151,0.109014,0.110248,0.108790,0.112218,0.112128,0.092275,0.111573,0.112589
HAP1_chr03,0.095233,0.106398,0.000000,0.080692,0.106013,0.098980,0.105604,0.099338,0.102631,0.083669,0.109695,0.101741,0.104415,0.102146,0.098778,0.104493,0.105416,0.105208,0.101526,0.110462,0.111306,0.096088,0.106723,0.004659,0.083928,0.105848,0.100311,0.106197,0.104164,0.103476,0.087926,0.110091,0.107292,0.104032,0.103191,0.103651,0.106352,0.110504,0.109066,0.107505,0.110735,0.111331
HAP1_chr04,0.099891,0.109074,0.080692,0.000000,0.111591,0.101666,0.109245,0.100757,0.104336,0.100360,0.113374,0.103236,0.090522,0.104304,0.096858,0.107163,0.107574,0.108746,0.103538,0.111544,0.111737,0.100100,0.109448,0.086004,0.003571,0.111257,0.102890,0.110382,0.104256,0.105056,0.103876,0.113712,0.107523,0.090418,0.104902,0.102285,0.108436,0.112276,0.112306,0.110355,0.111768,0.112002
HAP1_chr05,0.106133,0.112108,0.106013,0.111591,0.000000,0.112875,0.097320,0.109866,0.110671,0.104164,0.107257,0.108375,0.110033,0.112146,0.111416,0.110855,0.094715,0.105896,0.109499,0.115714,0.113181,0.106225,0.112322,0.108479,0.113235,0.003276,0.113129,0.098846,0.112794,0.111067,0.107946,0.107400,0.113096,0.109603,0.112518,0.113181,0.111927,0.095214,0.107058,0.111591,0.115778,0.113276
HAP1_chr06,0.096529,0.108369,0.098980,0.101666,0.112875,0.000000,0.089882,0.098541,0.103401,0.097939,0.112906,0.104776,0.110197,0.104346,0.108715,0.106012,0.107838,0.109715,0.102411,0.114023,0.115000,0.097793,0.108518,0.103603,0.104479,0.112681,0.002873,0.089875,0.102520,0.103904,0.103646,0.113189,0.110457,0.109760,0.105479,0.113004,0.108808,0.114118,0.113632,0.111012,0.114166,0.115156
HAP1_chr07,0.105960,0.110475,0.105604,0.109245,0.097320,0.089882,0.000000,0.107261,0.111143,0.105515,0.102862,0.110655,0.112350,0.108077,0.112228,0.111236,0.114114,0.112898,0.110044,0.119175,0.115508,0.106609,0.110647,0.107859,0.111069,0.097150,0.089713,0.003721,0.110462,0.111057,0.109956,0.103085,0.114755,0.112237,0.109669,0.114359,0.112886,0.116657,0.114338,0.113148,0.119346,0.115766
HAP1_chr08,0.097688,0.107050,0.099338,0.100757,0.109866,0.098541,0.107261,0.000000,0.100015,0.096269,0.113245,0.101510,0.107369,0.102924,0.102957,0.105485,0.102861,0.107482,0.099192,0.095858,0.110159,0.098124,0.107263,0.103413,0.102817,0.109700,0.099676,0.107761,0.005722,0.100565,0.100375,0.113574,0.107112,0.107145,0.103629,0.106081,0.106764,0.108320,0.110900,0.106537,0.095958,0.110277
HAP1_chr09,0.102707,0.107678,0.102631,0.104336,0.110671,0.103401,0.111143,0.100015,0.000000,0.100782,0.113997,0.102228,0.107352,0.102793,0.104986,0.088289,0.103843,0.106510,0.100489,0.105808,0.108671,0.102630,0.107813,0.105371,0.105908,0.110418,0.104400,0.112215,0.102876,0.003830,0.103278,0.114403,0.107159,0.107008,0.103211,0.108163,0.088575,0.109026,0.110067,0.106976,0.105994,0.108813
HAP1_chr10,0.094244,0.106341,0.083669,0.100360,0.104164,0.097939,0.105515,0.096269,0.100782,0.000000,0.110045,0.100301,0.103539,0.101560,0.103687,0.102577,0.105104,0.104019,0.099895,0.107161,0.108659,0.094310,0.106427,0.086713,0.103140,0.103977,0.098974,0.105950,0.100621,0.101248,0.003363,0.110260,0.105126,0.103286,0.101994,0.106850,0.104147,0.109235,0.107873,0.106172,0.107377,0.108471
