unit_a	unit_b	k	shared	kmers_a	kmers_b	jaccard	containment	distance	resolution_limited	z
HAP1_chr01	HAP1_chr02	11	2010628	2048295	2050719	0.962766	0.981611	0.001741	False	5.4296
HAP1_chr01	HAP1_chr02	13	9364620	14584981	14744277	0.469060	0.642073	0.034500	False	1167.5684
HAP1_chr01	HAP1_chr02	15	7862594	29341338	29832247	0.153234	0.267970	0.088347	False	4880.8165
HAP1_chr01	HAP1_chr02	17	4416937	34785857	35469019	0.067088	0.126975	0.121973	False	11275.4144
HAP1_chr01	HAP1_chr02	19	3346285	36494116	37238197	0.047542	0.091694	0.126286	False	33552.6569
HAP1_chr01	HAP1_chr02	23	2821450	37975549	38730051	0.038187	0.074296	0.113460	False	436379.9230
HAP1_chr01	HAP1_chr03	11	2008473	2048295	2048386	0.961817	0.980558	0.001787	False	5.5201
HAP1_chr01	HAP1_chr03	13	9258717	14584981	14603200	0.464574	0.634812	0.035004	False	1155.4994
HAP1_chr01	HAP1_chr03	15	7585296	29341338	29316719	0.148519	0.258736	0.090158	False	4726.7316
HAP1_chr01	HAP1_chr03	17	4085653	34785857	34701199	0.062470	0.117738	0.125912	False	10524.0354
HAP1_chr01	HAP1_chr03	19	2995011	36494116	36319640	0.042897	0.082463	0.131464	False	30399.7817
HAP1_chr01	HAP1_chr03	23	2459697	37975549	37609485	0.033637	0.065401	0.118786	False	386054.5032
HAP1_chr01	HAP1_chr04	11	2001085	2048295	2039586	0.958927	0.981123	0.001926	False	6.3872
HAP1_chr01	HAP1_chr04	13	8973197	14584981	13939786	0.458950	0.643711	0.035645	False	1183.8310
HAP1_chr01	HAP1_chr04	15	7349028	29341338	27227445	0.149311	0.269913	0.089849	False	4804.6502
HAP1_chr01	HAP1_chr04	17	4095671	34785857	32039930	0.065290	0.127830	0.123471	False	11010.1174
HAP1_chr01	HAP1_chr04	19	3086402	36494116	33580491	0.046074	0.091911	0.127864	False	32590.8715
HAP1_chr01	HAP1_chr04	23	2573906	37975549	34970115	0.036576	0.073603	0.115267	False	418948.5149
HAP1_chr01	HAP1_chr05	11	2016696	2048295	2048405	0.969564	0.984573	0.001416	False	11.3205
HAP1_chr01	HAP1_chr05	13	11204724	14584981	14645458	0.621597	0.768237	0.020441	False	1917.8362
HAP1_chr01	HAP1_chr05	15	16001930	29341338	29448371	0.373984	0.545372	0.040541	False	11344.8999
HAP1_chr01	HAP1_chr05	17	15198821	34785857	34783191	0.279543	0.436959	0.048703	False	40121.3080
HAP1_chr01	HAP1_chr05	19	14116429	36494116	36398630	0.240172	0.387829	0.049921	False	143492.2285
