unit_a	unit_b	chrom	n_markers_a	n_markers_b
HAP1_chr01	HAP2_chr01	chr01	3612	1926
HAP1_chr02	HAP2_chr02	chr02	2910	2094
HAP1_chr03	HAP2_chr03	chr03	1689	2041
HAP1_chr04	HAP2_chr04	chr04	4317	5693
HAP1_chr05	HAP2_chr05	chr05	1825	985
HAP1_chr06	HAP2_chr06	chr06	3788	2529
HAP1_chr07	HAP2_chr07	chr07	598	1990
HAP1_chr08	HAP2_chr08	chr08	1551	1482
HAP1_chr09	HAP2_chr09	chr09	1302	4658
HAP1_chr10	HAP2_chr10	chr10	1860	788
HAP1_chr11	HAP2_chr11	chr11	1377	1772
HAP1_chr12	HAP2_chr12	chr12	1063	858
HAP1_chr13	HAP2_chr13	chr13	1289	2145
HAP1_chr14	HAP2_chr14	chr14	3832	788
HAP1_chr15	HAP2_chr15	chr15	3512	1883
HAP1_chr16	HAP2_chr16	chr16	2589	1747
HAP1_chr17	HAP2_chr17	chr17	1160	2443
HAP1_chr18	HAP2_chr18	chr18	2432	799
