,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18
HAP1_chr01,0.000000,0.846766,0.851481,0.850689,0.626016,0.857424,0.851619,0.849587,0.855581,0.857913,0.859672,0.858681,0.860361,0.868923,0.859652,0.863207,0.867051,0.867608,0.236996,0.846516,0.852112,0.854249,0.625276,0.857408,0.851100,0.850377,0.853704,0.857461,0.859214,0.858623,0.857584,0.867589,0.860982,0.863078,0.867607,0.867794
HAP1_chr02,0.846766,0.000000,0.621215,0.850697,0.851010,0.859464,0.852835,0.851374,0.856687,0.858771,0.859404,0.858279,0.859975,0.868641,0.860197,0.865058,0.867505,0.868406,0.846173,0.290069,0.621037,0.854292,0.851044,0.858684,0.851462,0.851844,0.854765,0.857644,0.859483,0.859375,0.857809,0.868225,0.860766,0.865633,0.868056,0.868459
HAP1_chr03,0.851481,0.621215,0.000000,0.852479,0.850907,0.860410,0.853287,0.857437,0.862182,0.863017,0.861136,0.863075,0.860212,0.869683,0.865278,0.869968,0.871373,0.868964,0.851661,0.619252,0.264202,0.856371,0.850946,0.858960,0.853287,0.857578,0.860063,0.862376,0.860939,0.863326,0.857277,0.868426,0.866123,0.870929,0.871846,0.869140
HAP1_chr04,0.850689,0.850697,0.852479,0.000000,0.849511,0.856718,0.849940,0.853573,0.858624,0.647423,0.856957,0.860306,0.857846,0.865534,0.861768,0.866553,0.869081,0.865214,0.851425,0.850904,0.853400,0.372067,0.850395,0.855770,0.848636,0.854290,0.857017,0.647149,0.856754,0.860401,0.855166,0.864790,0.862695,0.866332,0.868609,0.866343
HAP1_chr05,0.626016,0.851010,0.850907,0.849511,0.000000,0.857113,0.850379,0.855116,0.860160,0.862016,0.857128,0.861176,0.860146,0.867403,0.864238,0.867814,0.870381,0.866820,0.625920,0.851166,0.851590,0.853212,0.267352,0.856798,0.850512,0.855560,0.858168,0.861787,0.857236,0.862416,0.856262,0.867365,0.864593,0.869023,0.870676,0.866879
HAP1_chr06,0.857424,0.859464,0.860410,0.856718,0.857113,0.000000,0.855473,0.859197,0.660830,0.868060,0.860653,0.864063,0.863154,0.866944,0.865310,0.865839,0.870622,0.867125,0.858217,0.859461,0.860452,0.858808,0.858506,0.335450,0.855252,0.858569,0.658937,0.868141,0.860321,0.864636,0.860130,0.866939,0.862769,0.865625,0.870645,0.867651
HAP1_chr07,0.851619,0.852835,0.853287,0.849940,0.850379,0.855473,0.000000,0.661370,0.857952,0.864815,0.854843,0.860361,0.858316,0.863370,0.860713,0.864482,0.866838,0.864115,0.851826,0.852396,0.854392,0.853151,0.851675,0.855538,0.311127,0.661332,0.855360,0.863721,0.853987,0.861325,0.855770,0.863520,0.860815,0.864149,0.867337,0.864077
HAP1_chr08,0.849587,0.851374,0.857437,0.853573,0.855116,0.859197,0.661370,0.000000,0.854825,0.862817,0.859265,0.857982,0.862061,0.866682,0.857852,0.860730,0.864810,0.866782,0.850200,0.851567,0.857789,0.857351,0.855704,0.859054,0.662211,0.388210,0.853100,0.862610,0.858944,0.859398,0.860007,0.866792,0.858476,0.861356,0.864295,0.866987
HAP1_chr09,0.855581,0.856687,0.862182,0.858624,0.860160,0.660830,0.857952,0.854825,0.000000,0.866001,0.862149,0.860705,0.862952,0.869336,0.861687,0.863989,0.866260,0.868668,0.855465,0.856554,0.862404,0.860560,0.860444,0.658759,0.858042,0.855957,0.356240,0.865372,0.862180,0.861017,0.862206,0.868144,0.859602,0.863758,0.866737,0.869265
HAP1_chr10,0.857913,0.858771,0.863017,0.647423,0.862016,0.868060,0.864815,0.862817,0.866001,0.000000,0.867611,0.865806,0.868218,0.874416,0.867644,0.872989,0.872833,0.873801,0.858299,0.857784,0.862963,0.637924,0.861754,0.867887,0.864019,0.863091,0.864785,0.274903,0.867675,0.867132,0.865572,0.874339,0.868947,0.872773,0.873199,0.875100
HAP1_chr11,0.859672,0.859404,0.861136,0.856957,0.857128,0.860653,0.854843,0.859265,0.862149,0.867611,0.000000,0.864021,0.862044,0.866586,0.671915,0.869060,0.868081,0.866738,0.859084,0.859452,0.861841,0.859299,0.857905,0.860867,0.853578,0.858158,0.861096,0.867063,0.370250,0.864086,0.859728,0.866670,0.673195,0.868003,0.868779,0.867414
HAP1_chr12,0.858681,0.858279,0.863075,0.860306,0.861176,0.864063,0.860361,0.857982,0.860705,0.865806,0.864021,0.000000,0.663641,0.871353,0.862958,0.867629,0.867358,0.870348,0.858894,0.857999,0.863334,0.862700,0.861048,0.864116,0.859753,0.856523,0.859696,0.865908,0.864207,0.265682,0.670794,0.870435,0.862513,0.867887,0.868670,0.871827
