,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP1_chr26,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP2_chr26
HAP1_chr01,0.000000,0.130658,0.131849,0.131121,0.130005,0.127554,0.130110,0.128720,0.126303,0.129444,0.130625,0.129472,0.128758,0.128729,0.129179,0.129300,0.130699,0.138679,0.129665,0.131491,0.131029,0.103335,0.133386,0.105101,0.137145,0.134573,0.004406,0.130255,0.132273,0.130675,0.129794,0.127548,0.130336,0.129556,0.126089,0.128965,0.130435,0.129136,0.128395,0.129129,0.129199,0.127331,0.131120,0.139617,0.129371,0.132616,0.132907,0.102165,0.134608,0.103676,0.136335,0.134545
HAP1_chr02,0.130658,0.000000,0.130445,0.127649,0.128616,0.125597,0.128120,0.128421,0.128754,0.099509,0.128589,0.127861,0.135235,0.129466,0.129704,0.130183,0.136067,0.147891,0.132057,0.134702,0.120700,0.135554,0.119013,0.140190,0.129600,0.137391,0.128984,0.001469,0.130471,0.127823,0.128038,0.125723,0.128127,0.129100,0.128343,0.099627,0.127535,0.127732,0.135097,0.129760,0.129422,0.129104,0.135848,0.147981,0.132176,0.135345,0.121774,0.134822,0.119303,0.140565,0.129230,0.137675
HAP1_chr03,0.131849,0.130445,0.000000,0.090038,0.127996,0.126682,0.129066,0.128686,0.127939,0.127928,0.130317,0.127310,0.134701,0.129515,0.129368,0.129047,0.134478,0.146711,0.132085,0.133450,0.133215,0.135241,0.136563,0.137840,0.135856,0.134351,0.131445,0.129877,0.001692,0.090083,0.128076,0.126166,0.129384,0.129540,0.127776,0.128237,0.130063,0.127620,0.134516,0.129282,0.129063,0.128413,0.134657,0.146004,0.131510,0.133542,0.135210,0.134276,0.136530,0.137951,0.136334,0.134559
HAP1_chr04,0.131121,0.127649,0.090038,0.000000,0.127586,0.125864,0.126684,0.128396,0.128550,0.126235,0.127799,0.127093,0.132164,0.128591,0.127807,0.128419,0.134714,0.145187,0.130046,0.133913,0.133306,0.134916,0.135238,0.136729,0.137556,0.136124,0.130040,0.127689,0.090125,0.001577,0.127374,0.125619,0.127082,0.129045,0.128432,0.126073,0.127282,0.126570,0.132665,0.129038,0.127481,0.127305,0.134512,0.144475,0.130128,0.134722,0.135056,0.134664,0.135916,0.137015,0.137618,0.136373
HAP1_chr05,0.130005,0.128616,0.127996,0.127586,0.000000,0.125561,0.127644,0.128736,0.102762,0.125994,0.127993,0.127835,0.132375,0.127079,0.127090,0.129495,0.133231,0.145071,0.129430,0.133672,0.112203,0.133712,0.134532,0.136649,0.127988,0.135730,0.129361,0.128277,0.128443,0.127554,0.002941,0.125369,0.127882,0.129328,0.102916,0.126172,0.128090,0.127750,0.132207,0.126978,0.127094,0.128741,0.133833,0.145064,0.128780,0.134151,0.113618,0.133202,0.135084,0.137125,0.128546,0.135634
HAP1_chr06,0.127554,0.125597,0.126682,0.125864,0.125561,0.000000,0.090581,0.125182,0.124301,0.124102,0.125766,0.124869,0.131424,0.126213,0.126301,0.126273,0.131323,0.142838,0.128343,0.130329,0.130970,0.131994,0.134065,0.135558,0.134852,0.132879,0.127075,0.125632,0.126956,0.125554,0.125444,0.002247,0.090671,0.125851,0.124252,0.124040,0.125338,0.124719,0.131750,0.126466,0.126060,0.125138,0.131407,0.142679,0.128263,0.130828,0.132448,0.131061,0.134580,0.135985,0.134949,0.132853
HAP1_chr07,0.130110,0.128120,0.129066,0.126684,0.127644,0.090581,0.000000,0.127507,0.127027,0.125350,0.127221,0.126558,0.132658,0.127081,0.127884,0.127967,0.135061,0.145429,0.130198,0.131914,0.133569,0.134260,0.134128,0.135420,0.136174,0.134522,0.129752,0.127551,0.129218,0.126554,0.127197,0.090413,0.002109,0.128070,0.126304,0.125505,0.126913,0.126039,0.132908,0.127284,0.127621,0.126863,0.135037,0.144885,0.129770,0.132380,0.134733,0.133751,0.134599,0.135786,0.136204,0.134119
HAP1_chr08,0.128720,0.128421,0.128686,0.128396,0.128736,0.125182,0.127507,0.000000,0.125741,0.125670,0.128715,0.124889,0.129717,0.093124,0.125771,0.125716,0.130738,0.140006,0.128730,0.128171,0.129401,0.131823,0.132874,0.133030,0.133307,0.130894,0.128496,0.128223,0.129272,0.127680,0.128389,0.125400,0.127624,0.001201,0.125339,0.125091,0.127728,0.124991,0.129748,0.093724,0.125611,0.124656,0.130631,0.139982,0.128382,0.128475,0.130410,0.131058,0.132611,0.133667,0.133701,0.131163
HAP1_chr09,0.126303,0.128754,0.127939,0.128550,0.102762,0.124301,0.127027,0.125741,0.000000,0.125952,0.127472,0.125871,0.126421,0.126015,0.126897,0.124498,0.128442,0.138374,0.115884,0.128185,0.129705,0.127357,0.130575,0.133507,0.132661,0.131688,0.126517,0.128151,0.127940,0.128526,0.102387,0.124355,0.126407,0.126393,0.001387,0.125794,0.126942,0.125599,0.126129,0.125965,0.126875,0.123123,0.128716,0.138661,0.115359,0.127037,0.130292,0.125714,0.131664,0.131470,0.130499,0.131603
HAP1_chr10,0.129444,0.099509,0.127928,0.126235,0.125994,0.124102,0.125350,0.125670,0.125952,0.000000,0.127023,0.124787,0.130781,0.126493,0.126331,0.126700,0.110396,0.143400,0.128197,0.131232,0.130990,0.131512,0.132751,0.134312,0.134841,0.132258,0.128773,0.099493,0.128007,0.126254,0.125751,0.124092,0.125835,0.126426,0.125781,0.000938,0.126738,0.124839,0.130767,0.126159,0.126107,0.125669,0.110562,0.142615,0.127458,0.131684,0.132464,0.130925,0.133185,0.135061,0.135110,0.132583
HAP1_chr11,0.130625,0.128589,0.130317,0.127799,0.127993,0.125766,0.127221,0.128715,0.127472,0.127023,0.000000,0.090609,0.132322,0.127142,0.127798,0.128022,0.132437,0.144815,0.128696,0.133137,0.132750,0.132203,0.133094,0.135747,0.135072,0.134126,0.129964,0.128161,0.130113,0.127892,0.127980,0.125382,0.127538,0.129169,0.127498,0.126976,0.003084,0.090577,0.132259,0.127076,0.127437,0.127010,0.132615,0.144459,0.128141,0.133377,0.133721,0.131537,0.133409,0.135988,0.135216,0.134556
HAP1_chr12,0.129472,0.127861,0.127310,0.127093,0.127835,0.124869,0.126558,0.124889,0.125871,0.124787,0.090609,0.000000,0.130691,0.127424,0.126523,0.126111,0.131058,0.138487,0.127141,0.130984,0.129771,0.131288,0.133357,0.133066,0.133098,0.130688,0.129281,0.127521,0.127549,0.127014,0.127307,0.124622,0.126641,0.125728,0.125536,0.124407,0.090410,0.001563,0.130531,0.127377,0.125998,0.124906,0.131841,0.139944,0.126595,0.130924,0.130650,0.130153,0.132887,0.134213,0.133082,0.131074
HAP1_chr13,0.128758,0.135235,0.134701,0.132164,0.132375,0.131424,0.132658,0.129717,0.126421,0.130781,0.132322,0.130691,0.000000,0.130747,0.129790,0.130314,0.127553,0.135032,0.127464,0.093466,0.126904,0.126969,0.129254,0.131450,0.134419,0.129898,0.128482,0.135243,0.134911,0.132019,0.132269,0.131696,0.131577,0.130737,0.126223,0.130508,0.131761,0.130784,0.002872,0.130828,0.129558,0.128815,0.127706,0.134288,0.127168,0.092424,0.127064,0.126692,0.130944,0.129458,0.130818,0.131183
HAP1_chr14,0.128729,0.129466,0.129515,0.128591,0.127079,0.126213,0.127081,0.093124,0.126015,0.126493,0.127142,0.127424,0.130747,0.000000,0.127179,0.128163,0.131214,0.140075,0.128246,0.130181,0.130230,0.131098,0.132423,0.135058,0.132975,0.131733,0.128079,0.129087,0.129756,0.128385,0.126827,0.126129,0.127473,0.092556,0.126030,0.126605,0.127033,0.127293,0.130928,0.002044,0.126983,0.127331,0.131413,0.139699,0.127502,0.130747,0.130812,0.130397,0.133009,0.135052,0.132980,0.131411
HAP1_chr15,0.129179,0.129704,0.129368,0.127807,0.127090,0.126301,0.127884,0.125771,0.126897,0.126331,0.127798,0.126523,0.129790,0.127179,0.000000,0.095760,0.130758,0.140961,0.127268,0.130458,0.130529,0.131832,0.130583,0.132263,0.132864,0.131346,0.128511,0.129957,0.129670,0.127607,0.127001,0.126253,0.128297,0.126055,0.126586,0.126108,0.127336,0.126557,0.130094,0.127684,0.002984,0.095541,0.130723,0.141755,0.127326,0.130661,0.131294,0.131318,0.131005,0.132599,0.133096,0.131197
HAP1_chr16,0.129300,0.130183,0.129047,0.128419,0.129495,0.126273,0.127967,0.125716,0.124498,0.126700,0.128022,0.126111,0.130314,0.128163,0.095760,0.000000,0.130830,0.138703,0.128741,0.129474,0.129752,0.128284,0.130141,0.133021,0.133019,0.131997,0.129029,0.129864,0.129116,0.128302,0.129109,0.125854,0.128627,0.126203,0.124510,0.126519,0.127172,0.125805,0.130117,0.128236,0.095714,0.001483,0.130819,0.138786,0.128174,0.129762,0.131085,0.127819,0.131240,0.132211,0.132687,0.132486
HAP1_chr17,0.130699,0.136067,0.134478,0.134714,0.133231,0.131323,0.135061,0.130738,0.128442,0.110396,0.132437,0.131058,0.127553,0.131214,0.130758,0.130830,0.000000,0.135312,0.128638,0.130795,0.130548,0.128434,0.116454,0.135964,0.133489,0.130318,0.131313,0.136379,0.134481,0.134964,0.132688,0.131187,0.134562,0.131239,0.128592,0.110465,0.132723,0.131279,0.127692,0.131163,0.130861,0.129519,0.001563,0.135139,0.128652,0.128631,0.128890,0.127789,0.116936,0.133463,0.130747,0.130572
HAP1_chr18,0.138679,0.147891,0.146711,0.145187,0.145071,0.142838,0.145429,0.140006,0.138374,0.143400,0.144815,0.138487,0.135032,0.140075,0.140961,0.138703,0.135312,0.000000,0.132814,0.135846,0.137268,0.135231,0.136507,0.137303,0.138662,0.102185,0.136684,0.148305,0.147729,0.144659,0.144944,0.142643,0.146271,0.140946,0.137720,0.142818,0.143765,0.139221,0.135164,0.140413,0.139915,0.137438,0.135358,0.003829,0.133224,0.136575,0.137924,0.134866,0.136677,0.131934,0.138152,0.100929
HAP1_chr19,0.129665,0.132057,0.132085,0.130046,0.129430,0.128343,0.130198,0.128730,0.115884,0.128197,0.128696,0.127141,0.127464,0.128246,0.127268,0.128741,0.128638,0.132814,0.000000,0.128468,0.128382,0.129842,0.129798,0.130505,0.109043,0.127497,0.128979,0.131851,0.132417,0.130118,0.129397,0.127490,0.130760,0.129236,0.115221,0.128075,0.129056,0.127003,0.127586,0.127964,0.126412,0.128357,0.128606,0.133727,0.000918,0.128681,0.128771,0.129992,0.129997,0.130977,0.109375,0.128566
HAP1_chr20,0.131491,0.134702,0.133450,0.133913,0.133672,0.130329,0.131914,0.128171,0.128185,0.131232,0.133137,0.130984,0.093466,0.130181,0.130458,0.129474,0.130795,0.135846,0.128468,0.000000,0.129339,0.128589,0.131298,0.133124,0.131289,0.130533,0.131859,0.134410,0.133945,0.134364,0.134523,0.130016,0.132907,0.128732,0.128346,0.131457,0.132377,0.130893,0.093715,0.130269,0.130202,0.128658,0.130619,0.135564,0.128860,0.002462,0.131194,0.128040,0.132709,0.131835,0.130691,0.131052
HAP1_chr21,0.131029,0.120700,0.133215,0.133306,0.112203,0.130970,0.133569,0.129401,0.129705,0.130990,0.132750,0.129771,0.126904,0.130230,0.130529,0.129752,0.130548,0.137268,0.128382,0.129339,0.000000,0.130289,0.130641,0.131341,0.133262,0.130379,0.131402,0.120851,0.133743,0.133602,0.113138,0.130988,0.133477,0.130562,0.129520,0.130885,0.132612,0.129920,0.127724,0.130141,0.130243,0.128637,0.130811,0.137155,0.128247,0.130720,0.002102,0.130325,0.131425,0.130411,0.133268,0.131202
