chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	4	0.019832	chr08	0.088839	-10.359	0	1.71
chr02	4	0.043951	chr04	0.076356	-12.813	0	1.25
chr03	4	0.077671	chr06	0.098806	-8.399	0	1.23
chr04	4	0.077757	chr02	0.076356	-12.813	0	1.25
chr05	4	0.075389	chr16	0.097749	-8.607	0	1.22
chr06	4	0.082551	chr03	0.098806	-8.399	0	1.23
chr07	4	0.086592	chr15	0.103544	-7.468	6.11178e-13	1.24
chr08	4	0.084294	chr01	0.088839	-10.359	0	1.71
chr09	4	0.078613	chr13	0.105879	-7.009	1.60139e-11	1.30
chr10	4	0.082239	chr12	0.102268	-7.719	1.00872e-13	1.23
chr11	4	0.026433	chr14	0.085424	-11.030	0	1.58
chr12	4	0.083893	chr10	0.102268	-7.719	1.00872e-13	1.23
chr13	4	0.084627	chr09	0.105879	-7.009	1.60139e-11	1.30
chr14	4	0.081576	chr11	0.085424	-11.030	0	1.58
chr15	4	0.080661	chr07	0.103544	-7.468	6.11178e-13	1.24
chr16	4	0.084700	chr05	0.097749	-8.607	0	1.22
