chrom_a	chrom_b	distance	z_score	p_value	q_value	accepted
chr03	chr05	0.073793	-1.654	0.0490539	0.440214	False
chr05	chr08	0.073967	-1.644	0.0501341	0.440214	False
chr03	chr07	0.074009	-1.641	0.050395	0.440214	False
chr05	chr07	0.074031	-1.640	0.0505313	0.440214	False
chr01	chr05	0.074050	-1.639	0.0506522	0.440214	False
chr07	chr08	0.074179	-1.631	0.0514652	0.440214	False
chr01	chr07	0.074356	-1.620	0.0526052	0.440214	False
chr03	chr08	0.074401	-1.617	0.0528941	0.440214	False
chr01	chr08	0.074830	-1.592	0.0557444	0.440214	False
chr05	chr09	0.075123	-1.574	0.0577598	0.440214	False
chr01	chr03	0.075126	-1.574	0.0577825	0.440214	False
chr04	chr05	0.075187	-1.570	0.0582058	0.440214	False
chr04	chr08	0.075357	-1.560	0.0594137	0.440214	False
chr04	chr07	0.075390	-1.558	0.0596512	0.440214	False
chr03	chr04	0.075464	-1.553	0.060177	0.440214	False
chr05	chr06	0.075570	-1.547	0.0609498	0.440214	False
chr05	chr12	0.075662	-1.541	0.0616165	0.440214	False
chr08	chr09	0.075707	-1.539	0.0619492	0.440214	False
chr08	chr16	0.075781	-1.534	0.0624945	0.440214	False
chr05	chr16	0.075849	-1.530	0.0630006	0.440214	False
chr05	chr10	0.075939	-1.525	0.0636771	0.440214	False
chr07	chr09	0.075945	-1.524	0.0637204	0.440214	False
chr07	chr16	0.075973	-1.523	0.0639316	0.440214	False
chr05	chr13	0.075996	-1.521	0.0641055	0.440214	False
chr03	chr09	0.076024	-1.519	0.0643214	0.440214	False
chr07	chr15	0.076205	-1.509	0.0657061	0.440214	False
chr03	chr12	0.076240	-1.506	0.0659765	0.440214	False
chr05	chr17	0.076242	-1.506	0.0659901	0.440214	False
chr01	chr09	0.076295	-1.503	0.0663993	0.440214	False
chr08	chr12	0.076344	-1.500	0.0667831	0.440214	False
chr01	chr04	0.076347	-1.500	0.0668066	0.440214	False
chr03	chr16	0.076376	-1.498	0.0670315	0.440214	False
chr05	chr15	0.076382	-1.498	0.0670824	0.440214	False
chr07	chr13	0.076410	-1.496	0.0672983	0.440214	False
chr04	chr06	0.076423	-1.495	0.0674044	0.440214	False
chr03	chr06	0.076449	-1.494	0.0676053	0.440214	False
chr06	chr08	0.076500	-1.491	0.0680083	0.440214	False
chr03	chr13	0.076516	-1.490	0.0681332	0.440214	False
chr07	chr10	0.076545	-1.488	0.0683636	0.440214	False
