chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.007194					
chr02	2	0.007086					
chr03	2	0.011023					
chr04	2	0.009629					
chr05	2	0.007136					
chr06	2	0.008143					
chr07	2	0.009396					
chr08	2	0.008101					
chr09	2	0.006436					
chr10	2	0.004973					
chr11	2	0.007303					
chr12	2	0.008889					
chr13	2	0.008268					
chr14	2	0.008559					
chr15	2	0.006517					
chr16	2	0.006283					
chr17	2	0.008594					
chr18	2	0.007141					
chr19	2	0.008184					
chr20	2	0.016440					
chr21	2	0.006602					
chr22	2	0.005144					
chr23	2	0.010637					
chr24	2	0.003652					
chr25	2	0.007170					
chr26	2	0.004533					
chr27	2	0.008605					
chr28	2	0.011509					
chr29	2	0.008075					
chr30	2	0.007932					
chr31	2	0.006134					
chr32	2	0.006443					
chr33	2	0.009310					
chr34	2	0.005540					
chr35	2	0.007169					
chr36	2	0.011663					
