,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18
HAP1_chr01,0.000000,0.145031,0.146489,0.146873,0.140091,0.137350,0.153810,0.149180,0.146935,0.143575,0.142549,0.150879,0.153197,0.151333,0.151799,0.160582,0.156779,0.159970
HAP1_chr02,0.145031,0.000000,0.150834,0.153065,0.147738,0.145545,0.159138,0.156267,0.145130,0.147789,0.151844,0.157045,0.160621,0.157724,0.152444,0.165325,0.160194,0.165971
HAP1_chr03,0.146489,0.150834,0.000000,0.144937,0.136364,0.137775,0.157481,0.140167,0.138229,0.143454,0.142986,0.154801,0.156324,0.151506,0.144423,0.159167,0.158788,0.156347
HAP1_chr04,0.146873,0.153065,0.144937,0.000000,0.140075,0.141897,0.150993,0.139927,0.146159,0.145574,0.145722,0.154015,0.158163,0.153929,0.149334,0.161923,0.158455,0.163615
HAP1_chr05,0.140091,0.147738,0.136364,0.140075,0.000000,0.132154,0.152981,0.135764,0.137467,0.134203,0.134886,0.152541,0.148599,0.148847,0.139772,0.152744,0.152436,0.157787
HAP1_chr06,0.137350,0.145545,0.137775,0.141897,0.132154,0.000000,0.152874,0.140579,0.136110,0.135306,0.128800,0.147679,0.150191,0.147440,0.139472,0.154479,0.152185,0.156998
HAP1_chr07,0.153810,0.159138,0.157481,0.150993,0.152981,0.152874,0.000000,0.161585,0.157539,0.157068,0.154940,0.158715,0.160902,0.158375,0.157927,0.163613,0.154695,0.166724
HAP1_chr08,0.149180,0.156267,0.140167,0.139927,0.135764,0.140579,0.161585,0.000000,0.142447,0.141064,0.141247,0.157527,0.156596,0.153519,0.146542,0.158927,0.159015,0.162464
HAP1_chr09,0.146935,0.145130,0.138229,0.146159,0.137467,0.136110,0.157539,0.142447,0.000000,0.141205,0.140173,0.151427,0.154421,0.153556,0.135978,0.159586,0.157564,0.160499
HAP1_chr10,0.143575,0.147789,0.143454,0.145574,0.134203,0.135306,0.157068,0.141064,0.141205,0.000000,0.134307,0.154527,0.152596,0.152786,0.143185,0.159344,0.155736,0.159545
HAP1_chr11,0.142549,0.151844,0.142986,0.145722,0.134886,0.128800,0.154940,0.141247,0.140173,0.134307,0.000000,0.150665,0.151192,0.152332,0.140488,0.159849,0.153589,0.158226
HAP1_chr12,0.150879,0.157045,0.154801,0.154015,0.152541,0.147679,0.158715,0.157527,0.151427,0.154527,0.150665,0.000000,0.156740,0.157429,0.157843,0.147388,0.157082,0.164777
HAP1_chr13,0.153197,0.160621,0.156324,0.158163,0.148599,0.150191,0.160902,0.156596,0.154421,0.152596,0.151192,0.156740,0.000000,0.147120,0.154933,0.162316,0.160182,0.165117
HAP1_chr14,0.151333,0.157724,0.151506,0.153929,0.148847,0.147440,0.158375,0.153519,0.153556,0.152786,0.152332,0.157429,0.147120,0.000000,0.154089,0.162031,0.160504,0.163376
HAP1_chr15,0.151799,0.152444,0.144423,0.149334,0.139772,0.139472,0.157927,0.146542,0.135978,0.143185,0.140488,0.157843,0.154933,0.154089,0.000000,0.157143,0.157417,0.160156
HAP1_chr16,0.160582,0.165325,0.159167,0.161923,0.152744,0.154479,0.163613,0.158927,0.159586,0.159344,0.159849,0.147388,0.162316,0.162031,0.157143,0.000000,0.164720,0.168426
HAP1_chr17,0.156779,0.160194,0.158788,0.158455,0.152436,0.152185,0.154695,0.159015,0.157564,0.155736,0.153589,0.157082,0.160182,0.160504,0.157417,0.164720,0.000000,0.165936
HAP1_chr18,0.159970,0.165971,0.156347,0.163615,0.157787,0.156998,0.166724,0.162464,0.160499,0.159545,0.158226,0.164777,0.165117,0.163376,0.160156,0.168426,0.165936,0.000000
