,HAP1_chr01,HAP1_chr03,HAP1_chr02,HAP1_chr04,HAP1_chr06,HAP1_chr05,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP3_chr12,HAP3_chr13,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08,HAP4_chr09,HAP4_chr10,HAP4_chr11,HAP4_chr12,HAP4_chr13
HAP1_chr01,0.000000,0.095468,0.092290,0.096139,0.099049,0.104990,0.099755,0.103560,0.101344,0.107583,0.109727,0.104847,0.105784,0.023420,0.092428,0.094503,0.095978,0.104227,0.098913,0.100296,0.103231,0.104475,0.106650,0.109717,0.105728,0.107506,0.013989,0.092858,0.095255,0.096382,0.104007,0.098202,0.100809,0.104593,0.103662,0.107518,0.109472,0.104565,0.107842,0.023189,0.092464,0.094511,0.096285,0.105231,0.097980,0.100528,0.103731,0.104059,0.107489,0.109489,0.105765,0.106370
HAP1_chr03,0.095468,0.000000,0.094861,0.097409,0.099342,0.103071,0.102585,0.101562,0.103646,0.106219,0.111734,0.103976,0.104631,0.093481,0.094255,0.020270,0.099636,0.103410,0.099665,0.100207,0.103098,0.107258,0.105626,0.107795,0.108700,0.109493,0.094810,0.094081,0.003841,0.097209,0.102785,0.100868,0.102914,0.102284,0.103448,0.110062,0.107054,0.103607,0.109229,0.094275,0.096377,0.019972,0.100318,0.106868,0.101751,0.100777,0.106057,0.103911,0.110591,0.110974,0.108282,0.105416
HAP1_chr02,0.092290,0.094861,0.000000,0.096585,0.098807,0.103372,0.100350,0.101488,0.100608,0.106815,0.109880,0.104153,0.105895,0.092248,0.022180,0.095592,0.097539,0.102635,0.099117,0.100023,0.102145,0.105948,0.105641,0.107444,0.106763,0.108872,0.092093,0.022671,0.094842,0.096809,0.102718,0.097949,0.100302,0.102693,0.103495,0.108770,0.107299,0.103747,0.109244,0.092554,0.022910,0.096127,0.096702,0.105086,0.098600,0.100081,0.103553,0.103689,0.109524,0.109462,0.106330,0.106258
HAP1_chr04,0.096139,0.097409,0.096585,0.000000,0.100204,0.103317,0.103266,0.101938,0.102877,0.106565,0.111779,0.104923,0.105213,0.094713,0.094929,0.100101,0.022076,0.103509,0.100669,0.099947,0.103092,0.106838,0.106004,0.108489,0.107988,0.110323,0.095902,0.094948,0.097202,0.006497,0.104451,0.101461,0.102719,0.102821,0.102402,0.110935,0.107636,0.103768,0.109828,0.094974,0.097234,0.099727,0.023263,0.106505,0.102196,0.100414,0.106503,0.103214,0.110670,0.111460,0.108206,0.105707
HAP1_chr06,0.099049,0.099342,0.098807,0.100204,0.000000,0.105546,0.105813,0.104220,0.106445,0.109075,0.113097,0.107556,0.107567,0.098018,0.097757,0.102048,0.102703,0.106198,0.005844,0.103238,0.105513,0.108778,0.108162,0.109262,0.110407,0.111528,0.098322,0.097501,0.099327,0.100079,0.106623,0.020024,0.106290,0.105203,0.105581,0.112373,0.108805,0.106830,0.111367,0.098456,0.099665,0.101788,0.103110,0.108401,0.020703,0.103395,0.108495,0.105960,0.112023,0.113205,0.110912,0.107987
HAP1_chr05,0.104990,0.103071,0.103372,0.103317,0.105546,0.000000,0.109362,0.105520,0.107715,0.110875,0.115139,0.108281,0.108361,0.102311,0.101965,0.105941,0.106788,0.011430,0.105805,0.105641,0.107641,0.111055,0.110082,0.110642,0.111690,0.113340,0.104218,0.101921,0.103017,0.103634,0.012581,0.108023,0.107782,0.107109,0.107108,0.114750,0.110249,0.108180,0.113456,0.102566,0.104195,0.105759,0.107336,0.022493,0.108852,0.106002,0.109342,0.107124,0.115467,0.115081,0.112146,0.108292
HAP1_chr07,0.099755,0.102585,0.100350,0.103266,0.105813,0.109362,0.000000,0.105731,0.106573,0.110392,0.111998,0.109721,0.110305,0.100958,0.100743,0.102160,0.102948,0.108734,0.105756,0.021814,0.106407,0.109351,0.109242,0.111294,0.110262,0.111086,0.099556,0.100577,0.102174,0.103406,0.108175,0.104184,0.020297,0.107592,0.108077,0.111552,0.111205,0.109532,0.110507,0.100959,0.100717,0.102730,0.103258,0.109296,0.104452,0.021419,0.106107,0.108320,0.111754,0.111418,0.110005,0.110521
HAP1_chr08,0.103560,0.101562,0.101488,0.101938,0.104220,0.105520,0.105731,0.000000,0.106416,0.108179,0.113644,0.107094,0.106704,0.100291,0.100236,0.104428,0.104844,0.106872,0.104327,0.102892,0.019530,0.109309,0.108058,0.110875,0.109965,0.111794,0.102245,0.099661,0.101309,0.102223,0.106044,0.106224,0.106023,0.007294,0.105255,0.113591,0.110380,0.106135,0.110861,0.101062,0.102438,0.104311,0.105580,0.110063,0.106612,0.103139,0.021197,0.106098,0.113217,0.113070,0.111198,0.107642
HAP1_chr09,0.101344,0.103646,0.100608,0.102877,0.106445,0.107715,0.106573,0.106416,0.000000,0.109893,0.113054,0.107524,0.110062,0.101675,0.101391,0.104735,0.103844,0.107595,0.106303,0.105898,0.106357,0.019098,0.109897,0.111371,0.109484,0.111795,0.101246,0.101417,0.103521,0.102995,0.107074,0.105346,0.106074,0.106545,0.020058,0.111721,0.110656,0.107220,0.111897,0.101866,0.102385,0.104681,0.103639,0.109355,0.106048,0.105210,0.107474,0.020130,0.112106,0.111871,0.108848,0.109828
HAP1_chr10,0.107583,0.106219,0.106815,0.106565,0.109075,0.110875,0.110392,0.108179,0.109893,0.000000,0.117699,0.111877,0.111092,0.105568,0.105992,0.109866,0.109538,0.110592,0.109419,0.107556,0.109707,0.114028,0.006458,0.114024,0.114878,0.115723,0.106888,0.105932,0.106552,0.106284,0.111343,0.109383,0.109801,0.109159,0.109890,0.018414,0.113394,0.110500,0.115121,0.106482,0.107818,0.110191,0.109558,0.114462,0.110567,0.107237,0.113093,0.110267,0.016680,0.118026,0.114932,0.112101
