,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19
HAP1_chr01,0.000000,0.074849,0.077732,0.077803,0.077705,0.068660,0.095678,0.096464,0.081684,0.081332,0.083025,0.083596,0.083895,0.099991,0.100494,0.100485,0.086026,0.053107,0.101018,0.007294,0.074808,0.077815,0.077350,0.077674,0.068497,0.096184,0.095967,0.081441,0.081252,0.083618,0.084008,0.085513,0.100542,0.099505,0.100401,0.083878,0.051736,0.101248
HAP1_chr02,0.074849,0.000000,0.060915,0.085744,0.085691,0.092819,0.070016,0.070931,0.098801,0.098560,0.101162,0.101481,0.100413,0.083848,0.084840,0.088824,0.101939,0.069071,0.089478,0.074675,0.005759,0.060696,0.085518,0.085625,0.092766,0.070828,0.070707,0.098642,0.098386,0.101653,0.102099,0.102211,0.084543,0.083642,0.089082,0.100192,0.070184,0.089407
HAP1_chr03,0.077732,0.060915,0.000000,0.085690,0.085677,0.086505,0.077469,0.078007,0.095285,0.095076,0.100078,0.100435,0.097031,0.075567,0.076424,0.071853,0.098385,0.068913,0.072056,0.077666,0.061133,0.005147,0.085197,0.085742,0.086514,0.077914,0.077528,0.095037,0.095030,0.100455,0.100641,0.098803,0.076123,0.075031,0.070792,0.096763,0.067488,0.071875
HAP1_chr04,0.077803,0.085744,0.085690,0.000000,0.015623,0.084410,0.088113,0.088578,0.094209,0.094056,0.090970,0.090782,0.079528,0.095384,0.095968,0.095662,0.081276,0.079794,0.095908,0.077731,0.085705,0.085673,0.018114,0.017002,0.084504,0.088475,0.088272,0.094000,0.093546,0.091184,0.091338,0.080484,0.095869,0.095011,0.095199,0.079454,0.079390,0.096050
HAP1_chr05,0.077705,0.085691,0.085677,0.015623,0.000000,0.084600,0.087886,0.088166,0.093954,0.093722,0.090745,0.090879,0.079635,0.095003,0.095536,0.095338,0.081090,0.079996,0.095506,0.077588,0.085673,0.085679,0.017474,0.017567,0.084560,0.088061,0.088141,0.093942,0.093195,0.090999,0.091039,0.080349,0.095562,0.094943,0.095075,0.079409,0.079342,0.095708
HAP1_chr06,0.068660,0.092819,0.086505,0.084410,0.084600,0.000000,0.097243,0.098167,0.070649,0.070547,0.081266,0.082021,0.071155,0.097780,0.097801,0.097518,0.073827,0.098335,0.097806,0.068650,0.092745,0.086563,0.084005,0.084217,0.004886,0.097711,0.097831,0.070092,0.070406,0.082229,0.081980,0.072778,0.098054,0.097109,0.097234,0.071179,0.097436,0.097975
HAP1_chr07,0.095678,0.070016,0.077469,0.088113,0.087886,0.097243,0.000000,0.018667,0.093475,0.093474,0.090451,0.090588,0.094470,0.077356,0.078201,0.082010,0.095569,0.095829,0.082455,0.095744,0.070267,0.077391,0.088058,0.088166,0.097353,0.008588,0.018170,0.093501,0.093100,0.090862,0.090930,0.095359,0.078104,0.077294,0.081883,0.094266,0.094980,0.082264
HAP1_chr08,0.096464,0.070931,0.078007,0.088578,0.088166,0.098167,0.018667,0.000000,0.093602,0.093444,0.090533,0.090414,0.094362,0.077806,0.078435,0.081352,0.095612,0.095608,0.081802,0.096490,0.070684,0.077864,0.088351,0.088457,0.098194,0.019485,0.018404,0.093464,0.092954,0.090903,0.091134,0.095193,0.078243,0.077639,0.081350,0.094192,0.094894,0.081544
HAP1_chr09,0.081684,0.098801,0.095285,0.094209,0.093954,0.070649,0.093475,0.093602,0.000000,0.016167,0.073246,0.073451,0.089766,0.090726,0.091078,0.090729,0.090367,0.091469,0.090924,0.081605,0.098587,0.095431,0.093718,0.094037,0.070729,0.093534,0.093798,0.020607,0.022160,0.073479,0.073818,0.090718,0.090985,0.090525,0.089987,0.089212,0.090602,0.090492
HAP1_chr10,0.081332,0.098560,0.095076,0.094056,0.093722,0.070547,0.093474,0.093444,0.016167,0.000000,0.073186,0.073440,0.089758,0.090679,0.090932,0.090599,0.090382,0.091418,0.091021,0.081334,0.098451,0.095091,0.093832,0.094162,0.070626,0.093504,0.093508,0.021007,0.021879,0.073392,0.073710,0.090581,0.090867,0.090548,0.090157,0.089473,0.090569,0.090489
HAP1_chr11,0.083025,0.101162,0.100078,0.090970,0.090745,0.081266,0.090451,0.090533,0.073246,0.073186,0.000000,0.019147,0.092722,0.092904,0.093451,0.093408,0.093498,0.094071,0.093596,0.083685,0.101048,0.100069,0.090811,0.090855,0.081548,0.090174,0.090303,0.073296,0.073197,0.020292,0.006472,0.093223,0.093610,0.093182,0.092825,0.092817,0.093231,0.093313
HAP1_chr12,0.083596,0.101481,0.100435,0.090782,0.090879,0.082021,0.090588,0.090414,0.073451,0.073440,0.019147,0.000000,0.093233,0.093430,0.093581,0.093428,0.093790,0.094294,0.093600,0.084161,0.101332,0.100462,0.090856,0.090762,0.082166,0.090283,0.090424,0.073529,0.073324,0.020375,0.020691,0.092901,0.093701,0.093564,0.093317,0.092997,0.093404,0.093891
HAP1_chr13,0.083895,0.100413,0.097031,0.079528,0.079635,0.071155,0.094470,0.094362,0.089766,0.089758,0.092722,0.093233,0.000000,0.089956,0.090444,0.090141,0.024135,0.091078,0.090231,0.083906,0.100290,0.097078,0.079411,0.079310,0.070841,0.094384,0.094240,0.089931,0.089574,0.092970,0.093017,0.017661,0.090095,0.089780,0.089934,0.022182,0.090102,0.089785
HAP1_chr14,0.099991,0.083848,0.075567,0.095384,0.095003,0.097780,0.077356,0.077806,0.090726,0.090679,0.092904,0.093430,0.089956,0.000000,0.020366,0.091364,0.090910,0.091456,0.091280,0.099910,0.084067,0.075507,0.095239,0.095487,0.097618,0.077799,0.077130,0.090626,0.090388,0.093408,0.093174,0.091234,0.018535,0.019516,0.090514,0.090327,0.090528,0.090821
HAP1_chr15,0.100494,0.084840,0.076424,0.095968,0.095536,0.097801,0.078201,0.078435,0.091078,0.090932,0.093451,0.093581,0.090444,0.020366,0.000000,0.090947,0.091111,0.091578,0.090777,0.100608,0.084789,0.076330,0.095711,0.095785,0.097598,0.078711,0.078113,0.091211,0.090383,0.093872,0.093591,0.091222,0.015231,0.019612,0.090671,0.090676,0.090620,0.091248
HAP1_chr16,0.100485,0.088824,0.071853,0.095662,0.095338,0.097518,0.082010,0.081352,0.090729,0.090599,0.093408,0.093428,0.090141,0.091364,0.090947,0.000000,0.090763,0.091260,0.014101,0.100208,0.088281,0.071825,0.095548,0.095589,0.097562,0.081684,0.082299,0.090747,0.090445,0.093541,0.093563,0.090352,0.091151,0.090783,0.025155,0.089819,0.090449,0.025296
HAP1_chr17,0.086026,0.101939,0.098385,0.081276,0.081090,0.073827,0.095569,0.095612,0.090367,0.090382,0.093498,0.093790,0.024135,0.090910,0.091111,0.090763,0.000000,0.091549,0.090371,0.085920,0.101945,0.098511,0.080933,0.081091,0.073569,0.095369,0.095390,0.090431,0.090293,0.093447,0.093801,0.024229,0.091141,0.090636,0.090138,0.023431,0.090612,0.090582
