chrom	unit_a	unit_b	hap_a	hap_b	distance	resolution_limited
chr01	HAP1_chr01	HAP2_chr01	HAP1	HAP2	0.021516	False
chr01	HAP1_chr01	HAP3_chr01	HAP1	HAP3	0.022567	False
chr01	HAP1_chr01	HAP4_chr01	HAP1	HAP4	0.021862	False
chr01	HAP2_chr01	HAP3_chr01	HAP2	HAP3	0.022493	False
chr01	HAP2_chr01	HAP4_chr01	HAP2	HAP4	0.022447	False
chr01	HAP3_chr01	HAP4_chr01	HAP3	HAP4	0.022885	False
chr02	HAP1_chr02	HAP2_chr02	HAP1	HAP2	0.021703	False
chr02	HAP1_chr02	HAP3_chr02	HAP1	HAP3	0.021984	False
chr02	HAP1_chr02	HAP4_chr02	HAP1	HAP4	0.022693	False
chr02	HAP2_chr02	HAP3_chr02	HAP2	HAP3	0.018486	False
chr02	HAP2_chr02	HAP4_chr02	HAP2	HAP4	0.021239	False
chr02	HAP3_chr02	HAP4_chr02	HAP3	HAP4	0.022296	False
chr03	HAP1_chr03	HAP2_chr03	HAP1	HAP2	0.026457	False
chr03	HAP1_chr03	HAP3_chr03	HAP1	HAP3	0.027492	False
chr03	HAP1_chr03	HAP4_chr03	HAP1	HAP4	0.025778	False
chr03	HAP2_chr03	HAP3_chr03	HAP2	HAP3	0.025235	False
chr03	HAP2_chr03	HAP4_chr03	HAP2	HAP4	0.024588	False
chr03	HAP3_chr03	HAP4_chr03	HAP3	HAP4	0.025793	False
chr04	HAP1_chr04	HAP2_chr04	HAP1	HAP2	0.020720	False
chr04	HAP1_chr04	HAP3_chr04	HAP1	HAP3	0.021342	False
chr04	HAP1_chr04	HAP4_chr04	HAP1	HAP4	0.021579	False
chr04	HAP2_chr04	HAP3_chr04	HAP2	HAP3	0.020487	False
chr04	HAP2_chr04	HAP4_chr04	HAP2	HAP4	0.020450	False
chr04	HAP3_chr04	HAP4_chr04	HAP3	HAP4	0.020356	False
chr05	HAP1_chr05	HAP2_chr05	HAP1	HAP2	0.022946	False
chr05	HAP1_chr05	HAP3_chr05	HAP1	HAP3	0.024957	False
chr05	HAP1_chr05	HAP4_chr05	HAP1	HAP4	0.023854	False
chr05	HAP2_chr05	HAP3_chr05	HAP2	HAP3	0.021650	False
chr05	HAP2_chr05	HAP4_chr05	HAP2	HAP4	0.023838	False
chr05	HAP3_chr05	HAP4_chr05	HAP3	HAP4	0.022885	False
chr06	HAP1_chr06	HAP2_chr06	HAP1	HAP2	0.024731	False
chr06	HAP1_chr06	HAP3_chr06	HAP1	HAP3	0.025108	False
chr06	HAP1_chr06	HAP4_chr06	HAP1	HAP4	0.025953	False
chr06	HAP2_chr06	HAP3_chr06	HAP2	HAP3	0.025268	False
chr06	HAP2_chr06	HAP4_chr06	HAP2	HAP4	0.025987	False
chr06	HAP3_chr06	HAP4_chr06	HAP3	HAP4	0.025568	False
chr07	HAP1_chr07	HAP2_chr07	HAP1	HAP2	0.024752	False
chr07	HAP1_chr07	HAP3_chr07	HAP1	HAP3	0.025205	False
chr07	HAP1_chr07	HAP4_chr07	HAP1	HAP4	0.024072	False
chr07	HAP2_chr07	HAP3_chr07	HAP2	HAP3	0.024270	False
chr07	HAP2_chr07	HAP4_chr07	HAP2	HAP4	0.025368	False
chr07	HAP3_chr07	HAP4_chr07	HAP3	HAP4	0.026234	False
chr08	HAP1_chr08	HAP2_chr08	HAP1	HAP2	0.025148	False
chr08	HAP1_chr08	HAP3_chr08	HAP1	HAP3	0.023962	False
chr08	HAP1_chr08	HAP4_chr08	HAP1	HAP4	0.027993	False
chr08	HAP2_chr08	HAP3_chr08	HAP2	HAP3	0.025826	False
chr08	HAP2_chr08	HAP4_chr08	HAP2	HAP4	0.025616	False
chr08	HAP3_chr08	HAP4_chr08	HAP3	HAP4	0.027469	False
chr09	HAP1_chr09	HAP2_chr09	HAP1	HAP2	0.023337	False
chr09	HAP1_chr09	HAP3_chr09	HAP1	HAP3	0.023664	False
chr09	HAP1_chr09	HAP4_chr09	HAP1	HAP4	0.022486	False
chr09	HAP2_chr09	HAP3_chr09	HAP2	HAP3	0.022240	False
chr09	HAP2_chr09	HAP4_chr09	HAP2	HAP4	0.021918	False
chr09	HAP3_chr09	HAP4_chr09	HAP3	HAP4	0.022100	False
chr10	HAP1_chr10	HAP2_chr10	HAP1	HAP2	0.029692	False
chr10	HAP1_chr10	HAP3_chr10	HAP1	HAP3	0.018674	False
chr10	HAP1_chr10	HAP4_chr10	HAP1	HAP4	0.028988	False
chr10	HAP2_chr10	HAP3_chr10	HAP2	HAP3	0.026680	False
chr10	HAP2_chr10	HAP4_chr10	HAP2	HAP4	0.026092	False
chr10	HAP3_chr10	HAP4_chr10	HAP3	HAP4	0.028241	False
chr11	HAP1_chr11	HAP2_chr11	HAP1	HAP2	0.028754	False
chr11	HAP1_chr11	HAP3_chr11	HAP1	HAP3	0.028260	False
chr11	HAP1_chr11	HAP4_chr11	HAP1	HAP4	0.028086	False
chr11	HAP2_chr11	HAP3_chr11	HAP2	HAP3	0.028552	False
chr11	HAP2_chr11	HAP4_chr11	HAP2	HAP4	0.030436	False
chr11	HAP3_chr11	HAP4_chr11	HAP3	HAP4	0.027692	False
