,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08,HAP4_chr09,HAP4_chr10,HAP4_chr11
HAP1_chr01,0.000000,0.096069,0.096942,0.099070,0.099604,0.098265,0.098742,0.097579,0.099020,0.097846,0.098683,0.021516,0.096433,0.096888,0.098989,0.098491,0.099416,0.101009,0.096668,0.099652,0.099924,0.099372,0.022567,0.097197,0.097911,0.100097,0.098971,0.099247,0.098731,0.096922,0.098817,0.098402,0.099371,0.021862,0.095998,0.097325,0.099218,0.098541,0.098284,0.099447,0.098700,0.099546,0.099735,0.099781
HAP1_chr02,0.096069,0.000000,0.096999,0.099700,0.099810,0.098676,0.099129,0.097246,0.098747,0.099136,0.099322,0.097092,0.021703,0.096576,0.099578,0.098905,0.099277,0.099867,0.097236,0.100152,0.100543,0.098652,0.096808,0.021984,0.098896,0.100873,0.099456,0.099624,0.098722,0.096714,0.099570,0.098816,0.099551,0.096647,0.022693,0.098111,0.099667,0.099506,0.099002,0.099652,0.099554,0.100290,0.100475,0.100046
HAP1_chr03,0.096942,0.096999,0.000000,0.098938,0.099774,0.097512,0.098454,0.096640,0.098198,0.097491,0.097767,0.096833,0.097824,0.026457,0.098698,0.098809,0.098167,0.098424,0.096019,0.098964,0.099644,0.099030,0.097034,0.097244,0.027492,0.100035,0.098988,0.098248,0.097125,0.096332,0.098781,0.097904,0.098150,0.096822,0.096970,0.025778,0.099098,0.099843,0.097675,0.098705,0.098160,0.099074,0.099547,0.099260
HAP1_chr04,0.099070,0.099700,0.098938,0.000000,0.100704,0.100666,0.100425,0.100106,0.100402,0.100403,0.101298,0.099438,0.099702,0.098692,0.020720,0.100237,0.100473,0.101903,0.099229,0.101398,0.101025,0.100939,0.099607,0.100425,0.100573,0.021342,0.101438,0.100880,0.100674,0.099169,0.100477,0.099671,0.101168,0.098706,0.099501,0.099721,0.021579,0.101056,0.100278,0.101400,0.101020,0.101447,0.101549,0.101379
HAP1_chr05,0.099604,0.099810,0.099774,0.100704,0.000000,0.099355,0.101505,0.099084,0.100327,0.100164,0.100682,0.100051,0.100041,0.099079,0.101276,0.022946,0.100844,0.101973,0.099372,0.101667,0.100868,0.101513,0.100011,0.099624,0.100559,0.102607,0.024957,0.101355,0.102163,0.099307,0.101221,0.100120,0.101081,0.100342,0.100124,0.100976,0.101702,0.023854,0.100782,0.101505,0.100904,0.101863,0.101458,0.101430
HAP1_chr06,0.098265,0.098676,0.097512,0.100666,0.099355,0.000000,0.099900,0.098163,0.099262,0.099525,0.099148,0.099338,0.098882,0.096927,0.099148,0.100092,0.024731,0.100272,0.097807,0.100384,0.099715,0.099945,0.098599,0.099654,0.098229,0.101067,0.099816,0.025108,0.099214,0.098443,0.099679,0.099066,0.099188,0.099019,0.098828,0.098119,0.100250,0.099764,0.025953,0.099716,0.100209,0.099745,0.099599,0.100024
HAP1_chr07,0.098742,0.099129,0.098454,0.100425,0.101505,0.099900,0.000000,0.098746,0.100818,0.099446,0.100272,0.099734,0.099703,0.099521,0.100014,0.100492,0.099868,0.024752,0.098234,0.100782,0.101909,0.099454,0.099596,0.100238,0.099614,0.101737,0.100864,0.099291,0.025205,0.098937,0.100773,0.099189,0.100218,0.099873,0.099396,0.099356,0.100964,0.100733,0.099794,0.024072,0.100450,0.100883,0.100587,0.100801
HAP1_chr08,0.097579,0.097246,0.096640,0.100106,0.099084,0.098163,0.098746,0.000000,0.098393,0.098245,0.098126,0.097514,0.098532,0.096424,0.100416,0.099118,0.099231,0.100129,0.025148,0.098842,0.099129,0.098396,0.097694,0.097689,0.097476,0.100527,0.098550,0.098560,0.097626,0.023962,0.099111,0.097764,0.098517,0.097954,0.097832,0.097615,0.100661,0.098951,0.098646,0.099269,0.027993,0.099459,0.099084,0.098894
HAP1_chr09,0.099020,0.098747,0.098198,0.100402,0.100327,0.099262,0.100818,0.098393,0.000000,0.098769,0.098995,0.099346,0.099254,0.097362,0.100202,0.100321,0.099945,0.100830,0.098376,0.023337,0.099981,0.099071,0.099415,0.098696,0.098754,0.101376,0.100179,0.100032,0.100237,0.098107,0.023664,0.098122,0.098877,0.099661,0.099203,0.099117,0.100752,0.099620,0.100036,0.100613,0.100281,0.022486,0.100767,0.100424
HAP1_chr10,0.097846,0.099136,0.097491,0.100403,0.100164,0.099525,0.099446,0.098245,0.098769,0.000000,0.098877,0.098360,0.099504,0.097980,0.100259,0.099669,0.099268,0.099887,0.097481,0.099683,0.029692,0.099067,0.098495,0.099868,0.099719,0.100549,0.099424,0.100107,0.099262,0.097170,0.099803,0.018674,0.098308,0.097317,0.098877,0.099002,0.100607,0.099193,0.098574,0.100357,0.098726,0.099902,0.028988,0.099262
HAP1_chr11,0.098683,0.099322,0.097767,0.101298,0.100682,0.099148,0.100272,0.098126,0.098995,0.098877,0.000000,0.098709,0.098803,0.097758,0.100721,0.099955,0.098896,0.100226,0.097375,0.099845,0.099661,0.028754,0.098597,0.099582,0.099068,0.101669,0.100145,0.099313,0.099733,0.097058,0.099834,0.098628,0.028260,0.099646,0.098669,0.099154,0.100048,0.099700,0.099301,0.100480,0.098500,0.098559,0.099484,0.028086
HAP2_chr01,0.021516,0.097092,0.096833,0.099438,0.100051,0.099338,0.099734,0.097514,0.099346,0.098360,0.098709,0.000000,0.097574,0.097270,0.099453,0.098828,0.099700,0.100943,0.097212,0.100555,0.100613,0.098780,0.022493,0.098028,0.098674,0.100492,0.099135,0.100182,0.099215,0.096691,0.099331,0.098659,0.099488,0.022447,0.096786,0.097209,0.099253,0.098654,0.098837,0.100436,0.099607,0.100024,0.100248,0.100260
HAP2_chr02,0.096433,0.021703,0.097824,0.099702,0.100041,0.098882,0.099703,0.098532,0.099254,0.099504,0.098803,0.097574,0.000000,0.097418,0.099614,0.098609,0.100080,0.100071,0.097686,0.100252,0.101336,0.099433,0.096900,0.018486,0.099138,0.100741,0.099491,0.100175,0.098686,0.097798,0.099890,0.099492,0.099724,0.096796,0.021239,0.098564,0.099728,0.099229,0.099558,0.100105,0.099957,0.100461,0.100673,0.100631
HAP2_chr03,0.096888,0.096576,0.026457,0.098692,0.099079,0.096927,0.099521,0.096424,0.097362,0.097980,0.097758,0.097270,0.097418,0.000000,0.099001,0.098464,0.098604,0.099180,0.095709,0.098746,0.099638,0.098365,0.096861,0.097099,0.025235,0.099662,0.099186,0.098270,0.099015,0.096559,0.098475,0.097966,0.098538,0.096569,0.097111,0.024588,0.099269,0.098699,0.098244,0.099828,0.098536,0.098964,0.099768,0.098628
HAP2_chr04,0.098989,0.099578,0.098698,0.020720,0.101276,0.099148,0.100014,0.100416,0.100202,0.100259,0.100721,0.099453,0.099614,0.099001,0.000000,0.100682,0.100549,0.101206,0.099640,0.101478,0.102290,0.100826,0.099454,0.099559,0.100562,0.020487,0.100829,0.101068,0.100323,0.099383,0.100358,0.100078,0.101709,0.099855,0.099319,0.100426,0.020450,0.100974,0.099914,0.101271,0.100706,0.100941,0.102557,0.101743
HAP2_chr05,0.098491,0.098905,0.098809,0.100237,0.022946,0.100092,0.100492,0.099118,0.100321,0.099669,0.099955,0.098828,0.098609,0.098464,0.100682,0.000000,0.100129,0.101313,0.098417,0.101261,0.100861,0.099779,0.098336,0.099146,0.099459,0.101398,0.021650,0.100619,0.100049,0.099047,0.099842,0.099199,0.100082,0.099006,0.099326,0.099118,0.100587,0.023838,0.099651,0.101054,0.099407,0.100490,0.101321,0.101173
HAP2_chr06,0.099416,0.099277,0.098167,0.100473,0.100844,0.024731,0.099868,0.099231,0.099945,0.099268,0.098896,0.099700,0.100080,0.098604,0.100549,0.100129,0.000000,0.100749,0.098090,0.101150,0.100337,0.099061,0.099343,0.099912,0.099006,0.101272,0.100269,0.025268,0.099561,0.098661,0.099958,0.098489,0.100064,0.100258,0.099206,0.099304,0.100890,0.100040,0.025987,0.101005,0.100344,0.100419,0.100506,0.100584
