unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	7306	2707	566198	561588
HAP1_chr02	HAP2_chr02	chr02	6954	4853	493526	491425
HAP1_chr03	HAP2_chr03	chr03	17015	1511	277519	263567
HAP1_chr04	HAP2_chr04	chr04	3658	1310	285375	283027
HAP1_chr05	HAP2_chr05	chr05	3526	4213	280961	281649
HAP1_chr06	HAP2_chr06	chr06	4840	1281	267598	264039
HAP1_chr07	HAP2_chr07	chr07	1670	3670	215309	217309
HAP1_chr08	HAP2_chr08	chr08	8145	650	227995	220489
HAP1_chr09	HAP2_chr09	chr09	9430	2397	246379	239345
HAP1_chr10	HAP2_chr10	chr10	3923	4714	203174	203965
HAP1_chr11	HAP2_chr11	chr11	1998	5126	193032	196160
HAP1_chr12	HAP2_chr12	chr12	4497	629	182691	178820
HAP1_chr13	HAP2_chr13	chr13	6421	1389	181192	176181
HAP1_chr14	HAP2_chr14	chr14	6306	1349	162894	157937
HAP1_chr15	HAP2_chr15	chr15	1533	2241	164070	164784
HAP1_chr16	HAP2_chr16	chr16	1590	483	111331	110224
