unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b	te_marker_fraction	windowed_distance_cv
HAP1_chr01	HAP2_chr01	chr01	7306	2707	566198	561588	0.008878	0.282228
HAP1_chr02	HAP2_chr02	chr02	6954	4853	493526	491425	0.011987	0.229501
HAP1_chr03	HAP2_chr03	chr03	17015	1511	277519	263567	0.034239	0.185152
HAP1_chr04	HAP2_chr04	chr04	3658	1310	285375	283027	0.008740	0.168058
HAP1_chr05	HAP2_chr05	chr05	3526	4213	280961	281649	0.013756	0.333152
HAP1_chr06	HAP2_chr06	chr06	4840	1281	267598	264039	0.011513	0.126129
HAP1_chr07	HAP2_chr07	chr07	1670	3670	215309	217309	0.012343	0.012816
HAP1_chr08	HAP2_chr08	chr08	8145	650	227995	220489	0.019611	0.091338
HAP1_chr09	HAP2_chr09	chr09	9430	2397	246379	239345	0.024349	0.269247
HAP1_chr10	HAP2_chr10	chr10	3923	4714	203174	203965	0.021214	0.010751
HAP1_chr11	HAP2_chr11	chr11	1998	5126	193032	196160	0.018305	0.366364
HAP1_chr12	HAP2_chr12	chr12	4497	629	182691	178820	0.014179	0.250697
HAP1_chr13	HAP2_chr13	chr13	6421	1389	181192	176181	0.021854	0.146990
HAP1_chr14	HAP2_chr14	chr14	6306	1349	162894	157937	0.023860	0.069162
HAP1_chr15	HAP2_chr15	chr15	1533	2241	164070	164784	0.011476	0.015012
HAP1_chr16	HAP2_chr16	chr16	1590	483	111331	110224	0.009357	0.298645
