chrom_a	chrom_b	mean_distance	z_score	p_value	q_value	n_haplotype_copy_pairs	resolution_limited	n_resolution_limited_of_total
chr03	chr04	0.090090	-9.915	0	0	4	False	0/4
chr11	chr12	0.090467	-9.824	0	0	4	False	0/4
chr06	chr07	0.090542	-9.806	0	0	4	False	0/4
chr13	chr20	0.093062	-9.197	0	0	4	False	0/4
chr08	chr14	0.093142	-9.177	0	0	4	False	0/4
chr15	chr16	0.095619	-8.578	0	0	4	False	0/4
chr02	chr10	0.099540	-7.630	1.17684e-14	5.46388e-13	4	False	0/4
chr18	chr26	0.101260	-7.214	2.72227e-13	1.10592e-11	4	False	0/4
chr01	chr22	0.102269	-6.970	1.5889e-12	5.73768e-11	4	False	0/4
chr05	chr09	0.102610	-6.887	2.84228e-12	9.23742e-11	4	False	0/4
chr19	chr25	0.109402	-5.245	7.83204e-08	2.12118e-06	4	False	0/4
chr17	chr23	0.116889	-3.434	0.000297468	0.00604231	4	False	0/4
