chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.004406	chr22	0.102269	-6.970	5.73768e-11	23.67
chr02	2	0.001469	chr10	0.099540	-7.630	5.46388e-13	82.71
chr03	2	0.001692	chr04	0.090090	-9.915	0	55.12
chr04	2	0.001577	chr03	0.090090	-9.915	0	55.12
chr05	2	0.002941	chr09	0.102610	-6.887	9.23742e-11	47.42
chr06	2	0.002247	chr07	0.090542	-9.806	0	41.57
chr07	2	0.002109	chr06	0.090542	-9.806	0	41.57
chr08	2	0.001201	chr14	0.093142	-9.177	0	57.41
chr09	2	0.001387	chr05	0.102610	-6.887	9.23742e-11	47.42
chr10	2	0.000938	chr02	0.099540	-7.630	5.46388e-13	82.71
chr11	2	0.003084	chr12	0.090467	-9.824	0	38.94
chr12	2	0.001563	chr11	0.090467	-9.824	0	38.94
chr13	2	0.002872	chr20	0.093062	-9.197	0	34.89
chr14	2	0.002044	chr08	0.093142	-9.177	0	57.41
chr15	2	0.002984	chr16	0.095619	-8.578	0	42.81
chr16	2	0.001483	chr15	0.095619	-8.578	0	42.81
chr17	2	0.001563	chr23	0.116889	-3.434	0.00604231	70.61
chr18	2	0.003829	chr26	0.101260	-7.214	1.10592e-11	23.64
chr19	2	0.000918	chr25	0.109402	-5.245	2.12118e-06	119.37
chr20	2	0.002462	chr13	0.093062	-9.197	0	34.89
chr21	2	0.002102					
chr22	2	0.004235	chr01	0.102269	-6.970	5.73768e-11	23.67
chr23	2	0.001748	chr17	0.116889	-3.434	0.00604231	70.61
chr24	2	0.002709					
chr25	2	0.000915	chr19	0.109402	-5.245	2.12118e-06	119.37
chr26	2	0.004738	chr18	0.101260	-7.214	1.10592e-11	23.64
