unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b	te_marker_fraction	windowed_distance_cv
HAP1_chr01	HAP2_chr01	chr01	1889	2484	9938	10525	0.213703	0.173898
HAP1_chr01	HAP3_chr01	chr01	1476	2940	9938	11218	0.208735	0.184393
HAP1_chr01	HAP4_chr01	chr01	1690	3580	9938	11597	0.244718	0.060614
HAP2_chr01	HAP3_chr01	chr01	1773	2827	10525	11218	0.211562	0.222434
HAP2_chr01	HAP4_chr01	chr01	1583	2876	10525	11597	0.201564	0.069636
HAP3_chr01	HAP4_chr01	chr01	2417	2695	11218	11597	0.224063	0.062562
HAP1_chr02	HAP2_chr02	chr02	538	4218	6258	9825	0.295716	0.005434
HAP1_chr02	HAP3_chr02	chr02	652	1817	6258	7156	0.184061	0.005138
HAP1_chr02	HAP4_chr02	chr02	695	4249	6258	9764	0.308576	0.005463
HAP2_chr02	HAP3_chr02	chr02	3557	752	9825	7156	0.253754	0.052273
HAP2_chr02	HAP4_chr02	chr02	1597	1480	9825	9764	0.157078	0.116005
HAP3_chr02	HAP4_chr02	chr02	940	3603	7156	9764	0.268499	0.057922
HAP1_chr03	HAP2_chr03	chr03	2714	4105	12482	14138	0.256161	0.090716
HAP1_chr03	HAP3_chr03	chr03	3311	6179	12482	15238	0.342352	0.153814
HAP1_chr03	HAP4_chr03	chr03	4278	2171	12482	10423	0.281554	0.082862
HAP2_chr03	HAP3_chr03	chr03	5654	7086	14138	15238	0.433687	0.066779
HAP2_chr03	HAP4_chr03	chr03	6210	2639	14138	10423	0.360287	0.013660
HAP3_chr03	HAP4_chr03	chr03	7339	2402	15238	10423	0.379603	0.154583
HAP1_chr04	HAP3_chr04	chr04	2408	2512	8205	8239	0.299197	0.100149
HAP1_chr05	HAP2_chr05	chr05	2899	3077	17854	17944	0.166937	0.332601
HAP1_chr05	HAP3_chr05	chr05	5593	3032	17854	15469	0.258830	0.199295
HAP1_chr05	HAP4_chr05	chr05	2186	4068	17854	19294	0.168354	0.208889
HAP2_chr05	HAP3_chr05	chr05	5442	2818	17944	15469	0.247209	0.211365
HAP2_chr05	HAP4_chr05	chr05	2498	3955	17944	19294	0.173291	0.175755
HAP3_chr05	HAP4_chr05	chr05	2328	6498	15469	19294	0.253891	0.298104
HAP1_chr06	HAP2_chr06	chr06	8841	1202	17668	10172	0.360740	0.116134
HAP1_chr06	HAP3_chr06	chr06	6807	2229	17668	12693	0.297619	0.196471
HAP1_chr06	HAP4_chr06	chr06	2933	3896	17668	19033	0.186071	0.139902
HAP2_chr06	HAP3_chr06	chr06	1286	4448	10172	12693	0.250776	0.138593
HAP2_chr06	HAP4_chr06	chr06	1971	10941	10172	19033	0.442116	0.056979
HAP3_chr06	HAP4_chr06	chr06	2296	8702	12693	19033	0.346656	0.048504
HAP1_chr07	HAP2_chr07	chr07	1602	3028	13841	14951	0.160809	0.012383
HAP1_chr07	HAP3_chr07	chr07	1667	4362	13841	16435	0.199135	0.015529
HAP1_chr07	HAP4_chr07	chr07	1699	4080	13841	15779	0.195105	0.047387
HAP2_chr07	HAP3_chr07	chr07	2543	3467	14951	16435	0.191487	0.211340
HAP2_chr07	HAP4_chr07	chr07	1893	3065	14951	15779	0.161341	0.027245
HAP3_chr07	HAP4_chr07	chr07	3557	3740	16435	15779	0.226516	0.025019
HAP1_chr08	HAP3_chr08	chr08	1226	817	7779	7138	0.136958	0.043679
HAP1_chr09	HAP2_chr09	chr09	1679	1711	8236	8464	0.202994	0.066140
HAP1_chr09	HAP3_chr09	chr09	1508	1220	8236	8205	0.165927	0.070580
HAP1_chr09	HAP4_chr09	chr09	1439	1075	8236	8010	0.154746	0.056885
HAP2_chr09	HAP3_chr09	chr09	1381	1127	8464	8205	0.150459	0.195324
HAP2_chr09	HAP4_chr09	chr09	1725	1484	8464	8010	0.194792	0.096847
HAP3_chr09	HAP4_chr09	chr09	1296	1110	8205	8010	0.148381	0.137828
HAP1_chr10	HAP2_chr10	chr10	960	564	4528	4129	0.176043	0.212621
HAP1_chr10	HAP3_chr10	chr10	1328	742	4528	4207	0.236978	0.006081
HAP1_chr10	HAP4_chr10	chr10	1090	852	4528	4307	0.219808	0.050146
HAP2_chr10	HAP3_chr10	chr10	959	778	4129	4207	0.208373	0.006153
HAP2_chr10	HAP4_chr10	chr10	775	896	4129	4307	0.198080	0.064226
HAP3_chr10	HAP4_chr10	chr10	811	1160	4207	4307	0.231501	0.044402
HAP1_chr11	HAP3_chr11	chr11	3160	1866	12040	11352	0.214860	0.267346
HAP1_chr12	HAP2_chr12	chr12	699	1176	5800	6275	0.155280	0.312177
HAP1_chr12	HAP3_chr12	chr12	828	1250	5800	6114	0.174417	0.220684
HAP1_chr12	HAP4_chr12	chr12	1297	1201	5800	5688	0.217444	0.126370
HAP2_chr12	HAP3_chr12	chr12	1205	1518	6275	6114	0.219792	0.275944
HAP2_chr12	HAP4_chr12	chr12	1577	1059	6275	5688	0.220346	0.106254
HAP3_chr12	HAP4_chr12	chr12	1571	1043	6114	5688	0.221488	0.059673
HAP1_chr13	HAP2_chr13	chr13	834	703	5711	5456	0.137638	0.108830
HAP1_chr13	HAP3_chr13	chr13	601	1013	5711	5871	0.139354	0.198223
HAP1_chr13	HAP4_chr13	chr13	608	1248	5711	5924	0.159519	0.213802
HAP2_chr13	HAP3_chr13	chr13	512	973	5456	5871	0.131103	0.089677
HAP2_chr13	HAP4_chr13	chr13	563	1040	5456	5924	0.140861	0.075244
HAP3_chr13	HAP4_chr13	chr13	881	1086	5871	5924	0.166766	0.186642
HAP1_chr14	HAP3_chr14	chr14	1024	934	5493	5437	0.179140	0.029141
HAP1_chr15	HAP3_chr15	chr15	1021	1716	9852	10208	0.136441	0.159053
HAP1_chr16	HAP3_chr16	chr16	1041	1035	7589	7512	0.137474	0.082362
HAP1_chr17	HAP2_chr17	chr17	1888	2552	6416	7054	0.329621	0.006025
HAP1_chr17	HAP3_chr17	chr17	1369	3191	6416	8004	0.316227	0.098457
HAP1_chr17	HAP4_chr17	chr17	924	1481	6416	6984	0.179478	0.018734
HAP2_chr17	HAP3_chr17	chr17	809	1823	7054	8004	0.174791	0.005218
HAP2_chr17	HAP4_chr17	chr17	2598	2514	7054	6984	0.364154	0.030662
HAP3_chr17	HAP4_chr17	chr17	3150	1996	8004	6984	0.343341	0.091404
HAP1_chr18	HAP2_chr18	chr18	1668	1963	8249	8462	0.217282	0.219185
HAP1_chr18	HAP3_chr18	chr18	1701	1246	8249	7791	0.183728	0.132077
HAP1_chr18	HAP4_chr18	chr18	1596	1618	8249	8115	0.196407	0.239303
HAP2_chr18	HAP3_chr18	chr18	2125	1602	8462	7791	0.229312	0.166420
HAP2_chr18	HAP4_chr18	chr18	1875	1569	8462	8115	0.207758	0.172883
HAP3_chr18	HAP4_chr18	chr18	1177	1692	7791	8115	0.180372	0.228788
HAP1_chr19	HAP3_chr19	chr19	1500	940	8667	8283	0.143953	0.264608
HAP1_chr20	HAP3_chr20	chr20	1773	3698	13096	14806	0.196079	0.062542
HAP1_chr21	HAP2_chr21	chr21	707	1809	4598	5378	0.252205	0.029385
HAP1_chr21	HAP3_chr21	chr21	834	1038	4598	4662	0.202160	0.116420
HAP1_chr21	HAP4_chr21	chr21	710	2038	4598	5606	0.269306	0.085347
HAP2_chr21	HAP3_chr21	chr21	1697	838	5378	4662	0.252490	0.068443
HAP2_chr21	HAP4_chr21	chr21	646	882	5378	5606	0.139111	0.187429
HAP3_chr21	HAP4_chr21	chr21	794	1899	4662	5606	0.262271	0.104599
HAP1_chr22	HAP3_chr22	chr22	10092	419	16294	6965	0.451911	0.076300
HAP1_chr23	HAP3_chr23	chr23	937	880	5846	5719	0.157112	0.135438
HAP1_chr24	HAP2_chr24	chr24	994	775	5023	4729	0.181399	0.234255
HAP1_chr24	HAP3_chr24	chr24	1006	724	5023	4686	0.178185	0.263035
HAP1_chr24	HAP4_chr24	chr24	1182	1106	5023	4977	0.228800	0.244023
HAP2_chr24	HAP3_chr24	chr24	622	556	4729	4686	0.125119	0.231636
HAP2_chr24	HAP4_chr24	chr24	860	910	4729	4977	0.182361	0.237294
HAP3_chr24	HAP4_chr24	chr24	774	1011	4686	4977	0.184725	0.257329
HAP1_chr25	HAP2_chr25	chr25	1438	1408	5575	5230	0.263397	0.006358
HAP1_chr25	HAP3_chr25	chr25	1493	579	5575	4738	0.200911	0.008246
HAP1_chr25	HAP4_chr25	chr25	1687	774	5575	4706	0.239374	0.013316
HAP2_chr25	HAP3_chr25	chr25	1390	581	5230	4738	0.197733	0.265939
HAP2_chr25	HAP4_chr25	chr25	1633	786	5230	4706	0.243458	0.015629
HAP3_chr25	HAP4_chr25	chr25	956	973	4738	4706	0.204257	0.014964
