chrom	group_a	group_b	n_within	n_cross	within_te_marker_fraction	cross_te_marker_fraction	split_ratio	flagged_units	high_density_units
chr01	HAP2_chr01,HAP1_chr01	HAP3_chr01,HAP4_chr01	2	4	0.218883	0.216645	0.99		
chr02	HAP1_chr02	HAP4_chr02,HAP2_chr02,HAP3_chr02	3	3	0.226444	0.262784	1.16		
chr03	HAP2_chr03,HAP1_chr03	HAP4_chr03,HAP3_chr03	2	4	0.317882	0.354470	1.12	HAP4_chr03	
chr05	HAP1_chr05	HAP2_chr05,HAP3_chr05,HAP4_chr05	3	3	0.224797	0.198040	0.88		
chr06	HAP2_chr06,HAP1_chr06	HAP4_chr06,HAP3_chr06	2	4	0.353698	0.294146	0.83		
chr07	HAP2_chr07	HAP4_chr07,HAP1_chr07,HAP3_chr07	3	3	0.206919	0.171212	0.83		
chr09	HAP2_chr09	HAP3_chr09,HAP1_chr09,HAP4_chr09	3	3	0.156351	0.182748	1.17		
chr10	HAP2_chr10,HAP1_chr10	HAP4_chr10,HAP3_chr10	2	4	0.203772	0.215810	1.06		
chr12	HAP2_chr12,HAP1_chr12,HAP4_chr12	HAP3_chr12	3	3	0.197690	0.205232	1.04		
chr13	HAP2_chr13,HAP1_chr13	HAP3_chr13,HAP4_chr13	2	4	0.152202	0.142709	0.94		
chr17	HAP2_chr17,HAP3_chr17	HAP4_chr17,HAP1_chr17	2	4	0.177134	0.338336	1.91		
chr18	HAP2_chr18	HAP3_chr18,HAP1_chr18,HAP4_chr18	3	3	0.186836	0.218117	1.17		
chr21	HAP1_chr21,HAP2_chr21,HAP4_chr21	HAP3_chr21	3	3	0.220208	0.238974	1.09		
chr24	HAP2_chr24,HAP1_chr24,HAP3_chr24	HAP4_chr24	3	3	0.161568	0.198629	1.23		
chr25	HAP1_chr25,HAP3_chr25	HAP4_chr25,HAP2_chr25	2	4	0.222185	0.226190	1.02		
