unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	1889	2484	9938	10525
HAP1_chr01	HAP3_chr01	chr01	1476	2940	9938	11218
HAP1_chr01	HAP4_chr01	chr01	1690	3580	9938	11597
HAP2_chr01	HAP3_chr01	chr01	1773	2827	10525	11218
HAP2_chr01	HAP4_chr01	chr01	1583	2876	10525	11597
HAP3_chr01	HAP4_chr01	chr01	2417	2695	11218	11597
HAP1_chr02	HAP2_chr02	chr02	538	4218	6258	9825
HAP1_chr02	HAP3_chr02	chr02	652	1817	6258	7156
HAP1_chr02	HAP4_chr02	chr02	695	4249	6258	9764
HAP2_chr02	HAP3_chr02	chr02	3557	752	9825	7156
HAP2_chr02	HAP4_chr02	chr02	1597	1480	9825	9764
HAP3_chr02	HAP4_chr02	chr02	940	3603	7156	9764
HAP1_chr03	HAP2_chr03	chr03	2714	4105	12482	14138
HAP1_chr03	HAP3_chr03	chr03	3311	6179	12482	15238
HAP1_chr03	HAP4_chr03	chr03	4278	2171	12482	10423
HAP2_chr03	HAP3_chr03	chr03	5654	7086	14138	15238
HAP2_chr03	HAP4_chr03	chr03	6210	2639	14138	10423
HAP3_chr03	HAP4_chr03	chr03	7339	2402	15238	10423
HAP1_chr04	HAP3_chr04	chr04	2408	2512	8205	8239
HAP1_chr05	HAP2_chr05	chr05	2899	3077	17854	17944
HAP1_chr05	HAP3_chr05	chr05	5593	3032	17854	15469
HAP1_chr05	HAP4_chr05	chr05	2186	4068	17854	19294
HAP2_chr05	HAP3_chr05	chr05	5442	2818	17944	15469
HAP2_chr05	HAP4_chr05	chr05	2498	3955	17944	19294
HAP3_chr05	HAP4_chr05	chr05	2328	6498	15469	19294
HAP1_chr06	HAP2_chr06	chr06	8841	1202	17668	10172
HAP1_chr06	HAP3_chr06	chr06	6807	2229	17668	12693
HAP1_chr06	HAP4_chr06	chr06	2933	3896	17668	19033
HAP2_chr06	HAP3_chr06	chr06	1286	4448	10172	12693
HAP2_chr06	HAP4_chr06	chr06	1971	10941	10172	19033
HAP3_chr06	HAP4_chr06	chr06	2296	8702	12693	19033
HAP1_chr07	HAP2_chr07	chr07	1602	3028	13841	14951
HAP1_chr07	HAP3_chr07	chr07	1667	4362	13841	16435
HAP1_chr07	HAP4_chr07	chr07	1699	4080	13841	15779
HAP2_chr07	HAP3_chr07	chr07	2543	3467	14951	16435
HAP2_chr07	HAP4_chr07	chr07	1893	3065	14951	15779
HAP3_chr07	HAP4_chr07	chr07	3557	3740	16435	15779
HAP1_chr08	HAP3_chr08	chr08	1226	817	7779	7138
HAP1_chr09	HAP2_chr09	chr09	1679	1711	8236	8464
HAP1_chr09	HAP3_chr09	chr09	1508	1220	8236	8205
HAP1_chr09	HAP4_chr09	chr09	1439	1075	8236	8010
HAP2_chr09	HAP3_chr09	chr09	1381	1127	8464	8205
HAP2_chr09	HAP4_chr09	chr09	1725	1484	8464	8010
HAP3_chr09	HAP4_chr09	chr09	1296	1110	8205	8010
HAP1_chr10	HAP2_chr10	chr10	960	564	4528	4129
HAP1_chr10	HAP3_chr10	chr10	1328	742	4528	4207
HAP1_chr10	HAP4_chr10	chr10	1090	852	4528	4307
HAP2_chr10	HAP3_chr10	chr10	959	778	4129	4207
HAP2_chr10	HAP4_chr10	chr10	775	896	4129	4307
HAP3_chr10	HAP4_chr10	chr10	811	1160	4207	4307
HAP1_chr11	HAP3_chr11	chr11	3160	1866	12040	11352
HAP1_chr12	HAP2_chr12	chr12	699	1176	5800	6275
HAP1_chr12	HAP3_chr12	chr12	828	1250	5800	6114
HAP1_chr12	HAP4_chr12	chr12	1297	1201	5800	5688
HAP2_chr12	HAP3_chr12	chr12	1205	1518	6275	6114
HAP2_chr12	HAP4_chr12	chr12	1577	1059	6275	5688
HAP3_chr12	HAP4_chr12	chr12	1571	1043	6114	5688
