,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr07,HAP2_chr06,HAP2_chr08,HAP2_chr09,HAP2_chr11,HAP2_chr10,HAP2_chr12,HAP2_chr13,HAP2_chr14
HAP1_chr01,0.000000,0.095233,0.053789,0.112789,0.095824,0.096297,0.096176,0.095862,0.113545,0.114131,0.111416,0.113765,0.096826,0.116828,0.016367,0.095256,0.053581,0.113006,0.096002,0.095948,0.097348,0.096892,0.112864,0.110703,0.113809,0.113967,0.098384,0.116094
HAP1_chr02,0.095233,0.000000,0.110512,0.051048,0.097353,0.098089,0.098188,0.097581,0.114950,0.115535,0.112679,0.116000,0.100075,0.118784,0.094199,0.015971,0.111445,0.051181,0.097625,0.098310,0.098662,0.098551,0.114726,0.112448,0.115011,0.116697,0.100965,0.118476
HAP1_chr03,0.053789,0.110512,0.000000,0.103671,0.109805,0.110963,0.109919,0.109726,0.103286,0.103686,0.102136,0.103142,0.112073,0.104981,0.053936,0.110210,0.012486,0.103375,0.110061,0.110402,0.112241,0.110967,0.102805,0.101967,0.103067,0.102682,0.112705,0.105069
HAP1_chr04,0.112789,0.051048,0.103671,0.000000,0.113569,0.115171,0.114455,0.113268,0.106075,0.106104,0.104829,0.106866,0.116336,0.108015,0.111610,0.050923,0.103859,0.010751,0.113622,0.113908,0.115569,0.114797,0.105459,0.104727,0.105494,0.106754,0.116626,0.107818
HAP1_chr05,0.095824,0.097353,0.109805,0.113569,0.000000,0.097847,0.097907,0.096471,0.053126,0.114528,0.112289,0.114538,0.099351,0.117533,0.094948,0.098175,0.111235,0.114138,0.012876,0.097123,0.098019,0.097326,0.053145,0.111465,0.113944,0.114906,0.099617,0.117091
HAP1_chr06,0.096297,0.098089,0.110963,0.115171,0.097847,0.000000,0.097656,0.097152,0.114296,0.053718,0.112804,0.115154,0.098564,0.117889,0.095234,0.098251,0.112350,0.114676,0.098054,0.097772,0.017404,0.097831,0.114754,0.112508,0.053643,0.115873,0.099494,0.117590
HAP1_chr07,0.096176,0.098188,0.109919,0.114455,0.097907,0.097656,0.000000,0.096388,0.114203,0.114940,0.112302,0.055174,0.097474,0.116738,0.095295,0.097963,0.111575,0.114988,0.097924,0.017118,0.097792,0.096834,0.113948,0.111845,0.114005,0.055626,0.098639,0.116059
HAP1_chr08,0.095862,0.097581,0.109726,0.113268,0.096471,0.097152,0.096388,0.000000,0.112686,0.114223,0.055186,0.114456,0.097608,0.116370,0.094596,0.097309,0.111368,0.113671,0.096668,0.096308,0.097860,0.020482,0.112237,0.055042,0.113305,0.114249,0.098123,0.115672
HAP1_chr09,0.113545,0.114950,0.103286,0.106075,0.053126,0.114296,0.114203,0.112686,0.000000,0.105686,0.104599,0.105571,0.114312,0.107196,0.112351,0.114230,0.102946,0.106405,0.052946,0.114146,0.114986,0.113882,0.008560,0.103704,0.105053,0.105188,0.115000,0.106663
HAP1_chr10,0.114131,0.115535,0.103686,0.106104,0.114528,0.053718,0.114940,0.114223,0.105686,0.000000,0.104806,0.105693,0.115119,0.106734,0.113106,0.114760,0.104281,0.106348,0.114789,0.114841,0.053821,0.115004,0.105579,0.104371,0.009949,0.106205,0.115666,0.106637
HAP1_chr11,0.111416,0.112679,0.102136,0.104829,0.112289,0.112804,0.112302,0.055186,0.104599,0.104806,0.000000,0.104184,0.112318,0.105368,0.110222,0.112359,0.102962,0.104976,0.113372,0.111999,0.114020,0.054898,0.104309,0.012420,0.104476,0.104778,0.113093,0.105235
HAP1_chr12,0.113765,0.116000,0.103142,0.106866,0.114538,0.115154,0.055174,0.114456,0.105571,0.105693,0.104184,0.000000,0.115701,0.106086,0.113131,0.115607,0.103897,0.106994,0.114549,0.054447,0.116101,0.115466,0.105000,0.104405,0.105882,0.009813,0.114912,0.105739
HAP1_chr13,0.096826,0.100075,0.112073,0.116336,0.099351,0.098564,0.097474,0.097608,0.114312,0.115119,0.112318,0.115701,0.000000,0.056157,0.096522,0.100135,0.112694,0.116557,0.099115,0.098309,0.099804,0.098510,0.114383,0.112033,0.114904,0.116030,0.017343,0.056293
HAP1_chr14,0.116828,0.118784,0.104981,0.108015,0.117533,0.117889,0.116738,0.116370,0.107196,0.106734,0.105368,0.106086,0.056157,0.000000,0.116689,0.118794,0.105738,0.108586,0.118375,0.117279,0.118487,0.116619,0.106690,0.104866,0.106905,0.106359,0.056099,0.006812
HAP2_chr01,0.016367,0.094199,0.053936,0.111610,0.094948,0.095234,0.095295,0.094596,0.112351,0.113106,0.110222,0.113131,0.096522,0.116689,0.000000,0.094663,0.053824,0.111894,0.094352,0.094826,0.096463,0.095404,0.112112,0.109804,0.112491,0.113378,0.097846,0.116419
