,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22
HAP1_chr01,0.000000,0.088496,0.056847,0.093677,0.098927,0.090761,0.101128,0.104972,0.093026,0.095236,0.102341,0.106274,0.105816,0.095693,0.093417,0.092904,0.107811,0.096096,0.103177,0.109083,0.109184,0.097493
HAP1_chr02,0.088496,0.000000,0.102901,0.082866,0.059229,0.083310,0.096106,0.098611,0.086288,0.087152,0.093455,0.099817,0.097680,0.089178,0.084120,0.083049,0.101285,0.086622,0.094238,0.102018,0.103205,0.089854
HAP1_chr03,0.056847,0.102901,0.000000,0.107970,0.089779,0.103164,0.090882,0.092917,0.108107,0.109370,0.093334,0.095494,0.093987,0.108559,0.109696,0.108373,0.095769,0.110329,0.093525,0.099033,0.097179,0.111065
HAP1_chr04,0.093677,0.082866,0.107970,0.000000,0.096777,0.088786,0.102213,0.104409,0.090273,0.092252,0.099597,0.105125,0.057503,0.093279,0.089901,0.088459,0.105908,0.091608,0.101659,0.107149,0.107106,0.093410
HAP1_chr05,0.098927,0.059229,0.089779,0.096777,0.000000,0.093961,0.083715,0.085088,0.097912,0.099060,0.082748,0.088259,0.084316,0.098065,0.096724,0.095607,0.087678,0.097857,0.083522,0.089649,0.089107,0.101498
HAP1_chr06,0.090761,0.083310,0.103164,0.088786,0.093961,0.000000,0.057938,0.099894,0.088897,0.091026,0.095634,0.100364,0.100452,0.091574,0.087922,0.086510,0.103021,0.089043,0.097639,0.102940,0.102663,0.091696
HAP1_chr07,0.101128,0.096106,0.090882,0.102213,0.083715,0.057938,0.000000,0.087898,0.101328,0.102649,0.085671,0.089562,0.089084,0.101701,0.102447,0.099875,0.089747,0.101671,0.085625,0.091453,0.089943,0.103657
HAP1_chr08,0.104972,0.098611,0.092917,0.104409,0.085088,0.099894,0.087898,0.000000,0.104149,0.105154,0.087856,0.091929,0.090372,0.057360,0.103998,0.102081,0.091309,0.103644,0.089055,0.093243,0.092492,0.105711
HAP1_chr09,0.093026,0.086288,0.108107,0.090273,0.097912,0.088897,0.101328,0.104149,0.000000,0.091576,0.099640,0.103790,0.105042,0.092869,0.089273,0.087890,0.064258,0.091104,0.101924,0.106718,0.107032,0.092554
HAP1_chr10,0.095236,0.087152,0.109370,0.092252,0.099060,0.091026,0.102649,0.105154,0.091576,0.000000,0.101287,0.057491,0.105320,0.095884,0.091526,0.091112,0.107044,0.094162,0.102188,0.107213,0.107217,0.094497
HAP1_chr11,0.102341,0.093455,0.093334,0.099597,0.082748,0.095634,0.085671,0.087856,0.099640,0.101287,0.000000,0.090200,0.088627,0.101366,0.097997,0.059590,0.089779,0.099347,0.085225,0.091110,0.090843,0.101629
HAP1_chr12,0.106274,0.099817,0.095494,0.105125,0.088259,0.100364,0.089562,0.091929,0.103790,0.057491,0.090200,0.000000,0.092828,0.105159,0.105392,0.103026,0.093934,0.105344,0.090506,0.095490,0.093331,0.106582
HAP1_chr13,0.105816,0.097680,0.093987,0.057503,0.084316,0.100452,0.089084,0.090372,0.105042,0.105320,0.088627,0.092828,0.000000,0.104587,0.104372,0.101696,0.092752,0.103931,0.088404,0.093393,0.092423,0.106840
HAP1_chr14,0.095693,0.089178,0.108559,0.093279,0.098065,0.091574,0.101701,0.057360,0.092869,0.095884,0.101366,0.105159,0.104587,0.000000,0.092109,0.091484,0.105833,0.093483,0.101167,0.105879,0.106087,0.095430
HAP1_chr15,0.093417,0.084120,0.109696,0.089901,0.096724,0.087922,0.102447,0.103998,0.089273,0.091526,0.097997,0.105392,0.104372,0.092109,0.000000,0.086372,0.106073,0.088324,0.058846,0.105395,0.105785,0.091781
