unit_a	unit_b	k_sweep	chosen_k	kmers_a	kmers_b	shared	union	jaccard_at_chosen_k	containment_at_chosen_k	distance	containment_p	resolution_limited	k_consistency_spread
HAP1_chr01	HAP1_chr02	11,13,15,17,19,23	23	36701867	22663298	3877330	55487835	0.069877	0.171084	0.088496	0.073893	False	0.102176
HAP1_chr01	HAP1_chr03	11,13,15,17,19,23	23	36701867	34996653	9697339	62001181	0.156406	0.277093	0.056847	0.054272	False	0.034758
HAP1_chr01	HAP1_chr04	11,13,15,17,19,23	23	36701867	22881266	3454407	56128726	0.061544	0.150971	0.093677	0.078915	False	0.066634
HAP1_chr01	HAP1_chr05	11,13,15,17,19,23	23	36701867	22836929	3059219	56479577	0.054165	0.133959	0.098927	0.083690	False	0.068348
HAP1_chr01	HAP1_chr06	11,13,15,17,19,23	23	36701867	24757971	3810414	57649424	0.066096	0.153907	0.090761	0.078143	False	0.063875
HAP1_chr01	HAP1_chr07	11,13,15,17,19,23	23	36701867	25507554	3038623	59170798	0.051353	0.119126	0.101128	0.088354	False	0.071109
HAP1_chr01	HAP1_chr08	11,13,15,17,19,23	23	36701867	25983007	2802815	59882059	0.046806	0.107871	0.104972	0.092279	False	0.075488
HAP1_chr01	HAP1_chr09	11,13,15,17,19,23	23	36701867	23101401	3519505	56283763	0.062531	0.152350	0.093026	0.078551	False	0.105695
HAP1_chr01	HAP1_chr10	11,13,15,17,19,23	23	36701867	24214955	3407345	57509477	0.059248	0.140712	0.095236	0.081729	False	0.068235
HAP1_chr01	HAP1_chr11	11,13,15,17,19,23	23	36701867	19407212	2665295	53443784	0.049871	0.137335	0.102341	0.082698	False	0.113785
HAP1_chr01	HAP1_chr12	11,13,15,17,19,23	23	36701867	24171909	2641514	58232262	0.045362	0.109280	0.106274	0.091767	False	0.076030
HAP1_chr01	HAP1_chr13	11,13,15,17,19,23	23	36701867	22852095	2611587	56942375	0.045864	0.114282	0.105816	0.089998	False	0.074948
