,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP1_chr26,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP2_chr26
HAP1_chr01,0.000000,0.113546,0.116104,0.114277,0.113981,0.101553,0.116974,0.114014,0.114748,0.114878,0.114145,0.116515,0.117078,0.115055,0.095750,0.103903,0.116818,0.126087,0.119876,0.109634,0.117018,0.102860,0.121722,0.122204,0.120112,0.120459,0.008450,0.113546,0.116470,0.114043,0.113863,0.101685,0.117756,0.112953,0.115407,0.115486,0.114813,0.115383,0.116157,0.115959,0.095438,0.102405,0.116301,0.124730,0.119767,0.109734,0.117640,0.102383,0.120016,0.123535,0.118991,0.120066
HAP1_chr02,0.113546,0.000000,0.118373,0.116737,0.113363,0.114542,0.073638,0.113700,0.117209,0.118352,0.114369,0.115043,0.116869,0.117111,0.114465,0.115097,0.116619,0.127876,0.120704,0.121745,0.118850,0.120407,0.120723,0.123717,0.121634,0.122695,0.113632,0.008447,0.118781,0.117262,0.112690,0.114074,0.073579,0.112659,0.117342,0.118847,0.114623,0.115718,0.116311,0.117147,0.114062,0.113204,0.116552,0.126090,0.119620,0.121001,0.119916,0.119968,0.119251,0.126228,0.121630,0.122654
HAP1_chr03,0.116104,0.118373,0.000000,0.118496,0.117867,0.118869,0.120331,0.118493,0.118605,0.119362,0.119197,0.085851,0.121219,0.118893,0.118505,0.120723,0.120839,0.127927,0.101901,0.123814,0.120234,0.122963,0.124378,0.093608,0.122831,0.124132,0.116831,0.117862,0.007360,0.118649,0.117609,0.119511,0.120285,0.117888,0.118955,0.119669,0.119923,0.086275,0.121084,0.119101,0.118082,0.119330,0.121427,0.126642,0.102002,0.121866,0.120418,0.121563,0.122641,0.093350,0.122536,0.123502
HAP1_chr04,0.114277,0.116737,0.118496,0.000000,0.075180,0.117032,0.117873,0.116132,0.113227,0.115509,0.116492,0.118266,0.119181,0.114599,0.115433,0.117094,0.117188,0.124250,0.120351,0.117503,0.116301,0.116659,0.121901,0.119704,0.118864,0.119806,0.114976,0.115944,0.118207,0.007801,0.075040,0.117189,0.118279,0.115545,0.114036,0.116143,0.116995,0.118192,0.118197,0.115496,0.115372,0.114841,0.115824,0.121770,0.119981,0.117300,0.117254,0.115868,0.120628,0.121813,0.118510,0.119936
HAP1_chr05,0.113981,0.113363,0.117867,0.075180,0.000000,0.113776,0.119478,0.113713,0.116308,0.117115,0.113189,0.115117,0.115703,0.116383,0.112966,0.113858,0.114941,0.125653,0.118415,0.120339,0.117971,0.118917,0.118332,0.122578,0.120715,0.121361,0.114212,0.113400,0.118309,0.075000,0.010386,0.113537,0.119546,0.113012,0.116782,0.118515,0.114069,0.114666,0.114901,0.117333,0.113249,0.112705,0.115239,0.123911,0.118037,0.119437,0.118087,0.118203,0.117668,0.124056,0.120126,0.121441
HAP1_chr06,0.101553,0.114542,0.118869,0.117032,0.113776,0.000000,0.119002,0.113145,0.115670,0.117109,0.111297,0.116161,0.113973,0.114522,0.112832,0.111627,0.114398,0.123426,0.117605,0.110880,0.116925,0.096675,0.118818,0.121574,0.119936,0.121498,0.101986,0.113848,0.119275,0.117298,0.113240,0.016852,0.119564,0.112127,0.116329,0.118565,0.112189,0.117064,0.114125,0.115035,0.113270,0.109647,0.113551,0.121572,0.117964,0.109585,0.117240,0.095757,0.117549,0.122994,0.119826,0.120259
HAP1_chr07,0.116974,0.073638,0.120331,0.117873,0.119478,0.119002,0.000000,0.118678,0.117643,0.118545,0.118087,0.120467,0.122916,0.118215,0.119471,0.119179,0.121621,0.128392,0.124427,0.123457,0.119896,0.120949,0.125239,0.124348,0.121843,0.122008,0.117101,0.073741,0.120622,0.117720,0.119026,0.119008,0.009726,0.117755,0.118542,0.118802,0.119734,0.121824,0.122238,0.118574,0.118872,0.117432,0.121618,0.126251,0.123480,0.122010,0.119783,0.119805,0.124345,0.126479,0.120495,0.120882
HAP1_chr08,0.114014,0.113700,0.118493,0.116132,0.113713,0.113145,0.118678,0.000000,0.115224,0.075380,0.112664,0.114858,0.115849,0.116648,0.112042,0.112598,0.113217,0.125073,0.116623,0.119617,0.116368,0.117574,0.118819,0.121844,0.120648,0.119782,0.114273,0.113486,0.118749,0.116658,0.112892,0.113101,0.118289,0.011697,0.115744,0.075432,0.113525,0.115682,0.115212,0.117174,0.112028,0.111079,0.112728,0.123425,0.116197,0.118769,0.116677,0.116454,0.117552,0.123671,0.119316,0.120319
HAP1_chr09,0.114748,0.117209,0.118605,0.113227,0.116308,0.115670,0.117643,0.115224,0.000000,0.114602,0.080259,0.117627,0.117457,0.112921,0.112615,0.114595,0.114166,0.119633,0.117780,0.114792,0.113056,0.114165,0.119274,0.116866,0.116424,0.116972,0.115045,0.117152,0.118806,0.113621,0.116549,0.115428,0.117530,0.114387,0.008494,0.114927,0.080398,0.118294,0.116643,0.113741,0.112954,0.113627,0.114206,0.117834,0.117364,0.115079,0.113168,0.113977,0.118594,0.118850,0.115992,0.116960
HAP1_chr10,0.114878,0.118352,0.119362,0.115509,0.117115,0.117109,0.118545,0.075380,0.114602,0.000000,0.116485,0.118385,0.119525,0.115916,0.116779,0.116490,0.117843,0.124544,0.119342,0.118828,0.116295,0.117020,0.121218,0.119573,0.118824,0.119682,0.115457,0.118151,0.119009,0.115336,0.116436,0.117129,0.118605,0.075462,0.114965,0.011677,0.117049,0.118961,0.118969,0.117265,0.116463,0.115722,0.117432,0.123093,0.119847,0.118417,0.116413,0.116379,0.120175,0.120695,0.118298,0.118320
