unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	1586	1801	12129	12332
HAP1_chr01	HAP3_chr01	chr01	2028	1206	12129	11357
HAP1_chr01	HAP4_chr01	chr01	10130	537	12129	2606
HAP2_chr01	HAP3_chr01	chr01	1865	1232	12332	11357
HAP2_chr01	HAP4_chr01	chr01	11205	1413	12332	2606
HAP3_chr01	HAP4_chr01	chr01	10205	1391	11357	2606
HAP1_chr02	HAP2_chr02	chr02	5287	2525	6391	3640
HAP1_chr02	HAP3_chr02	chr02	5290	2853	6391	3986
HAP1_chr02	HAP4_chr02	chr02	5290	2031	6391	3115
HAP2_chr02	HAP3_chr02	chr02	625	925	3640	3986
HAP2_chr02	HAP4_chr02	chr02	2588	2061	3640	3115
HAP3_chr02	HAP4_chr02	chr02	2910	2056	3986	3115
HAP1_chr03	HAP2_chr03	chr03	1474	3443	5452	7191
HAP1_chr03	HAP3_chr03	chr03	2830	3754	5452	6290
HAP1_chr03	HAP4_chr03	chr03	4317	6974	5452	8063
HAP2_chr03	HAP3_chr03	chr03	4287	3665	7191	6290
HAP2_chr03	HAP4_chr03	chr03	6094	6989	7191	8063
HAP3_chr03	HAP4_chr03	chr03	5189	6973	6290	8063
HAP1_chr04	HAP2_chr04	chr04	1087	984	3314	3089
HAP1_chr04	HAP3_chr04	chr04	962	1129	3314	3604
HAP1_chr04	HAP4_chr04	chr04	2305	5342	3314	6314
HAP2_chr04	HAP3_chr04	chr04	1067	1168	3089	3604
HAP2_chr04	HAP4_chr04	chr04	2075	5322	3089	6314
HAP3_chr04	HAP4_chr04	chr04	2578	5313	3604	6314
HAP1_chr05	HAP2_chr05	chr05	2157	3787	5695	6768
HAP1_chr05	HAP3_chr05	chr05	3403	1320	5695	3842
HAP1_chr05	HAP4_chr05	chr05	4616	3571	5695	4619
HAP2_chr05	HAP3_chr05	chr05	4874	1234	6768	3842
HAP2_chr05	HAP4_chr05	chr05	5706	3567	6768	4619
HAP3_chr05	HAP4_chr05	chr05	2910	3702	3842	4619
HAP1_chr06	HAP2_chr06	chr06	2055	6066	3781	7694
HAP1_chr06	HAP3_chr06	chr06	2403	3598	3781	5074
HAP1_chr06	HAP4_chr06	chr06	2691	4375	3781	5400
HAP2_chr06	HAP3_chr06	chr06	5654	2169	7694	5074
HAP2_chr06	HAP4_chr06	chr06	6470	4171	7694	5400
HAP3_chr06	HAP4_chr06	chr06	3725	4132	5074	5400
HAP1_chr07	HAP2_chr07	chr07	5787	2210	6850	3204
HAP1_chr07	HAP3_chr07	chr07	1853	972	6850	5973
