unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b	te_marker_fraction	windowed_distance_cv
HAP1_chr01	HAP2_chr01	chr01	1586	1801	12129	12332	0.138465	0.031611
HAP1_chr01	HAP3_chr01	chr01	2028	1206	12129	11357	0.137699	0.033335
HAP1_chr01	HAP4_chr01	chr01	10130	537	12129	2606	0.723923	0.163252
HAP2_chr01	HAP3_chr01	chr01	1865	1232	12332	11357	0.130736	0.221644
HAP2_chr01	HAP4_chr01	chr01	11205	1413	12332	2606	0.844691	0.017376
HAP3_chr01	HAP4_chr01	chr01	10205	1391	11357	2606	0.830481	0.014041
HAP1_chr02	HAP2_chr02	chr02	5287	2525	6391	3640	0.778786	0.148804
HAP1_chr02	HAP3_chr02	chr02	5290	2853	6391	3986	0.784716	0.162318
HAP1_chr02	HAP4_chr02	chr02	5290	2031	6391	3115	0.770145	0.052834
HAP2_chr02	HAP3_chr02	chr02	625	925	3640	3986	0.203252	0.262901
HAP2_chr02	HAP4_chr02	chr02	2588	2061	3640	3115	0.688231	0.054737
HAP3_chr02	HAP4_chr02	chr02	2910	2056	3986	3115	0.699338	0.054560
HAP1_chr03	HAP2_chr03	chr03	1474	3443	5452	7191	0.388911	0.186766
HAP1_chr03	HAP3_chr03	chr03	2830	3754	5452	6290	0.560722	0.098639
HAP1_chr03	HAP4_chr03	chr03	4317	6974	5452	8063	0.835442	0.054961
HAP2_chr03	HAP3_chr03	chr03	4287	3665	7191	6290	0.589867	0.111168
HAP2_chr03	HAP4_chr03	chr03	6094	6989	7191	8063	0.857677	0.058034
HAP3_chr03	HAP4_chr03	chr03	5189	6973	6290	8063	0.847349	0.040336
HAP1_chr04	HAP2_chr04	chr04	1087	984	3314	3089	0.323442	0.017023
HAP1_chr04	HAP3_chr04	chr04	962	1129	3314	3604	0.302255	0.093813
HAP1_chr04	HAP4_chr04	chr04	2305	5342	3314	6314	0.794246	0.010873
HAP2_chr04	HAP3_chr04	chr04	1067	1168	3089	3604	0.333931	0.048281
HAP2_chr04	HAP4_chr04	chr04	2075	5322	3089	6314	0.786664	0.030619
HAP3_chr04	HAP4_chr04	chr04	2578	5313	3604	6314	0.795624	0.029681
HAP1_chr05	HAP2_chr05	chr05	2157	3787	5695	6768	0.476932	0.169732
HAP1_chr05	HAP3_chr05	chr05	3403	1320	5695	3842	0.495229	0.132352
HAP1_chr05	HAP4_chr05	chr05	4616	3571	5695	4619	0.793775	0.056816
HAP2_chr05	HAP3_chr05	chr05	4874	1234	6768	3842	0.575683	0.164521
HAP2_chr05	HAP4_chr05	chr05	5706	3567	6768	4619	0.814350	0.054984
HAP3_chr05	HAP4_chr05	chr05	2910	3702	3842	4619	0.781468	0.033120
HAP1_chr06	HAP2_chr06	chr06	2055	6066	3781	7694	0.707712	0.081841
HAP1_chr06	HAP3_chr06	chr06	2403	3598	3781	5074	0.677696	0.083273
HAP1_chr06	HAP4_chr06	chr06	2691	4375	3781	5400	0.769633	0.009991
HAP2_chr06	HAP3_chr06	chr06	5654	2169	7694	5074	0.612704	0.080313
HAP2_chr06	HAP4_chr06	chr06	6470	4171	7694	5400	0.812662	0.005913
HAP3_chr06	HAP4_chr06	chr06	3725	4132	5074	5400	0.750143	0.024536
HAP1_chr07	HAP2_chr07	chr07	5787	2210	6850	3204	0.795405	0.018447
HAP1_chr07	HAP3_chr07	chr07	1853	972	6850	5973	0.220307	0.039485
HAP1_chr07	HAP4_chr07	chr07	5820	2926	6850	3928	0.811468	0.009414
HAP2_chr07	HAP3_chr07	chr07	2288	4978	3204	5973	0.791762	0.123155
HAP2_chr07	HAP4_chr07	chr07	2341	3065	3204	3928	0.757992	0.024266
HAP3_chr07	HAP4_chr07	chr07	5011	3019	5973	3928	0.811029	0.031383
HAP1_chr08	HAP2_chr08	chr08	3244	1472	4930	3225	0.578296	0.016440
HAP1_chr08	HAP3_chr08	chr08	3095	2290	4930	4172	0.591628	0.016311
HAP1_chr08	HAP4_chr08	chr08	3822	3606	4930	4744	0.767831	0.021947
HAP2_chr08	HAP3_chr08	chr08	1160	2340	3225	4172	0.473165	0.236736
HAP2_chr08	HAP4_chr08	chr08	2150	3655	3225	4744	0.728448	0.003639
HAP3_chr08	HAP4_chr08	chr08	3012	3624	4172	4744	0.744280	0.002441
HAP1_chr09	HAP2_chr09	chr09	316	289	5608	5595	0.054003	0.240613
HAP1_chr09	HAP3_chr09	chr09	2535	2955	5608	6221	0.464114	0.107888
HAP1_chr09	HAP4_chr09	chr09	4067	5121	5608	6579	0.753918	0.008093
HAP2_chr09	HAP3_chr09	chr09	2509	2985	5595	6221	0.464963	0.138349
HAP2_chr09	HAP4_chr09	chr09	4040	5095	5595	6579	0.750370	0.003727
HAP3_chr09	HAP4_chr09	chr09	4874	5338	6221	6579	0.797813	0.003575
HAP1_chr10	HAP2_chr10	chr10	1511	1100	3790	3415	0.362387	0.189966
HAP1_chr10	HAP3_chr10	chr10	1170	2904	3790	5043	0.461225	0.243882
HAP1_chr10	HAP4_chr10	chr10	2815	4874	3790	5862	0.796622	0.072515
HAP2_chr10	HAP3_chr10	chr10	1103	3083	3415	5043	0.494916	0.213265
HAP2_chr10	HAP4_chr10	chr10	2586	5010	3415	5862	0.818799	0.025205
HAP3_chr10	HAP4_chr10	chr10	3977	4763	5043	5862	0.801467	0.044931
HAP1_chr11	HAP2_chr11	chr11	1461	6787	7047	11945	0.434288	0.154170
HAP1_chr11	HAP3_chr11	chr11	5398	4644	7047	6176	0.759434	0.080024
HAP1_chr11	HAP4_chr11	chr11	5535	3722	7047	5194	0.756229	0.062551
HAP2_chr11	HAP3_chr11	chr11	9817	4055	11945	6176	0.765521	0.097945
HAP2_chr11	HAP4_chr11	chr11	10138	3370	11945	5194	0.788144	0.110224
HAP3_chr11	HAP4_chr11	chr11	4599	3662	6176	5194	0.726561	0.086986
HAP1_chr12	HAP2_chr12	chr12	2233	3290	4861	5878	0.514294	0.016821
HAP1_chr12	HAP3_chr12	chr12	3016	1427	4861	3362	0.540314	0.031947
HAP1_chr12	HAP4_chr12	chr12	3974	3168	4861	4064	0.800224	0.036919
HAP2_chr12	HAP3_chr12	chr12	3961	1132	5878	3362	0.551190	0.102945
HAP2_chr12	HAP4_chr12	chr12	5002	3194	5878	4064	0.824381	0.046981
HAP3_chr12	HAP4_chr12	chr12	2570	3287	3362	4064	0.788715	0.026865
HAP1_chr13	HAP2_chr13	chr13	1868	3933	3874	6040	0.585132	0.206429
HAP1_chr13	HAP3_chr13	chr13	1436	5835	3874	7704	0.628001	0.139567
HAP1_chr13	HAP4_chr13	chr13	2586	1951	3874	3324	0.630314	0.002616
HAP2_chr13	HAP3_chr13	chr13	2318	4638	6040	7704	0.506112	0.111507
HAP2_chr13	HAP4_chr13	chr13	4433	1708	6040	3324	0.655809	0.002801
HAP3_chr13	HAP4_chr13	chr13	6220	1503	7704	3324	0.700308	0.002907
HAP1_chr14	HAP2_chr14	chr14	1769	1960	4541	4643	0.406032	0.048688
HAP1_chr14	HAP3_chr14	chr14	1494	3144	4541	5614	0.456721	0.065011
HAP1_chr14	HAP4_chr14	chr14	3793	2918	4541	3696	0.814738	0.011958
HAP2_chr14	HAP3_chr14	chr14	1830	3008	4643	5614	0.471678	0.156604
HAP2_chr14	HAP4_chr14	chr14	3858	2874	4643	3696	0.807291	0.011762
HAP3_chr14	HAP4_chr14	chr14	4857	2886	5614	3696	0.831686	0.026966
HAP1_chr15	HAP2_chr15	chr15	1055	2746	3051	4036	0.536334	0.208831
HAP1_chr15	HAP3_chr15	chr15	996	2420	3051	3835	0.496079	0.151535
HAP1_chr15	HAP4_chr15	chr15	2183	2740	3051	3613	0.738745	0.002493
HAP2_chr15	HAP3_chr15	chr15	1196	828	4036	3835	0.257146	0.173407
HAP2_chr15	HAP4_chr15	chr15	3206	2748	4036	3613	0.778402	0.004216
HAP3_chr15	HAP4_chr15	chr15	2954	2706	3835	3613	0.759936	0.003255
HAP1_chr16	HAP2_chr16	chr16	2071	2739	3264	3886	0.672727	0.289935
HAP1_chr16	HAP3_chr16	chr16	2155	1879	3264	2990	0.645027	0.089350
HAP1_chr16	HAP4_chr16	chr16	2533	3299	3264	4019	0.800769	0.008970
HAP2_chr16	HAP3_chr16	chr16	2792	1761	3886	2990	0.662158	0.089933
HAP2_chr16	HAP4_chr16	chr16	3163	3278	3886	4019	0.814801	0.027630
HAP3_chr16	HAP4_chr16	chr16	2213	3232	2990	4019	0.776858	0.028923
