chrom	group_a	group_b	n_within	n_cross	within_te_marker_fraction	cross_te_marker_fraction	split_ratio	flagged_units	high_density_units
chr01	HAP3_chr01,HAP1_chr01,HAP2_chr01	HAP4_chr01	3	3	0.135633	0.799698	5.90	HAP4_chr01	
chr02	HAP1_chr02,HAP2_chr02,HAP3_chr02	HAP4_chr02	3	3	0.588918	0.719238	1.22		
chr03	HAP3_chr03,HAP1_chr03,HAP2_chr03	HAP4_chr03	3	3	0.513167	0.846823	1.65		
chr04	HAP1_chr04,HAP2_chr04,HAP3_chr04	HAP4_chr04	3	3	0.319876	0.792178	2.48		HAP4_chr04
chr05	HAP3_chr05,HAP1_chr05,HAP2_chr05	HAP4_chr05	3	3	0.515948	0.796531	1.54		
chr06	HAP1_chr06,HAP2_chr06,HAP3_chr06	HAP4_chr06	3	3	0.666037	0.777479	1.17		
chr07	HAP1_chr07,HAP2_chr07,HAP3_chr07	HAP4_chr07	3	3	0.602491	0.793496	1.32		
chr08	HAP1_chr08,HAP2_chr08,HAP3_chr08	HAP4_chr08	3	3	0.547696	0.746853	1.36	HAP2_chr08	
chr09	HAP1_chr09,HAP2_chr09,HAP3_chr09	HAP4_chr09	3	3	0.327693	0.767367	2.34		
chr10	HAP1_chr10,HAP2_chr10,HAP3_chr10	HAP4_chr10	3	3	0.439509	0.805630	1.83		
chr11	HAP3_chr11	HAP4_chr11,HAP1_chr11,HAP2_chr11	3	3	0.659554	0.750505	1.14		
chr12	HAP1_chr12,HAP2_chr12,HAP3_chr12	HAP4_chr12	3	3	0.535266	0.804440	1.50		
chr13	HAP1_chr13,HAP2_chr13,HAP3_chr13	HAP4_chr13	3	3	0.573082	0.662144	1.16		
chr14	HAP1_chr14,HAP2_chr14,HAP3_chr14	HAP4_chr14	3	3	0.444810	0.817905	1.84		
chr15	HAP2_chr15,HAP1_chr15,HAP3_chr15	HAP4_chr15	3	3	0.429853	0.759028	1.77		
chr16	HAP1_chr16,HAP2_chr16,HAP3_chr16	HAP4_chr16	3	3	0.659971	0.797476	1.21		
