unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b	te_marker_fraction	windowed_distance_cv
HAP1_chr01	HAP2_chr01	chr01	14627	64	19334	8258	0.532437	0.694736
HAP1_chr02	HAP2_chr02	chr02	16724	4	18538	4282	0.733041	0.008554
HAP1_chr03	HAP2_chr03	chr03	2108	1	11814	9904	0.097108	0.670169
HAP1_chr04	HAP2_chr04	chr04	20419	77	22702	4340	0.757932	0.709239
HAP1_chr05	HAP2_chr05	chr05	3259	22	11267	8967	0.162153	0.596355
HAP1_chr06	HAP2_chr06	chr06	9779	346	15808	9665	0.397480	0.796807
HAP1_chr07	HAP2_chr07	chr07	14525	1	17275	4298	0.673342	0.704698
HAP1_chr08	HAP2_chr08	chr08	6359	18	9882	4624	0.439611	0.595931
HAP1_chr09	HAP2_chr09	chr09	2052	1070	12004	11669	0.131880	0.877894
HAP1_chr10	HAP2_chr10	chr10	1763	16	5175	3720	0.200000	0.846333
HAP1_chr11	HAP2_chr11	chr11	1493	2	7183	5905	0.114227	0.010932
HAP1_chr12	HAP2_chr12	chr12	283	165	7762	7599	0.029165	1.108729
HAP1_chr13	HAP2_chr13	chr13	2791	317	6168	4082	0.303220	0.679315
HAP1_chr14	HAP2_chr14	chr14	1176	38	4960	4340	0.130538	0.994561
HAP1_chr15	HAP2_chr15	chr15	1720	28	5416	4216	0.181478	1.058717
HAP1_chr16	HAP2_chr16	chr16	11616	0	14807	3380	0.638698	0.005558
HAP1_chr17	HAP2_chr17	chr17	8	35	2759	2786	0.007755	0.015014
HAP1_chr18	HAP2_chr18	chr18	0	1686	2932	4509	0.226582	0.999634
