unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b
HAP1_chr01	HAP2_chr01	chr01	14627	64	19334	8258
HAP1_chr02	HAP2_chr02	chr02	16724	4	18538	4282
HAP1_chr03	HAP2_chr03	chr03	2108	1	11814	9904
HAP1_chr04	HAP2_chr04	chr04	20419	77	22702	4340
HAP1_chr05	HAP2_chr05	chr05	3259	22	11267	8967
HAP1_chr06	HAP2_chr06	chr06	9779	346	15808	9665
HAP1_chr07	HAP2_chr07	chr07	14525	1	17275	4298
HAP1_chr08	HAP2_chr08	chr08	6359	18	9882	4624
HAP1_chr09	HAP2_chr09	chr09	2052	1070	12004	11669
HAP1_chr10	HAP2_chr10	chr10	1763	16	5175	3720
HAP1_chr11	HAP2_chr11	chr11	1493	2	7183	5905
HAP1_chr12	HAP2_chr12	chr12	283	165	7762	7599
HAP1_chr13	HAP2_chr13	chr13	2791	317	6168	4082
HAP1_chr14	HAP2_chr14	chr14	1176	38	4960	4340
HAP1_chr15	HAP2_chr15	chr15	1720	28	5416	4216
HAP1_chr16	HAP2_chr16	chr16	11616	0	14807	3380
HAP1_chr17	HAP2_chr17	chr17	8	35	2759	2786
HAP1_chr18	HAP2_chr18	chr18	0	1686	2932	4509
