chrom_a	chrom_b	mean_distance	n_haplotype_copy_pairs	resolution_limited	n_resolution_limited_of_total
chr33	chr34	0.069869	4	False	0/4
chr35	chr36	0.070937	4	False	0/4
chr23	chr26	0.071125	4	False	0/4
chr37	chr38	0.071655	4	False	0/4
chr27	chr29	0.072575	4	False	0/4
chr17	chr18	0.072756	4	False	0/4
chr30	chr32	0.073040	4	False	0/4
chr20	chr21	0.073226	4	False	0/4
chr22	chr28	0.073928	4	False	0/4
chr01	chr02	0.075007	4	False	0/4
chr08	chr12	0.075557	4	False	0/4
chr14	chr25	0.075735	4	False	0/4
chr10	chr19	0.075948	4	False	0/4
chr05	chr11	0.076361	4	False	0/4
chr04	chr16	0.077354	4	False	0/4
chr06	chr13	0.077937	4	False	0/4
chr07	chr24	0.078165	4	False	0/4
chr03	chr09	0.078182	4	False	0/4
chr15	chr31	0.080624	4	False	0/4
