unit_id	hap	chrom	seq_id	length	source	desc
HAP1_chr01	HAP1	1	OZ409435.1	31166293	/lustre/scratch122/tol/data/d/0/8/6/b/d/Salix_pentandra/assembly/release/ddSalPent1.hap1.1/insdc/GCA_979017335.1.fa.gz	Salix pentandra genome assembly, chromosome: 1
HAP1_chr02	HAP1	2	OZ409436.1	28169560	/lustre/scratch122/tol/data/d/0/8/6/b/d/Salix_pentandra/assembly/release/ddSalPent1.hap1.1/insdc/GCA_979017335.1.fa.gz	Salix pentandra genome assembly, chromosome: 2
HAP1_chr03	HAP1	3	OZ409437.1	26029167	/lustre/scratch122/tol/data/d/0/8/6/b/d/Salix_pentandra/assembly/release/ddSalPent1.hap1.1/insdc/GCA_979017335.1.fa.gz	Salix pentandra genome assembly, chromosome: 3
HAP1_chr04	HAP1	4	OZ409438.1	25394142	/lustre/scratch122/tol/data/d/0/8/6/b/d/Salix_pentandra/assembly/release/ddSalPent1.hap1.1/insdc/GCA_979017335.1.fa.gz	Salix pentandra genome assembly, chromosome: 4
HAP1_chr05	HAP1	5	OZ409439.1	23218283	/lustre/scratch122/tol/data/d/0/8/6/b/d/Salix_pentandra/assembly/release/ddSalPent1.hap1.1/insdc/GCA_979017335.1.fa.gz	Salix pentandra genome assembly, chromosome: 5
HAP1_chr06	HAP1	6	OZ409440.1	22901947	/lustre/scratch122/tol/data/d/0/8/6/b/d/Salix_pentandra/assembly/release/ddSalPent1.hap1.1/insdc/GCA_979017335.1.fa.gz	Salix pentandra genome assembly, chromosome: 6
HAP1_chr07	HAP1	7	OZ409441.1	22519245	/lustre/scratch122/tol/data/d/0/8/6/b/d/Salix_pentandra/assembly/release/ddSalPent1.hap1.1/insdc/GCA_979017335.1.fa.gz	Salix pentandra genome assembly, chromosome: 7
HAP1_chr08	HAP1	8	OZ409442.1	20631463	/lustre/scratch122/tol/data/d/0/8/6/b/d/Salix_pentandra/assembly/release/ddSalPent1.hap1.1/insdc/GCA_979017335.1.fa.gz	Salix pentandra genome assembly, chromosome: 8
HAP1_chr09	HAP1	9	OZ409443.1	21737300	/lustre/scratch122/tol/data/d/0/8/6/b/d/Salix_pentandra/assembly/release/ddSalPent1.hap1.1/insdc/GCA_979017335.1.fa.gz	Salix pentandra genome assembly, chromosome: 9
HAP1_chr10	HAP1	10	OZ409444.1	21623505	/lustre/scratch122/tol/data/d/0/8/6/b/d/Salix_pentandra/assembly/release/ddSalPent1.hap1.1/insdc/GCA_979017335.1.fa.gz	Salix pentandra genome assembly, chromosome: 10
