chrom	unit_a	unit_b	hap_a	hap_b	distance	resolution_limited
chr01	HAP1_chr01	HAP2_chr01	HAP1	HAP2	0.070116	False
chr01	HAP1_chr01	HAP3_chr01	HAP1	HAP3	0.069944	False
chr01	HAP1_chr01	HAP4_chr01	HAP1	HAP4	0.069975	False
chr01	HAP2_chr01	HAP3_chr01	HAP2	HAP3	0.033540	False
chr01	HAP2_chr01	HAP4_chr01	HAP2	HAP4	0.029427	False
chr01	HAP3_chr01	HAP4_chr01	HAP3	HAP4	0.027258	False
chr02	HAP1_chr02	HAP2_chr02	HAP1	HAP2	0.070179	False
chr02	HAP1_chr02	HAP3_chr02	HAP1	HAP3	0.070380	False
chr02	HAP1_chr02	HAP4_chr02	HAP1	HAP4	0.070232	False
chr02	HAP2_chr02	HAP3_chr02	HAP2	HAP3	0.016701	False
chr02	HAP2_chr02	HAP4_chr02	HAP2	HAP4	0.025315	False
chr02	HAP3_chr02	HAP4_chr02	HAP3	HAP4	0.023705	False
chr03	HAP1_chr03	HAP2_chr03	HAP1	HAP2	0.030056	False
chr03	HAP1_chr03	HAP3_chr03	HAP1	HAP3	0.000809	False
chr03	HAP1_chr03	HAP4_chr03	HAP1	HAP4	0.029700	False
chr03	HAP2_chr03	HAP3_chr03	HAP2	HAP3	0.030279	False
chr03	HAP2_chr03	HAP4_chr03	HAP2	HAP4	0.014589	False
chr03	HAP3_chr03	HAP4_chr03	HAP3	HAP4	0.029364	False
chr04	HAP1_chr04	HAP2_chr04	HAP1	HAP2	0.034252	False
chr04	HAP1_chr04	HAP3_chr04	HAP1	HAP3	0.030631	False
chr04	HAP1_chr04	HAP4_chr04	HAP1	HAP4	0.033498	False
chr04	HAP2_chr04	HAP3_chr04	HAP2	HAP3	0.025405	False
chr04	HAP2_chr04	HAP4_chr04	HAP2	HAP4	0.025750	False
chr04	HAP3_chr04	HAP4_chr04	HAP3	HAP4	0.014144	False
chr05	HAP1_chr05	HAP2_chr05	HAP1	HAP2	0.034735	False
chr05	HAP1_chr05	HAP3_chr05	HAP1	HAP3	0.032126	False
chr05	HAP1_chr05	HAP4_chr05	HAP1	HAP4	0.037597	False
chr05	HAP2_chr05	HAP3_chr05	HAP2	HAP3	0.015373	False
chr05	HAP2_chr05	HAP4_chr05	HAP2	HAP4	0.020256	False
chr05	HAP3_chr05	HAP4_chr05	HAP3	HAP4	0.024424	False
chr06	HAP1_chr06	HAP2_chr06	HAP1	HAP2	0.016120	False
chr06	HAP1_chr06	HAP3_chr06	HAP1	HAP3	0.017853	False
chr06	HAP1_chr06	HAP4_chr06	HAP1	HAP4	0.019471	False
chr06	HAP2_chr06	HAP3_chr06	HAP2	HAP3	0.029595	False
chr06	HAP2_chr06	HAP4_chr06	HAP2	HAP4	0.021631	False
chr06	HAP3_chr06	HAP4_chr06	HAP3	HAP4	0.024771	False
