unit_a	unit_b	k	shared	kmers_a	kmers_b	jaccard	containment	distance	resolution_limited	z
HAP1_chr01	HAP1_chr02	11	2097110	2097128	2097134	0.999980	0.999991	0.000001	True	-0.0000
HAP1_chr01	HAP1_chr02	13	28925291	30561863	30777324	0.892373	0.946451	0.004504	False	168.6367
HAP1_chr01	HAP1_chr02	15	91662298	155111458	159789588	0.410602	0.590945	0.036067	False	6695.9867
HAP1_chr01	HAP1_chr02	17	83068056	256345096	266043674	0.189083	0.324048	0.067389	False	26663.1545
HAP1_chr01	HAP1_chr02	19	73670337	300164765	311457892	0.136946	0.245433	0.074914	False	88499.2226
HAP1_chr01	HAP1_chr02	23	71605265	352063749	364170108	0.111080	0.203387	0.069987	False	1186137.2774
HAP1_chr01	HAP1_chr03	11	2096988	2097128	2097010	0.999923	0.999990	0.000004	True	0.0014
HAP1_chr01	HAP1_chr03	13	27483844	30561863	28920555	0.858908	0.950322	0.006072	False	222.6228
HAP1_chr01	HAP1_chr03	15	76164766	155111458	123204890	0.376771	0.618196	0.040181	False	6799.7064
HAP1_chr01	HAP1_chr03	17	66795999	256345096	187946468	0.176945	0.355399	0.070688	False	25836.0412
HAP1_chr01	HAP1_chr03	19	59570659	300164765	215828320	0.130517	0.276009	0.077146	False	86080.1736
HAP1_chr01	HAP1_chr03	23	57731156	352063749	250127271	0.106034	0.230807	0.071810	False	1153918.5387
HAP1_chr01	HAP1_chr04	11	2096882	2097128	2096904	0.999872	0.999990	0.000006	True	0.0014
HAP1_chr01	HAP1_chr04	13	26781843	30561863	28071064	0.840846	0.954073	0.006956	False	240.1516
HAP1_chr01	HAP1_chr04	15	69960463	155111458	110152674	0.358214	0.635123	0.042643	False	6759.9575
HAP1_chr01	HAP1_chr04	17	60683128	256345096	161884822	0.169721	0.374854	0.072778	False	25410.8219
HAP1_chr01	HAP1_chr04	19	54494806	300164765	184163539	0.126781	0.295904	0.078501	False	85292.5420
HAP1_chr01	HAP1_chr04	23	53066912	352063749	212417847	0.103765	0.249823	0.072661	False	1150999.5866
HAP1_chr01	HAP1_chr05	11	2096810	2097128	2096832	0.999838	0.999990	0.000007	True	0.0014
HAP1_chr01	HAP1_chr05	13	26530885	30561863	27769229	0.834299	0.955406	0.007283	False	246.2170
HAP1_chr01	HAP1_chr05	15	68586265	155111458	107369931	0.353729	0.638785	0.043263	False	6744.6184
HAP1_chr01	HAP1_chr05	17	59254592	256345096	157593207	0.167063	0.375997	0.073572	False	25154.8253
HAP1_chr01	HAP1_chr05	19	52991519	300164765	179477516	0.124204	0.295254	0.079461	False	84014.0666
HAP1_chr01	HAP1_chr05	23	51376427	352063749	207281139	0.101141	0.247859	0.073671	False	1128056.1541
HAP1_chr01	HAP1_chr06	11	2096830	2097128	2096849	0.999849	0.999991	0.000007	True	0.0035
HAP1_chr01	HAP1_chr06	13	26395256	30561863	27605950	0.830756	0.956144	0.007462	False	249.5541
HAP1_chr01	HAP1_chr06	15	67042608	155111458	104074687	0.348919	0.644178	0.043938	False	6742.6740
HAP1_chr01	HAP1_chr06	17	57938194	256345096	150378104	0.166114	0.385283	0.073859	False	25231.4485
HAP1_chr01	HAP1_chr06	19	52170474	300164765	170253552	0.124736	0.306428	0.079261	False	84946.4732
HAP1_chr01	HAP1_chr06	23	50860823	352063749	195575921	0.102381	0.260057	0.073190	False	1149670.0782
HAP1_chr01	HAP2_chr01	11	2097100	2097128	2097124	0.999975	0.999989	0.000001	True	-0.0000
HAP1_chr01	HAP2_chr01	13	28854845	30561863	30684896	0.890804	0.944145	0.004576	False	171.4893
HAP1_chr01	HAP2_chr01	15	90787777	155111458	157618210	0.409061	0.585307	0.036244	False	6705.3239
HAP1_chr01	HAP2_chr01	17	82139674	256345096	261357052	0.188583	0.320426	0.067520	False	26618.8083
HAP1_chr01	HAP2_chr01	19	72864779	300164765	305942105	0.136645	0.242749	0.075016	False	88322.6760
