,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06
HAP1_chr01,0.000000,0.069987,0.071810,0.072661,0.073671,0.073190,0.070116,0.020087,0.071456,0.072889,0.073569,0.074235,0.069944,0.022211,0.071830,0.072358,0.074060,0.075182,0.069975,0.024879,0.071836,0.072752,0.074026,0.074847
HAP1_chr02,0.069987,0.000000,0.072427,0.073358,0.074239,0.074023,0.034332,0.070179,0.072455,0.073601,0.074359,0.074988,0.026620,0.070380,0.072476,0.073010,0.075016,0.076208,0.029755,0.070232,0.072713,0.073445,0.074937,0.075717
HAP1_chr03,0.071810,0.072427,0.000000,0.072080,0.072041,0.072451,0.072424,0.071457,0.030056,0.072094,0.072064,0.073093,0.072029,0.071382,0.000809,0.071828,0.072250,0.073404,0.072664,0.071649,0.029700,0.072359,0.072303,0.073182
HAP1_chr04,0.072661,0.073358,0.072080,0.000000,0.071618,0.071702,0.073083,0.072340,0.071912,0.034252,0.072212,0.071863,0.072718,0.072172,0.072035,0.030631,0.072303,0.072348,0.073715,0.072239,0.071888,0.033498,0.072193,0.072084
HAP1_chr05,0.073671,0.074239,0.072041,0.071618,0.000000,0.072256,0.073794,0.073193,0.072070,0.071773,0.034735,0.072512,0.073454,0.073118,0.071989,0.072019,0.032126,0.072988,0.074314,0.073149,0.071982,0.072378,0.037597,0.072810
HAP1_chr06,0.073190,0.074023,0.072451,0.071702,0.072256,0.000000,0.074135,0.072621,0.071561,0.071398,0.071733,0.016120,0.073343,0.072436,0.072398,0.071230,0.071634,0.017853,0.074365,0.072672,0.071659,0.071406,0.071888,0.019471
HAP2_chr01,0.070116,0.034332,0.072424,0.073083,0.073794,0.074135,0.000000,0.070228,0.072515,0.073641,0.074324,0.074942,0.033540,0.070459,0.072491,0.073086,0.074904,0.076204,0.029427,0.070335,0.072799,0.073640,0.074949,0.075600
HAP2_chr02,0.020087,0.070179,0.071457,0.072340,0.073193,0.072621,0.070228,0.000000,0.071155,0.072383,0.072998,0.073575,0.069989,0.016701,0.071462,0.071951,0.073463,0.074467,0.070110,0.025315,0.071401,0.072319,0.073490,0.074093
HAP2_chr03,0.071456,0.072455,0.030056,0.071912,0.072070,0.071561,0.072515,0.071155,0.000000,0.071455,0.071340,0.072401,0.071915,0.071025,0.030279,0.071210,0.071577,0.072378,0.072607,0.071322,0.014589,0.071659,0.071547,0.072383
HAP2_chr04,0.072889,0.073601,0.072094,0.034252,0.071773,0.071398,0.073641,0.072383,0.071455,0.000000,0.071535,0.071600,0.072935,0.072227,0.072038,0.025405,0.071636,0.071755,0.073867,0.072405,0.071466,0.025750,0.071572,0.071676
