chrom_a	chrom_b	distance	z_score	p_value	q_value	accepted
chr03	chr05	0.067906	-1.383	0.0832761	0.665788	False
chr02	chr03	0.067977	-1.287	0.0991065	0.665788	False
chr02	chr05	0.068213	-0.970	0.165938	0.665788	False
chr03	chr06	0.068280	-0.881	0.189244	0.665788	False
chr01	chr03	0.068287	-0.871	0.191891	0.665788	False
chr01	chr06	0.068316	-0.832	0.202611	0.665788	False
chr01	chr05	0.068369	-0.760	0.223586	0.665788	False
chr05	chr06	0.068512	-0.568	0.284882	0.665788	False
chr03	chr07	0.068513	-0.567	0.285338	0.665788	False
chr02	chr06	0.068661	-0.369	0.356086	0.747781	False
chr05	chr07	0.068783	-0.205	0.418758	0.762792	False
chr01	chr02	0.068815	-0.161	0.435881	0.762792	False
chr02	chr07	0.068931	-0.007	0.497359	0.803426	False
chr06	chr07	0.069106	0.229	0.590607	0.845588	False
chr01	chr07	0.069132	0.264	0.603992	0.845588	False
chr02	chr04	0.069688	1.010	0.843871	0.976538	False
chr03	chr04	0.069695	1.020	0.846191	0.976538	False
chr04	chr07	0.069699	1.026	0.84754	0.976538	False
chr04	chr05	0.069990	1.416	0.921681	0.976538	False
chr04	chr06	0.070357	1.909	0.971874	0.976538	False
chr01	chr04	0.070415	1.987	0.976538	0.976538	False
