,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21
HAP1_chr01,0.000000,0.121248,0.119302,0.110343,0.118626,0.110600,0.120461,0.118866,0.126134,0.121110,0.120490,0.121194,0.121081,0.121264,0.121856,0.119516,0.122666,0.121684,0.121286,0.144305,0.141639,0.004673,0.121099,0.118665,0.110457,0.119913,0.109743,0.118775,0.118350,0.125355,0.120125,0.120112,0.120060,0.121054,0.121318,0.121795,0.118932,0.122362,0.120677,0.119312,0.145324,0.142715
HAP1_chr02,0.121248,0.000000,0.119195,0.118553,0.112645,0.118389,0.120329,0.120007,0.124445,0.121097,0.119387,0.119760,0.121135,0.122336,0.119486,0.121407,0.121119,0.123870,0.114930,0.140987,0.136065,0.121531,0.003216,0.118894,0.118476,0.113218,0.116817,0.118889,0.119236,0.123993,0.120500,0.119715,0.118770,0.121307,0.122033,0.119785,0.121305,0.121116,0.124029,0.114459,0.141736,0.136732
HAP1_chr03,0.119302,0.119195,0.000000,0.114571,0.115738,0.113186,0.115626,0.110620,0.121973,0.117535,0.116888,0.113934,0.115704,0.117805,0.117799,0.118144,0.110675,0.121194,0.115032,0.131664,0.132930,0.119018,0.119289,0.006121,0.114176,0.116062,0.111925,0.114287,0.110181,0.121689,0.117567,0.117323,0.112624,0.115769,0.117513,0.117569,0.118157,0.109535,0.120030,0.113823,0.132574,0.133508
HAP1_chr04,0.110343,0.118553,0.114571,0.000000,0.113750,0.107715,0.114934,0.113146,0.119699,0.114672,0.114586,0.113209,0.114313,0.115931,0.115481,0.113927,0.115885,0.112353,0.114106,0.134341,0.131836,0.110095,0.118494,0.115273,0.002894,0.114643,0.107600,0.114291,0.113538,0.119034,0.113956,0.114256,0.113243,0.114285,0.115694,0.115794,0.113547,0.116107,0.111983,0.112911,0.135346,0.132429
HAP1_chr05,0.118626,0.112645,0.115738,0.113750,0.000000,0.112617,0.112935,0.113588,0.119673,0.116406,0.112096,0.115844,0.115357,0.114747,0.114306,0.115969,0.115196,0.117087,0.110810,0.131944,0.129893,0.118097,0.112513,0.115319,0.113275,0.003226,0.112240,0.111992,0.113082,0.119636,0.115549,0.112128,0.114499,0.114680,0.114466,0.114529,0.116133,0.115436,0.116306,0.109314,0.133305,0.130214
HAP1_chr06,0.110600,0.118389,0.113186,0.107715,0.112617,0.000000,0.112985,0.111849,0.118913,0.114312,0.112605,0.110232,0.112555,0.113675,0.113349,0.111476,0.112728,0.113428,0.112093,0.130724,0.129567,0.110325,0.118504,0.112541,0.107563,0.113374,0.005084,0.112433,0.112664,0.119233,0.113616,0.113037,0.109520,0.112098,0.113198,0.113210,0.111537,0.112433,0.113617,0.111256,0.131199,0.130903
HAP1_chr07,0.120461,0.120329,0.115626,0.114934,0.112935,0.112985,0.000000,0.115551,0.120962,0.116244,0.112996,0.113634,0.114985,0.115332,0.116071,0.115598,0.116998,0.118956,0.115308,0.132110,0.127874,0.120010,0.119994,0.115291,0.114527,0.114101,0.112319,0.005066,0.114952,0.120574,0.115616,0.113330,0.113008,0.114448,0.114979,0.115729,0.116251,0.117096,0.118679,0.113983,0.133071,0.128401
HAP1_chr08,0.118866,0.120007,0.110620,0.113146,0.113588,0.111849,0.115551,0.000000,0.119438,0.115978,0.114423,0.112602,0.113948,0.113965,0.112804,0.115269,0.109474,0.117398,0.113760,0.126672,0.129676,0.118709,0.119505,0.110392,0.113011,0.114183,0.112446,0.115044,0.003906,0.119658,0.114572,0.113979,0.112478,0.114114,0.113819,0.112030,0.115492,0.110136,0.116967,0.112259,0.127862,0.131283
HAP1_chr09,0.126134,0.124445,0.121973,0.119699,0.119673,0.118913,0.120962,0.119438,0.000000,0.122017,0.121685,0.114863,0.118742,0.115202,0.122286,0.116771,0.120819,0.123887,0.119155,0.137121,0.134986,0.125440,0.123947,0.121340,0.119783,0.120400,0.118421,0.120360,0.119838,0.003091,0.120933,0.121352,0.114954,0.118228,0.115465,0.121809,0.116951,0.120613,0.124052,0.118186,0.138449,0.136704
HAP1_chr10,0.121110,0.121097,0.117535,0.114672,0.116406,0.114312,0.116244,0.115978,0.122017,0.000000,0.115206,0.115146,0.109762,0.110592,0.116576,0.115495,0.116227,0.119066,0.114379,0.132275,0.129832,0.121086,0.120884,0.117320,0.114365,0.117069,0.113785,0.115016,0.114814,0.121486,0.003656,0.115538,0.114243,0.109868,0.111216,0.116360,0.115672,0.116318,0.118248,0.113132,0.133235,0.130315
HAP1_chr11,0.120490,0.119387,0.116888,0.114586,0.112096,0.112605,0.112996,0.114423,0.121685,0.115206,0.000000,0.113654,0.115185,0.114592,0.114613,0.115911,0.114454,0.117309,0.113155,0.133318,0.127873,0.120868,0.118758,0.117525,0.114016,0.113157,0.112359,0.112100,0.113772,0.121663,0.114493,0.003898,0.112456,0.114620,0.114927,0.114396,0.115879,0.114689,0.116571,0.111358,0.132965,0.128254
HAP1_chr12,0.121194,0.119760,0.113934,0.113209,0.115844,0.110232,0.113634,0.112602,0.114863,0.115146,0.113654,0.000000,0.112766,0.111112,0.114146,0.110209,0.112091,0.114730,0.113083,0.128358,0.125055,0.121682,0.119971,0.113133,0.113357,0.116047,0.109175,0.113344,0.112929,0.114992,0.114473,0.113133,0.001781,0.113360,0.111127,0.113892,0.110182,0.109643,0.114490,0.112083,0.128289,0.125896
HAP1_chr13,0.121081,0.121135,0.115704,0.114313,0.115357,0.112555,0.114985,0.113948,0.118742,0.109762,0.115185,0.112766,0.000000,0.111313,0.114455,0.112740,0.114035,0.116874,0.113199,0.130717,0.124578,0.121357,0.120892,0.115591,0.114102,0.116201,0.112358,0.113835,0.113953,0.118716,0.109829,0.114488,0.112110,0.004040,0.111043,0.114685,0.113150,0.114331,0.116253,0.111715,0.131007,0.126286
HAP1_chr14,0.121264,0.122336,0.117805,0.115931,0.114747,0.113675,0.115332,0.113965,0.115202,0.110592,0.114592,0.111112,0.111313,0.000000,0.115683,0.112448,0.115201,0.116982,0.112934,0.129561,0.124841,0.120991,0.120858,0.116716,0.115060,0.116034,0.112764,0.115252,0.113513,0.115197,0.110027,0.115169,0.110126,0.110903,0.003138,0.115265,0.112543,0.115018,0.115535,0.111369,0.130274,0.126503
HAP1_chr15,0.121856,0.119486,0.117799,0.115481,0.114306,0.113349,0.116071,0.112804,0.122286,0.116576,0.114613,0.114146,0.114455,0.115683,0.000000,0.114832,0.113615,0.117448,0.111310,0.128940,0.128488,0.121925,0.118838,0.117116,0.115290,0.115175,0.112618,0.115090,0.112015,0.122430,0.115919,0.114685,0.112937,0.114731,0.115762,0.003483,0.114812,0.112614,0.116759,0.110152,0.128736,0.128922
HAP1_chr16,0.119516,0.121407,0.118144,0.113927,0.115969,0.111476,0.115598,0.115269,0.116771,0.115495,0.115911,0.110209,0.112740,0.112448,0.114832,0.000000,0.114434,0.115338,0.114427,0.130976,0.127847,0.118869,0.121240,0.117075,0.113775,0.116611,0.110776,0.114624,0.114827,0.116771,0.114109,0.116025,0.109623,0.112825,0.112890,0.114867,0.002978,0.114477,0.115625,0.112926,0.131103,0.127612
HAP1_chr17,0.122666,0.121119,0.110675,0.115885,0.115196,0.112728,0.116998,0.109474,0.120819,0.116227,0.114454,0.112091,0.114035,0.115201,0.113615,0.114434,0.000000,0.115832,0.113290,0.125137,0.127261,0.122109,0.120515,0.110591,0.115602,0.116284,0.112413,0.116110,0.109344,0.120681,0.115791,0.114832,0.111801,0.113980,0.115394,0.113625,0.114531,0.002829,0.115562,0.112377,0.125756,0.128259
HAP1_chr18,0.121684,0.123870,0.121194,0.112353,0.117087,0.113428,0.118956,0.117398,0.123887,0.119066,0.117309,0.114730,0.116874,0.116982,0.117448,0.115338,0.115832,0.000000,0.115825,0.132182,0.124313,0.121896,0.123586,0.120716,0.112385,0.117860,0.113120,0.118753,0.117071,0.123728,0.118497,0.116766,0.113300,0.117253,0.117188,0.117430,0.115174,0.116459,0.005792,0.114474,0.132555,0.123973
HAP1_chr19,0.121286,0.114930,0.115032,0.114106,0.110810,0.112093,0.115308,0.113760,0.119155,0.114379,0.113155,0.113083,0.113199,0.112934,0.111310,0.114427,0.113290,0.115825,0.000000,0.129159,0.125917,0.120931,0.114991,0.114715,0.114258,0.111014,0.111938,0.114984,0.113501,0.118931,0.114098,0.113807,0.113157,0.112971,0.112536,0.111060,0.114355,0.113285,0.114659,0.003785,0.129106,0.125773
HAP1_chr20,0.144305,0.140987,0.131664,0.134341,0.131944,0.130724,0.132110,0.126672,0.137121,0.132275,0.133318,0.128358,0.130717,0.129561,0.128940,0.130976,0.125137,0.132182,0.129159,0.000000,0.134361,0.144207,0.141231,0.131072,0.135409,0.132503,0.131443,0.131857,0.126697,0.138245,0.131347,0.133914,0.128321,0.129656,0.129630,0.129346,0.131544,0.125377,0.133168,0.128387,0.004227,0.134496
HAP1_chr21,0.141639,0.136065,0.132930,0.131836,0.129893,0.129567,0.127874,0.129676,0.134986,0.129832,0.127873,0.125055,0.124578,0.124841,0.128488,0.127847,0.127261,0.124313,0.125917,0.134361,0.000000,0.141418,0.135617,0.132622,0.132193,0.130613,0.130140,0.128390,0.130360,0.134376,0.130427,0.127788,0.124909,0.124191,0.125572,0.127866,0.128391,0.127943,0.124712,0.124835,0.133965,0.004839
HAP2_chr01,0.004673,0.121531,0.119018,0.110095,0.118097,0.110325,0.120010,0.118709,0.125440,0.121086,0.120868,0.121682,0.121357,0.120991,0.121925,0.118869,0.122109,0.121896,0.120931,0.144207,0.141418,0.000000,0.120947,0.118351,0.110158,0.119149,0.109863,0.118235,0.118184,0.125373,0.120433,0.120754,0.120614,0.120415,0.121236,0.121481,0.118555,0.121912,0.120498,0.119082,0.145187,0.142449
HAP2_chr02,0.121099,0.003216,0.119289,0.118494,0.112513,0.118504,0.119994,0.119505,0.123947,0.120884,0.118758,0.119971,0.120892,0.120858,0.118838,0.121240,0.120515,0.123586,0.114991,0.141231,0.135617,0.120947,0.000000,0.118941,0.118427,0.112994,0.117543,0.118350,0.118767,0.123923,0.120110,0.119044,0.119032,0.120616,0.121382,0.119289,0.120608,0.121303,0.123139,0.114345,0.141883,0.136901
