chrom	unit_a	unit_b	hap_a	hap_b	distance	resolution_limited
chr01	HAP1_chr01	HAP2_chr01	HAP1	HAP2	0.004673	False
chr02	HAP1_chr02	HAP2_chr02	HAP1	HAP2	0.003216	False
chr03	HAP1_chr03	HAP2_chr03	HAP1	HAP2	0.006121	False
chr04	HAP1_chr04	HAP2_chr04	HAP1	HAP2	0.002894	False
chr05	HAP1_chr05	HAP2_chr05	HAP1	HAP2	0.003226	False
chr06	HAP1_chr06	HAP2_chr06	HAP1	HAP2	0.005084	False
chr07	HAP1_chr07	HAP2_chr07	HAP1	HAP2	0.005066	False
chr08	HAP1_chr08	HAP2_chr08	HAP1	HAP2	0.003906	False
chr09	HAP1_chr09	HAP2_chr09	HAP1	HAP2	0.003091	False
chr10	HAP1_chr10	HAP2_chr10	HAP1	HAP2	0.003656	False
chr11	HAP1_chr11	HAP2_chr11	HAP1	HAP2	0.003898	False
chr12	HAP1_chr12	HAP2_chr12	HAP1	HAP2	0.001781	False
chr13	HAP1_chr13	HAP2_chr13	HAP1	HAP2	0.004040	False
chr14	HAP1_chr14	HAP2_chr14	HAP1	HAP2	0.003138	False
chr15	HAP1_chr15	HAP2_chr15	HAP1	HAP2	0.003483	False
chr16	HAP1_chr16	HAP2_chr16	HAP1	HAP2	0.002978	False
chr17	HAP1_chr17	HAP2_chr17	HAP1	HAP2	0.002829	False
chr18	HAP1_chr18	HAP2_chr18	HAP1	HAP2	0.005792	False
chr19	HAP1_chr19	HAP2_chr19	HAP1	HAP2	0.003785	False
chr20	HAP1_chr20	HAP2_chr20	HAP1	HAP2	0.004227	False
chr21	HAP1_chr21	HAP2_chr21	HAP1	HAP2	0.004839	False
