chrom	unit_a	unit_b	hap_a	hap_b	distance	resolution_limited
chr01	HAP1_chr01	HAP2_chr01	HAP1	HAP2	0.000025	False
chr02	HAP1_chr02	HAP2_chr02	HAP1	HAP2	0.000030	False
chr03	HAP1_chr03	HAP2_chr03	HAP1	HAP2	0.000114	False
chr04	HAP1_chr04	HAP2_chr04	HAP1	HAP2	0.000047	False
chr05	HAP1_chr05	HAP2_chr05	HAP1	HAP2	0.000109	False
chr06	HAP1_chr06	HAP2_chr06	HAP1	HAP2	0.000019	False
chr07	HAP1_chr07	HAP2_chr07	HAP1	HAP2	0.000078	False
chr08	HAP1_chr08	HAP2_chr08	HAP1	HAP2	0.000061	False
chr09	HAP1_chr09	HAP2_chr09	HAP1	HAP2	0.000071	False
chr10	HAP1_chr10	HAP2_chr10	HAP1	HAP2	0.000154	False
chr11	HAP1_chr11	HAP2_chr11	HAP1	HAP2	0.000029	False
chr12	HAP1_chr12	HAP2_chr12	HAP1	HAP2	0.000098	False
chr13	HAP1_chr13	HAP2_chr13	HAP1	HAP2	0.000046	False
chr14	HAP1_chr14	HAP2_chr14	HAP1	HAP2	0.000239	False
chr15	HAP1_chr15	HAP2_chr15	HAP1	HAP2	0.000183	False
chr16	HAP1_chr16	HAP2_chr16	HAP1	HAP2	0.000213	False
chr17	HAP1_chr17	HAP2_chr17	HAP1	HAP2	0.000412	False
chr18	HAP1_chr18	HAP2_chr18	HAP1	HAP2	0.000046	False
chr19	HAP1_chr19	HAP2_chr19	HAP1	HAP2	0.000022	False
chr20	HAP1_chr20	HAP2_chr20	HAP1	HAP2	0.000117	False
chr21	HAP1_chr21	HAP2_chr21	HAP1	HAP2	0.000211	False
chr22	HAP1_chr22	HAP2_chr22	HAP1	HAP2	0.000031	False
chr23	HAP1_chr23	HAP2_chr23	HAP1	HAP2	0.000081	False
chr24	HAP1_chr24	HAP2_chr24	HAP1	HAP2	0.000203	False
chr25	HAP1_chr25	HAP2_chr25	HAP1	HAP2	0.000075	False
chr26	HAP1_chr26	HAP2_chr26	HAP1	HAP2	0.000013	False
chr27	HAP1_chr27	HAP2_chr27	HAP1	HAP2	0.000081	False
chr28	HAP1_chr28	HAP2_chr28	HAP1	HAP2	0.000706	False
chr29	HAP1_chr29	HAP2_chr29	HAP1	HAP2	0.000549	False
chr30	HAP1_chr30	HAP2_chr30	HAP1	HAP2	0.003217	False
chr31	HAP1_chr31	HAP2_chr31	HAP1	HAP2	0.000176	False
chr32	HAP1_chr32	HAP2_chr32	HAP1	HAP2	0.000112	False
chr33	HAP1_chr33	HAP2_chr33	HAP1	HAP2	0.000012	False
chr34	HAP1_chr34	HAP2_chr34	HAP1	HAP2	0.000047	False
chr35	HAP1_chr35	HAP2_chr35	HAP1	HAP2	0.000032	False
chr36	HAP1_chr36	HAP2_chr36	HAP1	HAP2	0.000046	False
chr37	HAP1_chr37	HAP2_chr37	HAP1	HAP2	0.000167	False
chr38	HAP1_chr38	HAP2_chr38	HAP1	HAP2	0.000082	False
chr39	HAP1_chr39	HAP2_chr39	HAP1	HAP2	0.000199	False
chr40	HAP1_chr40	HAP2_chr40	HAP1	HAP2	0.000145	False
chr41	HAP1_chr41	HAP2_chr41	HAP1	HAP2	0.000044	False
chr42	HAP1_chr42	HAP2_chr42	HAP1	HAP2	0.000187	False
chr43	HAP1_chr43	HAP2_chr43	HAP1	HAP2	0.000121	False
chr44	HAP1_chr44	HAP2_chr44	HAP1	HAP2	0.000387	False
chr45	HAP1_chr45	HAP2_chr45	HAP1	HAP2	0.000200	False
chr46	HAP1_chr46	HAP2_chr46	HAP1	HAP2	0.000590	False
chr47	HAP1_chr47	HAP2_chr47	HAP1	HAP2	0.000312	False
chr48	HAP1_chr48	HAP2_chr48	HAP1	HAP2	0.000948	False
chr49	HAP1_chr49	HAP2_chr49	HAP1	HAP2	0.000441	False
chr50	HAP1_chr50	HAP2_chr50	HAP1	HAP2	0.000149	False
chr51	HAP1_chr51	HAP2_chr51	HAP1	HAP2	0.001222	False
