,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP1_chr26,HAP1_chr27,HAP1_chr28,HAP1_chr29,HAP1_chr30,HAP1_chr31,HAP1_chr32,HAP1_chr33,HAP1_chr34,HAP1_chr35,HAP1_chr36,HAP1_chr37,HAP1_chr38,HAP1_chr39,HAP1_chr40,HAP1_chr41,HAP1_chr42,HAP1_chr43,HAP1_chr44,HAP1_chr45,HAP1_chr46,HAP1_chr47,HAP1_chr48,HAP1_chr49,HAP1_chr50,HAP1_chr51,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP2_chr26,HAP2_chr27,HAP2_chr28,HAP2_chr29,HAP2_chr30,HAP2_chr31,HAP2_chr32,HAP2_chr33,HAP2_chr34,HAP2_chr35,HAP2_chr36,HAP2_chr37,HAP2_chr38,HAP2_chr39,HAP2_chr40,HAP2_chr41,HAP2_chr42,HAP2_chr43,HAP2_chr44,HAP2_chr45,HAP2_chr46,HAP2_chr47,HAP2_chr48,HAP2_chr49,HAP2_chr50,HAP2_chr51
HAP1_chr01,0.000000,0.097078,0.065515,0.097749,0.109669,0.100046,0.093960,0.094405,0.104170,0.103083,0.101481,0.113617,0.102255,0.106313,0.115405,0.116586,0.118246,0.106990,0.105969,0.107379,0.105754,0.108141,0.117978,0.109098,0.125525,0.113133,0.110867,0.124859,0.125702,0.127582,0.123999,0.123219,0.111832,0.111756,0.116104,0.112017,0.124454,0.113243,0.126592,0.114916,0.114572,0.127677,0.127308,0.129312,0.128862,0.130569,0.129313,0.129498,0.130592,0.132336,0.131623,0.000025,0.097135,0.065527,0.097806,0.109492,0.100072,0.094045,0.094467,0.104231,0.103056,0.101514,0.113778,0.102311,0.106814,0.115507,0.116552,0.119241,0.107062,0.105968,0.107488,0.105996,0.108098,0.118106,0.109302,0.125707,0.113173,0.111004,0.123951,0.126506,0.132259,0.124262,0.123512,0.111842,0.111791,0.116067,0.112106,0.124652,0.113343,0.126686,0.114742,0.114558,0.128091,0.127333,0.130221,0.128611,0.130305,0.128989,0.131542,0.131550,0.132672,0.133409
HAP1_chr02,0.097078,0.000000,0.108739,0.091396,0.065499,0.099516,0.100948,0.100967,0.113245,0.101646,0.092781,0.102603,0.101022,0.116607,0.114386,0.104300,0.117088,0.105543,0.104462,0.105790,0.104321,0.106030,0.116632,0.106906,0.124623,0.111095,0.108512,0.122674,0.123217,0.125780,0.122251,0.121443,0.109968,0.109279,0.113575,0.109440,0.122468,0.110525,0.124563,0.112393,0.112205,0.125623,0.125276,0.127180,0.126721,0.127540,0.127493,0.127264,0.128561,0.130379,0.129782,0.097087,0.000030,0.108848,0.091449,0.065472,0.099542,0.101034,0.101025,0.113354,0.101573,0.092813,0.102698,0.101086,0.117268,0.114487,0.104378,0.118042,0.105629,0.104463,0.105878,0.104517,0.106012,0.116747,0.107070,0.124768,0.111115,0.108652,0.121874,0.123777,0.130045,0.122544,0.121736,0.109975,0.109309,0.113537,0.109520,0.122645,0.110609,0.124618,0.112234,0.112207,0.126050,0.125349,0.127999,0.126491,0.127256,0.127191,0.129091,0.129451,0.130647,0.131497
HAP1_chr03,0.065515,0.108739,0.000000,0.109079,0.103674,0.110726,0.101850,0.102470,0.097973,0.113281,0.111694,0.106950,0.113346,0.100092,0.108270,0.109352,0.111395,0.116161,0.115649,0.116976,0.115217,0.117328,0.110860,0.118096,0.118626,0.121286,0.118003,0.117729,0.118011,0.119949,0.116386,0.116102,0.120919,0.120204,0.124030,0.120712,0.116430,0.122279,0.119092,0.123364,0.123601,0.119698,0.119079,0.121196,0.121519,0.121657,0.121696,0.121177,0.122727,0.124177,0.124316,0.065510,0.108748,0.000114,0.109125,0.103496,0.110742,0.101914,0.102526,0.098099,0.113260,0.111721,0.107153,0.113392,0.100725,0.108322,0.109279,0.112526,0.116215,0.115644,0.117072,0.115508,0.117303,0.111046,0.118256,0.118828,0.121308,0.118129,0.116859,0.118979,0.124263,0.116609,0.116453,0.120924,0.120229,0.123996,0.120768,0.116852,0.122370,0.119134,0.123255,0.123601,0.120162,0.119232,0.122330,0.121110,0.121318,0.121082,0.123466,0.124100,0.124541,0.126144
HAP1_chr04,0.097749,0.091396,0.109079,0.000000,0.101535,0.098331,0.099338,0.099732,0.111482,0.095325,0.094221,0.072913,0.100032,0.114781,0.112835,0.106506,0.116137,0.104121,0.103055,0.103892,0.098067,0.104250,0.115038,0.103871,0.122141,0.108587,0.106459,0.121334,0.114510,0.122913,0.120199,0.113333,0.107107,0.106948,0.111492,0.103324,0.119314,0.108437,0.123139,0.109890,0.109024,0.122064,0.122120,0.124089,0.123608,0.124971,0.124025,0.123418,0.095362,0.126878,0.126675,0.097749,0.091408,0.109207,0.000047,0.101375,0.098353,0.099422,0.099794,0.111578,0.094166,0.094256,0.072942,0.100094,0.115527,0.112921,0.106473,0.117120,0.104201,0.103050,0.104012,0.098310,0.104203,0.115170,0.104053,0.122335,0.108611,0.106591,0.120574,0.114987,0.126962,0.120455,0.113592,0.107116,0.106984,0.111453,0.103426,0.119501,0.108543,0.123189,0.109697,0.109016,0.122466,0.122184,0.124925,0.123310,0.124639,0.123695,0.125372,0.095772,0.127144,0.128585
HAP1_chr05,0.109669,0.065499,0.103674,0.101535,0.000000,0.110820,0.112144,0.112003,0.106965,0.112951,0.101430,0.096654,0.112547,0.110063,0.107399,0.098249,0.110377,0.114972,0.114954,0.116486,0.114159,0.116246,0.109661,0.116994,0.116976,0.119772,0.116779,0.116232,0.116210,0.117933,0.114847,0.114513,0.120278,0.119100,0.122249,0.119585,0.114735,0.120724,0.116603,0.121829,0.122109,0.117095,0.117602,0.119122,0.119082,0.119540,0.119497,0.119574,0.120309,0.121913,0.122075,0.109669,0.065500,0.103789,0.101572,0.000109,0.110827,0.112212,0.112080,0.107080,0.112936,0.101453,0.096785,0.112596,0.110655,0.107447,0.098328,0.111232,0.115047,0.114948,0.116566,0.114415,0.116220,0.109825,0.117122,0.117134,0.119795,0.116886,0.115504,0.116901,0.121891,0.115064,0.114816,0.120285,0.119116,0.122213,0.119636,0.115035,0.120802,0.116550,0.121754,0.122093,0.117559,0.117715,0.120147,0.118790,0.119208,0.119016,0.121388,0.121413,0.122266,0.123576
HAP1_chr06,0.100046,0.099516,0.110726,0.098331,0.110820,0.000000,0.100214,0.099776,0.111579,0.100547,0.099053,0.110838,0.098779,0.113847,0.071255,0.112599,0.114534,0.102911,0.101329,0.096864,0.101000,0.098432,0.113026,0.095539,0.119010,0.106493,0.101019,0.118940,0.116952,0.120041,0.117352,0.117234,0.104375,0.103395,0.108425,0.103993,0.116886,0.102387,0.113308,0.106544,0.105942,0.108772,0.119237,0.110385,0.120199,0.116153,0.120474,0.120107,0.121410,0.122611,0.100695,0.100041,0.099541,0.110860,0.098356,0.110612,0.000019,0.100309,0.099818,0.111648,0.100571,0.099085,0.110993,0.098827,0.114533,0.071439,0.112537,0.115401,0.102964,0.101332,0.096914,0.101190,0.098406,0.113133,0.095616,0.119165,0.106516,0.101118,0.118378,0.117457,0.124135,0.117606,0.117506,0.104383,0.103405,0.108394,0.104097,0.117011,0.102497,0.113324,0.106352,0.105930,0.109047,0.119315,0.110979,0.120045,0.115995,0.120205,0.121965,0.122241,0.122852,0.101903
HAP1_chr07,0.093960,0.100948,0.101850,0.099338,0.112144,0.100214,0.000000,0.093781,0.103332,0.101243,0.099068,0.111716,0.099097,0.066920,0.112492,0.112965,0.115171,0.102706,0.101985,0.101823,0.101505,0.102399,0.113186,0.101829,0.119515,0.106594,0.103466,0.119028,0.116524,0.119584,0.117561,0.117024,0.103480,0.103415,0.107923,0.103957,0.115977,0.104510,0.118915,0.106105,0.105853,0.119005,0.118130,0.119672,0.119445,0.120426,0.119943,0.119055,0.121232,0.122178,0.121706,0.093954,0.100979,0.101951,0.099400,0.111969,0.100242,0.000078,0.093807,0.103412,0.101223,0.099080,0.111842,0.099138,0.067032,0.112489,0.112897,0.116103,0.102757,0.101944,0.101918,0.101724,0.102370,0.113318,0.101940,0.119679,0.106612,0.103603,0.118334,0.117089,0.123193,0.117798,0.117355,0.103489,0.103440,0.107895,0.103999,0.116167,0.104588,0.118998,0.105969,0.105856,0.119371,0.118209,0.120488,0.119191,0.120107,0.119661,0.120873,0.122156,0.122446,0.123156
HAP1_chr08,0.094405,0.100967,0.102470,0.099732,0.112003,0.099776,0.093781,0.000000,0.066258,0.100797,0.099190,0.110527,0.099835,0.104980,0.111910,0.112659,0.114647,0.102739,0.101332,0.101609,0.101457,0.103147,0.113340,0.102221,0.118049,0.106356,0.104032,0.118057,0.116113,0.118738,0.116615,0.116636,0.104218,0.104167,0.107259,0.104054,0.116238,0.105153,0.118249,0.106107,0.105642,0.118329,0.117839,0.119194,0.119077,0.119288,0.119590,0.119131,0.120220,0.121412,0.121288,0.094398,0.100996,0.102557,0.099766,0.111783,0.099799,0.093828,0.000061,0.066255,0.100789,0.099215,0.110643,0.099888,0.105531,0.111992,0.112593,0.115562,0.102824,0.101302,0.101689,0.101710,0.103132,0.113473,0.102304,0.118198,0.106380,0.104168,0.117467,0.116706,0.122065,0.116794,0.116924,0.104225,0.104190,0.107203,0.104093,0.116385,0.105204,0.118187,0.105943,0.105626,0.118685,0.117919,0.119990,0.118804,0.119054,0.119289,0.120942,0.121061,0.121761,0.123043
HAP1_chr09,0.104170,0.113245,0.097973,0.111482,0.106965,0.111579,0.103332,0.066258,0.000000,0.113225,0.110839,0.105136,0.111988,0.099475,0.106298,0.106298,0.109025,0.113275,0.112922,0.114009,0.112757,0.113964,0.107634,0.113335,0.113212,0.116746,0.113593,0.112545,0.110550,0.113356,0.111186,0.111417,0.115365,0.114643,0.118090,0.115397,0.109376,0.115973,0.112711,0.116800,0.116857,0.111669,0.111179,0.113452,0.113047,0.113056,0.113439,0.112889,0.114689,0.115668,0.115498,0.104163,0.113268,0.098109,0.111503,0.106721,0.111581,0.103371,0.066252,0.000071,0.113214,0.110849,0.105372,0.112033,0.100180,0.106299,0.106175,0.110071,0.113332,0.112915,0.114103,0.113057,0.113933,0.107830,0.113438,0.113357,0.116766,0.113720,0.111962,0.111256,0.116473,0.111360,0.111800,0.115370,0.114662,0.118055,0.115417,0.109710,0.116048,0.112665,0.116710,0.116869,0.112110,0.111265,0.114613,0.112622,0.112689,0.112806,0.115098,0.115957,0.116115,0.117138
HAP1_chr10,0.103083,0.101646,0.113281,0.095325,0.112951,0.100547,0.101243,0.100797,0.113225,0.000000,0.100006,0.112237,0.100235,0.115241,0.112483,0.113458,0.064484,0.102216,0.102152,0.102855,0.101631,0.102311,0.113553,0.102498,0.104761,0.095384,0.103401,0.117186,0.116492,0.105357,0.116995,0.116627,0.104617,0.103806,0.096888,0.103708,0.116322,0.105178,0.118179,0.105943,0.105864,0.118827,0.118806,0.120001,0.119339,0.120374,0.119976,0.119196,0.120746,0.121690,0.121460,0.103080,0.101682,0.113413,0.095362,0.112766,0.100575,0.101338,0.100821,0.113319,0.000154,0.100019,0.112341,0.100280,0.115916,0.112545,0.113394,0.064563,0.102279,0.102153,0.102935,0.101766,0.102289,0.113680,0.102573,0.104854,0.095403,0.103505,0.116700,0.116937,0.107385,0.117236,0.116990,0.104626,0.103826,0.096843,0.103777,0.116461,0.105298,0.118157,0.105802,0.105880,0.119185,0.118883,0.120846,0.119178,0.120108,0.119681,0.121082,0.121542,0.121928,0.122988
