chrom_a	chrom_b	distance	z_score	p_value	q_value	accepted
chr04	chr06	0.107596	-1.535	0.0624111	0.6912	False
chr06	chr12	0.109272	-1.301	0.0967105	0.6912	False
chr03	chr17	0.109375	-1.286	0.0992004	0.6912	False
chr08	chr17	0.109659	-1.246	0.106315	0.6912	False
chr10	chr13	0.109688	-1.242	0.107061	0.6912	False
chr12	chr16	0.109797	-1.227	0.109911	0.6912	False
chr01	chr06	0.110133	-1.180	0.118977	0.6912	False
chr01	chr04	0.110263	-1.162	0.122645	0.6912	False
chr03	chr08	0.110273	-1.161	0.122915	0.6912	False
chr05	chr19	0.110308	-1.156	0.123914	0.6912	False
chr12	chr17	0.110381	-1.145	0.126022	0.6912	False
chr10	chr14	0.110545	-1.122	0.130848	0.6912	False
chr15	chr19	0.110584	-1.117	0.131981	0.6912	False
chr12	chr14	0.110706	-1.100	0.135693	0.6912	False
chr13	chr14	0.111023	-1.056	0.145588	0.6912	False
chr06	chr16	0.111187	-1.033	0.150885	0.6912	False
chr06	chr19	0.111559	-0.981	0.163373	0.6912	False
chr14	chr19	0.112030	-0.915	0.180162	0.6912	False
chr08	chr15	0.112068	-0.909	0.18156	0.6912	False
chr04	chr18	0.112173	-0.895	0.185469	0.6912	False
chr06	chr08	0.112182	-0.894	0.185787	0.6912	False
chr06	chr13	0.112226	-0.887	0.18742	0.6912	False
chr12	chr19	0.112228	-0.887	0.187495	0.6912	False
chr03	chr06	0.112264	-0.882	0.188882	0.6912	False
chr06	chr07	0.112279	-0.880	0.18943	0.6912	False
chr06	chr17	0.112306	-0.876	0.190464	0.6912	False
chr13	chr19	0.112379	-0.866	0.193271	0.6912	False
chr11	chr19	0.112486	-0.851	0.197362	0.6912	False
chr08	chr12	0.112501	-0.849	0.197954	0.6912	False
chr06	chr11	0.112578	-0.838	0.200984	0.6912	False
chr12	chr13	0.112623	-0.832	0.202736	0.6912	False
chr14	chr16	0.112642	-0.829	0.203477	0.6912	False
chr03	chr12	0.112662	-0.826	0.204299	0.6912	False
chr05	chr11	0.112673	-0.825	0.204735	0.6912	False
chr07	chr11	0.112726	-0.817	0.206836	0.6912	False
chr08	chr19	0.112783	-0.809	0.20913	0.6912	False
chr17	chr19	0.112801	-0.807	0.209855	0.6912	False
chr05	chr06	0.112834	-0.802	0.211177	0.6912	False
chr11	chr12	0.112838	-0.802	0.211318	0.6912	False
chr02	chr05	0.112842	-0.801	0.211521	0.6912	False
chr06	chr15	0.112977	-0.782	0.217016	0.6912	False
chr13	chr16	0.112980	-0.782	0.217129	0.6912	False
chr06	chr14	0.113062	-0.770	0.220534	0.6912	False
chr05	chr07	0.113074	-0.769	0.221001	0.6912	False
chr07	chr12	0.113131	-0.761	0.223406	0.6912	False
chr15	chr17	0.113145	-0.759	0.22395	0.6912	False
chr04	chr08	0.113173	-0.755	0.225133	0.6912	False
chr04	chr12	0.113246	-0.745	0.228218	0.6912	False
chr06	chr18	0.113306	-0.736	0.230763	0.6912	False
chr12	chr15	0.113413	-0.721	0.23534	0.6912	False
chr04	chr19	0.113522	-0.706	0.240076	0.6912	False
chr10	chr19	0.113617	-0.693	0.244204	0.6912	False
chr16	chr19	0.113674	-0.685	0.246702	0.6912	False
chr06	chr10	0.113694	-0.682	0.247585	0.6912	False
chr08	chr14	0.113717	-0.679	0.248614	0.6912	False
chr05	chr08	0.113777	-0.671	0.251269	0.6912	False
chr04	chr16	0.113789	-0.669	0.251826	0.6912	False
chr12	chr18	0.113818	-0.665	0.253088	0.6912	False
chr04	chr05	0.113925	-0.650	0.257909	0.6912	False
chr08	chr11	0.113925	-0.650	0.257943	0.6912	False
chr13	chr17	0.114030	-0.635	0.262687	0.6912	False
chr08	chr13	0.114042	-0.633	0.263223	0.6912	False
chr07	chr13	0.114113	-0.624	0.266474	0.6912	False
chr03	chr19	0.114195	-0.612	0.270254	0.6912	False
chr04	chr10	0.114197	-0.612	0.270347	0.6912	False
chr04	chr11	0.114251	-0.604	0.272851	0.6912	False
chr04	chr13	0.114269	-0.602	0.273723	0.6912	False
chr10	chr12	0.114338	-0.592	0.276922	0.6912	False
chr04	chr07	0.114408	-0.582	0.280209	0.6912	False
chr07	chr19	0.114426	-0.580	0.281045	0.6912	False
