chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.004673					
chr02	2	0.003216					
chr03	2	0.006121					
chr04	2	0.002894					
chr05	2	0.003226					
chr06	2	0.005084					
chr07	2	0.005066					
chr08	2	0.003906					
chr09	2	0.003091					
chr10	2	0.003656					
chr11	2	0.003898					
chr12	2	0.001781					
chr13	2	0.004040					
chr14	2	0.003138					
chr15	2	0.003483					
chr16	2	0.002978					
chr17	2	0.002829					
chr18	2	0.005792					
chr19	2	0.003785					
chr20	2	0.004227					
chr21	2	0.004839					
