chrom_a	chrom_b	distance	z_score	p_value	q_value	accepted
chr02	chr03	0.154851	-1.570	0.0582208	0.302624	False
chr02	chr04	0.154961	-1.550	0.0605248	0.302624	False
chr03	chr04	0.158700	-0.887	0.187416	0.624721	False
chr04	chr05	0.162227	-0.262	0.396614	0.908713	False
chr02	chr05	0.164228	0.093	0.536912	0.908713	False
chr03	chr05	0.164538	0.148	0.558679	0.908713	False
chr01	chr03	0.168209	0.798	0.787707	0.908713	False
chr01	chr02	0.168375	0.828	0.796142	0.908713	False
chr01	chr04	0.169742	1.070	0.857756	0.908713	False
chr01	chr05	0.171223	1.333	0.908713	0.908713	False
