,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14
HAP1_chr01,0.000000,0.140229,0.143770,0.150431,0.142517,0.097973,0.142125,0.143570,0.144636,0.141931,0.147289,0.147852,0.149431,0.154548,0.022166,0.140210,0.141630,0.146779,0.144116,0.098704,0.143611,0.145103,0.148658,0.144006,0.148977,0.151030,0.150661,0.157553
HAP1_chr02,0.140229,0.000000,0.142973,0.146106,0.143861,0.146850,0.142212,0.145342,0.141640,0.141922,0.144588,0.144955,0.144236,0.106096,0.141464,0.019448,0.140699,0.144567,0.144799,0.145668,0.142980,0.145487,0.144978,0.142266,0.145282,0.147875,0.145526,0.107145
HAP1_chr03,0.143770,0.142973,0.000000,0.149257,0.145865,0.150439,0.142488,0.145517,0.146458,0.142480,0.151732,0.099183,0.150001,0.153988,0.143037,0.140484,0.018742,0.147036,0.145155,0.149106,0.142310,0.145450,0.147772,0.141748,0.149220,0.100229,0.148867,0.154486
HAP1_chr04,0.150431,0.146106,0.149257,0.000000,0.152557,0.153804,0.150564,0.097999,0.149834,0.150035,0.153241,0.152165,0.149959,0.160078,0.150486,0.146492,0.150127,0.020529,0.150813,0.151673,0.149935,0.098485,0.151122,0.149192,0.151383,0.152891,0.150207,0.158843
HAP1_chr05,0.142517,0.143861,0.145865,0.152557,0.000000,0.150564,0.144123,0.146443,0.148959,0.143005,0.097631,0.151029,0.149499,0.154015,0.145391,0.143029,0.144031,0.148973,0.022199,0.152350,0.147423,0.147034,0.152027,0.144605,0.098397,0.153541,0.150551,0.156532
HAP1_chr06,0.097973,0.146850,0.150439,0.153804,0.150564,0.000000,0.148667,0.150567,0.148051,0.150291,0.149851,0.149311,0.151253,0.155423,0.098858,0.146225,0.149367,0.149330,0.151829,0.021757,0.150672,0.152694,0.150784,0.150090,0.153236,0.152687,0.151646,0.162811
HAP1_chr07,0.142125,0.142212,0.142488,0.150564,0.144123,0.148667,0.000000,0.145096,0.098246,0.142612,0.148300,0.148566,0.148111,0.152177,0.143441,0.140682,0.142297,0.146421,0.143404,0.149653,0.019687,0.145003,0.099198,0.140991,0.149500,0.148962,0.149030,0.155334
HAP1_chr08,0.143570,0.145342,0.145517,0.097999,0.146443,0.150567,0.145096,0.000000,0.148096,0.146159,0.149590,0.149513,0.149092,0.152998,0.145464,0.143911,0.145006,0.097179,0.147521,0.152081,0.146770,0.021088,0.152713,0.145711,0.152964,0.154363,0.151349,0.156930
HAP1_chr09,0.144636,0.141640,0.146458,0.149834,0.148959,0.148051,0.098246,0.148096,0.000000,0.145174,0.147290,0.146199,0.146546,0.154662,0.146569,0.143182,0.146940,0.146714,0.148733,0.148430,0.098927,0.150604,0.021464,0.145940,0.149565,0.149642,0.146956,0.156858
HAP1_chr10,0.141931,0.141922,0.142480,0.150035,0.143005,0.150291,0.142612,0.146159,0.145174,0.000000,0.148951,0.147283,0.097758,0.151169,0.144793,0.140852,0.140849,0.147699,0.143505,0.151648,0.144318,0.146322,0.148484,0.018205,0.149330,0.151216,0.098480,0.153888
HAP1_chr11,0.147289,0.144588,0.151732,0.153241,0.097631,0.149851,0.148300,0.149590,0.147290,0.148951,0.000000,0.148926,0.149364,0.155657,0.149911,0.144844,0.149557,0.148951,0.098986,0.151342,0.149472,0.151838,0.151095,0.149719,0.020531,0.152480,0.149068,0.160967
HAP1_chr12,0.147852,0.144955,0.099183,0.152165,0.151029,0.149311,0.148566,0.149513,0.146199,0.147283,0.148926,0.000000,0.149403,0.153592,0.149728,0.144500,0.098811,0.148559,0.149288,0.151317,0.150309,0.151394,0.149456,0.148966,0.151306,0.020041,0.150334,0.159407
HAP1_chr13,0.149431,0.144236,0.150001,0.149959,0.149499,0.151253,0.148111,0.149092,0.146546,0.097758,0.149364,0.149403,0.000000,0.154595,0.149448,0.144287,0.148104,0.148737,0.149669,0.151574,0.150664,0.152197,0.149674,0.098287,0.149719,0.151174,0.020371,0.155002
HAP1_chr14,0.154548,0.106096,0.153988,0.160078,0.154015,0.155423,0.152177,0.152998,0.154662,0.151169,0.155657,0.153592,0.154595,0.000000,0.156485,0.106202,0.153510,0.156850,0.154339,0.157541,0.154093,0.155185,0.155924,0.151541,0.157469,0.155648,0.154595,0.019888
HAP2_chr01,0.022166,0.141464,0.143037,0.150486,0.145391,0.098858,0.143441,0.145464,0.146569,0.144793,0.149911,0.149728,0.149448,0.156485,0.000000,0.141120,0.142824,0.149587,0.144024,0.098413,0.142928,0.145220,0.148770,0.143701,0.149397,0.150611,0.148920,0.156241
HAP2_chr02,0.140210,0.019448,0.140484,0.146492,0.143029,0.146225,0.140682,0.143911,0.143182,0.140852,0.144844,0.144500,0.144287,0.106202,0.141120,0.000000,0.139422,0.143822,0.143166,0.145977,0.142680,0.144478,0.143572,0.140630,0.145449,0.145979,0.145199,0.103362
HAP2_chr03,0.141630,0.140699,0.018742,0.150127,0.144031,0.149367,0.142297,0.145006,0.146940,0.140849,0.149557,0.098811,0.148104,0.153510,0.142824,0.139422,0.000000,0.146976,0.144004,0.150014,0.142881,0.145181,0.148665,0.141619,0.148619,0.099915,0.147671,0.153807
HAP2_chr04,0.146779,0.144567,0.147036,0.020529,0.148973,0.149330,0.146421,0.097179,0.146714,0.147699,0.148951,0.148559,0.148737,0.156850,0.149587,0.143822,0.146976,0.000000,0.149806,0.151425,0.148417,0.097564,0.150136,0.148084,0.151607,0.152205,0.150068,0.159473
HAP2_chr05,0.144116,0.144799,0.145155,0.150813,0.022199,0.151829,0.143404,0.147521,0.148733,0.143505,0.098986,0.149288,0.149669,0.154339,0.144024,0.143166,0.144004,0.149806,0.000000,0.151694,0.144532,0.145144,0.149368,0.143105,0.098466,0.151671,0.149280,0.155488
