unit_a	unit_b	k	shared	kmers_a	kmers_b	jaccard	containment	distance	resolution_limited	z
HAP1_chr01	HAP1_chr02	11	2004251	2034694	2051863	0.962515	0.985038	0.001753	False	9.5661
HAP1_chr01	HAP1_chr02	13	12388729	16620718	17753670	0.563491	0.745379	0.025183	False	1212.1833
HAP1_chr01	HAP1_chr02	15	14391501	40253037	44782284	0.203719	0.357526	0.072219	False	6021.5699
HAP1_chr01	HAP1_chr02	17	8966292	51206688	57226381	0.090144	0.175100	0.105854	False	14767.2689
HAP1_chr01	HAP1_chr02	19	7014953	55664999	61853607	0.063482	0.126021	0.111863	False	44162.3672
HAP1_chr01	HAP1_chr02	23	5822627	60682520	66640072	0.047923	0.095952	0.103992	False	543107.4584
HAP1_chr01	HAP1_chr03	11	2007028	2034694	2055946	0.963245	0.986403	0.001718	False	8.7180
HAP1_chr01	HAP1_chr03	13	12412163	16620718	17905297	0.561285	0.746789	0.025376	False	1189.6891
HAP1_chr01	HAP1_chr03	15	14225647	40253037	44858288	0.200684	0.353406	0.073051	False	5922.9234
HAP1_chr01	HAP1_chr03	17	8772621	51206688	56987013	0.088237	0.171318	0.107008	False	14468.4157
HAP1_chr01	HAP1_chr03	19	6848663	55664999	61461787	0.062104	0.123034	0.112950	False	43249.9495
HAP1_chr01	HAP1_chr03	23	5669311	60682520	66113668	0.046805	0.093426	0.104972	False	530907.6936
HAP1_chr01	HAP1_chr04	11	1988596	2034694	2032917	0.956509	0.978198	0.002044	False	11.5521
HAP1_chr01	HAP1_chr04	13	11476227	16620718	16004018	0.542649	0.717084	0.027050	False	1260.4468
HAP1_chr01	HAP1_chr04	15	12421022	40253037	36443136	0.193248	0.340833	0.075154	False	5861.2424
HAP1_chr01	HAP1_chr04	17	7781747	51206688	45054812	0.087949	0.172717	0.107185	False	14497.1917
HAP1_chr01	HAP1_chr04	19	6188948	55664999	48425722	0.063216	0.127803	0.112071	False	44051.8452
HAP1_chr01	HAP1_chr04	23	5192214	60682520	52205287	0.048212	0.099458	0.103743	False	547180.8723
HAP1_chr01	HAP1_chr05	11	1977592	2034694	2018520	0.952771	0.979724	0.002226	False	13.7114
HAP1_chr01	HAP1_chr05	13	11369119	16620718	15646269	0.544032	0.726635	0.026923	False	1299.9549
HAP1_chr01	HAP1_chr05	15	12609523	40253037	36178440	0.197573	0.348537	0.073920	False	6009.1472
HAP1_chr01	HAP1_chr05	17	7999153	51206688	45273704	0.090405	0.176684	0.105697	False	14878.0767
HAP1_chr01	HAP1_chr05	19	6344848	55664999	48904349	0.064595	0.129740	0.111003	False	44942.1058
HAP1_chr01	HAP1_chr05	23	5276857	60682520	52900340	0.048722	0.099751	0.103307	False	552435.6324
HAP1_chr01	HAP1_chr06	11	1991461	2034694	2036398	0.957603	0.978752	0.001991	False	11.1778
HAP1_chr01	HAP1_chr06	13	11635702	16620718	16312717	0.546335	0.713290	0.026713	False	1250.7732
HAP1_chr01	HAP1_chr06	15	12725283	40253037	37870910	0.194580	0.336017	0.074771	False	5866.7276
HAP1_chr01	HAP1_chr06	17	7906119	51206688	47023895	0.087530	0.168130	0.107443	False	14403.1535
HAP1_chr01	HAP1_chr06	19	6233334	55664999	50491467	0.062381	0.123453	0.112729	False	43445.8279
HAP1_chr01	HAP1_chr06	23	5171179	60682520	54201381	0.047134	0.095407	0.104681	False	534834.7815
HAP1_chr01	HAP1_chr07	11	1975485	2034694	2016124	0.951888	0.979843	0.002269	False	13.8752
HAP1_chr01	HAP1_chr07	13	11195528	16620718	15360303	0.538622	0.728861	0.027422	False	1300.4199
HAP1_chr01	HAP1_chr07	15	12188755	40253037	34635945	0.194397	0.351911	0.074823	False	5952.1591
HAP1_chr01	HAP1_chr07	17	7747890	51206688	42890854	0.089727	0.180642	0.106104	False	14816.9569
HAP1_chr01	HAP1_chr07	19	6186398	55664999	46194040	0.064662	0.133922	0.110952	False	45091.3551
HAP1_chr01	HAP1_chr07	23	5168554	60682520	49901410	0.049030	0.103575	0.103045	False	557119.7009
HAP1_chr01	HAP1_chr08	11	1990828	2034694	2035630	0.957361	0.978441	0.002002	False	11.2597
HAP1_chr01	HAP1_chr08	13	11576009	16620718	16253293	0.543526	0.712225	0.026969	False	1242.3935
HAP1_chr01	HAP1_chr08	15	12422961	40253037	37330222	0.190652	0.332786	0.075911	False	5752.5860
HAP1_chr01	HAP1_chr08	17	7588147	51206688	45996980	0.084674	0.164971	0.109240	False	13967.5033
HAP1_chr01	HAP1_chr08	19	5955643	55664999	49226509	0.060197	0.120984	0.114497	False	42037.4768
HAP1_chr01	HAP1_chr08	23	4924904	60682520	52709081	0.045405	0.093436	0.106235	False	516523.5524
HAP1_chr01	HAP1_chr09	11	1980563	2034694	2022833	0.953586	0.979104	0.002186	False	12.8305
HAP1_chr01	HAP1_chr09	13	11309914	16620718	15674252	0.538951	0.721560	0.027391	False	1272.5716
HAP1_chr01	HAP1_chr09	15	12121028	40253037	35603391	0.190177	0.340446	0.076050	False	5784.8848
HAP1_chr01	HAP1_chr09	17	7443865	51206688	43913973	0.084901	0.169510	0.109095	False	14037.2052
HAP1_chr01	HAP1_chr09	19	5841349	55664999	47053128	0.060297	0.124144	0.114415	False	42175.8194
HAP1_chr01	HAP1_chr09	23	4829622	60682520	50413378	0.045448	0.095800	0.106195	False	517935.3122
HAP1_chr01	HAP1_chr10	11	1971315	2034694	2011428	0.950120	0.980057	0.002356	False	14.1678
HAP1_chr01	HAP1_chr10	13	10971125	16620718	14998553	0.531337	0.731479	0.028104	False	1299.4202
HAP1_chr01	HAP1_chr10	15	11689325	40253037	33084156	0.189614	0.353321	0.076216	False	5846.9208
HAP1_chr01	HAP1_chr10	17	7367340	51206688	40659677	0.087188	0.181195	0.107655	False	14472.1121
HAP1_chr01	HAP1_chr10	19	5877420	55664999	43728970	0.062849	0.134406	0.112359	False	44030.6652
HAP1_chr01	HAP1_chr10	23	4903902	60682520	47233928	0.047605	0.103822	0.104269	False	543313.6734
HAP1_chr01	HAP1_chr11	11	1957760	2034694	1995337	0.944741	0.981168	0.002621	False	15.7030
HAP1_chr01	HAP1_chr11	13	10633023	16620718	14359028	0.522591	0.740511	0.028940	False	1320.0469
HAP1_chr01	HAP1_chr11	15	11176729	40253037	31023980	0.185968	0.360261	0.077306	False	5803.1199
HAP1_chr01	HAP1_chr11	17	6985875	51206688	37900545	0.085068	0.184321	0.108988	False	14221.7074
HAP1_chr01	HAP1_chr11	19	5522511	55664999	40613503	0.060850	0.135977	0.113961	False	42930.8690
HAP1_chr01	HAP1_chr11	23	4551107	60682520	43621028	0.045624	0.104333	0.106034	False	524692.6945
HAP1_chr01	HAP1_chr12	11	1969343	2034694	2009595	0.949106	0.979970	0.002405	False	14.0356
HAP1_chr01	HAP1_chr12	13	10833252	16620718	14774427	0.526861	0.733243	0.028530	False	1299.3120
HAP1_chr01	HAP1_chr12	15	11350067	40253037	31988760	0.186398	0.354814	0.077177	False	5780.1566
HAP1_chr01	HAP1_chr12	17	7103830	51206688	38875060	0.085611	0.182735	0.108643	False	14275.2806
HAP1_chr01	HAP1_chr12	19	5666621	55664999	41525715	0.061914	0.136461	0.113102	False	43565.0801
HAP1_chr01	HAP1_chr12	23	4732183	60682520	44439719	0.047138	0.106485	0.104678	False	540520.2182
HAP1_chr01	HAP1_chr13	11	1948652	2034694	1986353	0.940290	0.981020	0.002842	False	15.4564
HAP1_chr01	HAP1_chr13	13	10109129	16620718	13564948	0.503530	0.745239	0.030829	False	1307.7680
HAP1_chr01	HAP1_chr13	15	10100854	40253037	27662001	0.174712	0.365153	0.080833	False	5573.6314
HAP1_chr01	HAP1_chr13	17	6306063	51206688	33110717	0.080835	0.190454	0.111761	False	13749.7502
