chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.009863	chr05	0.048180	-20.434	0	4.56
chr02	2	0.012761	chr03	0.047344	-20.686	0	3.98
chr03	2	0.011032	chr02	0.047344	-20.686	0	3.98
chr04	2	0.017096	chr10	0.049497	-20.035	0	3.45
chr05	2	0.011272	chr01	0.048180	-20.434	0	4.56
chr06	2	0.014542	chr09	0.049897	-19.914	0	3.29
chr07	2	0.013167	chr08	0.051769	-19.348	0	3.29
chr08	2	0.018266	chr07	0.051769	-19.348	0	3.29
chr09	2	0.015834	chr06	0.049897	-19.914	0	3.29
chr10	2	0.011629	chr04	0.049497	-20.035	0	3.45
chr11	2	0.016573	chr15	0.052602	-19.096	0	3.24
chr12	2	0.010687	chr13	0.051898	-19.309	0	3.50
chr13	2	0.018965	chr12	0.051898	-19.309	0	3.50
chr14	2	0.013714	chr17	0.054208	-18.610	0	3.61
chr15	2	0.015887	chr11	0.052602	-19.096	0	3.24
chr16	2	0.015272	chr18	0.052700	-19.067	0	3.57
chr17	2	0.016330	chr14	0.054208	-18.610	0	3.61
chr18	2	0.014236	chr16	0.052700	-19.067	0	3.57
