species	scientific_name	literature_ploidy_level	literature_chrom_number	cytotype_matches_assembly	literature_origin	confidence	key_citations	our_data	notes
daGleHede1	Glechoma hederacea	polyploid (level unspecified)		yes	allo	high (direct domain knowledge)	user-provided	2 copies; 100% ancient-paired (18/18) ratio~4x; te_marker_fraction 0.11-0.42 mean 0.22	Primary allo calibration anchor used throughout this project.
daEupConf1	Euphrasia confusa	unspecified		n/a	allo	medium (pre-existing user annotation in meta.tsv, not independently sourced)	user annotation (meta.tsv)	1 usable haplotype (alt assembly too fragmentary); 100% ancient-paired (22/22) within that one haplotype at real signal strength (~0.057 dist)	meta.tsv already tagged this "very small alt; allo" before this analysis; ancient-pairing signal is corroborating, not independent confirmation.
daGalBore1	Galium boreale	tetraploid 2n=44 (Eurasian taxon); hexaploid 2n=66 in the American-Asiatic taxon (sometimes split as G. septentrionale), part of a wider 2n=22/44/66(+) polyploid complex	2n=44 (n=11)	yes (our assembly: 4 copies, 11 chromosome numbers)	unresolved -- literature is cytology-only (chromosome counts, pollen-size/ploidy correlation), none address auto vs allo directly	high for ploidy level, none for origin	Love & Love 1954; Kliphuis 1973/1986; Schanzer & Elkordy 2014; Natali, Manen & Ehrendorfer 1995 (Rubieae phylogeny); Zonneveld 2019	4 copies; 36% ancient-paired (4/11) ratio~4x; te_marker_fraction mean 0.129	Ploidy level cross-checked and matches our auto-detected structure exactly. Natali et al. 1995 places G. boreale in a "polymorphic Northern Hemisphere polyploid complex" with reticulate evolution "not fully resolved by chloroplast sequences" -- suggestive of hybridization involvement but not a direct origin call. Kliphuis 1973 also documents a real reproductive barrier (failed crosses) between the tetraploid and hexaploid cytotypes. Origin (auto vs allo) for the tetraploid cytotype itself remains genuinely unaddressed.
daBudDavi1	Buddleja davidii	tetraploid 2n=76	2n=76 (x=19)	yes (4 copies, 19 chromosome numbers)	allo	medium-high (phylogenomic evidence, not just karyotype)	Yang et al. 2023, Annals of Botany (ASTRAL/PhyloNet)	4 copies; 0% ancient-paired; te_marker_fraction mean 0.167	Best-evidenced allo call in the panel besides daGleHede1/wheat -- based on species-tree + network inference, not chromosome counting alone. Yang et al. 2023 documents a specific, directly relevant cytonuclear conflict for this exact species: B. davidii clusters with 5 other polyploid taxa in the ASTRAL/nrDNA trees, but nests with DIPLOID species in the plastid tree. That conflict plausibly explains why our own raw-sequence signal (0 accepted pairs, low te_frac, low partition_consistency 0.26) reads auto/diploid-like -- a k-mer method comparing bulk/maternal-lineage-influenced sequence content may simply see the plastid-like (diploid-nested) side of a documented conflict, not evidence against the allo call itself. Reframed from "unexplained tension" to "independently corroborated complexity."
ddEmpNigr1	Empetrum nigrum	two cytotypes: diploid E. nigrum s.str. (2n=26) vs tetraploid E. hermaphroditum (2n=52); our assembly (4 copies, n=13) matches the tetraploid	2n=52 (n=13)	yes, if sampled individual is the hermaphroditum/tetraploid cytotype	auto	medium-high	Faegri 1937 (explicit); Meirmans & Kolar 2025 PNAS (uses this species pair as a clean autopolyploid model specifically because it is not confounded by hybridization)	4 copies; 15% ancient-paired; te_marker_fraction mean 0.239	Best autopolyploid literature support found -- but te_marker_fraction (0.239) is essentially identical to daGleHede1's confirmed ALLO value (0.223). Real, unresolved tension for the method.
ddHypMacu1	Hypericum maculatum	subsp. obtusiusculum tetraploid 2n=32	2n=32 (x=8)	yes, if sampled individual is subsp. obtusiusculum (8 chromosome numbers matches x=8)	auto	high (decades of independent replication, including colchicine-doubling synthesis -- i.e. experimentally recreating it)	Koch et al. 2013; Robson & Adams 1968; Robson 2002	4 copies; 25% ancient-paired; RAW te_marker_fraction mean 0.445 was HAP1-inflated (fragmented assembly, 570 unplaced scaffolds vs 2-3 for HAP3/HAP4) -- corrected value (HAP2/HAP3/HAP4 pairs only) = 0.291	Strongest auto literature support in the panel. Corrected value (0.291) still sits above daGleHede1's confirmed-allo value (0.223) -- tension survives the QC fix, just less dramatically.
ddHypPerf1	Hypericum perforatum	tetraploid 2n=32	2n=32 (x=8)	yes (8 chromosome numbers)	genuinely unresolved/contested in the field -- both hypotheses actively cited in recent sources	n/a -- explicitly disputed	Martonfi 2008; Nurk 2011; Koch et al. 2013; Corral et al. 2011 ("whether it is allo- or autopolyploid remains unclear")	4 copies; 0% ancient-paired; te_marker_fraction mean 0.408	Not usable as a calibration anchor either way. Notably high te_marker_fraction alongside ddHypMacu1 -- possible genus-level (Hypericum) TE-activity effect on this metric, not yet checked for an assembly-quality confound the way ddHypMacu1 was.
drAriEdul1	Aria edulis	diploid 2n=34 per modern (flow cytometry) sources -- CONTRADICTS our assembly's 4-copy structure	2n=34 (x=17); base number matches our 17 chromosome numbers exactly, only the copy count disagrees	no -- genuine ploidy mismatch	n/a for true diploid A. edulis; if our sample is actually a tetraploid relative (cf. newly-described A. wyensis), allo per that source (Green 2024's own hypothesis: A. wyensis probably derived indirectly from a cross between diploid A. edulis and a member of the A. porrigentiformis group -- an allotetraploid origin if that hypothesis holds)	low -- identification/cytotype mismatch unresolved	Green 2024 (A. wyensis); Andersen et al. 2024; Kelly & Hanley 2020; King et al. 2023; Pellicer et al. 2012 Annals of Botany (Sorbus cytotype survey); Dickinson 2018 Taxon	4 copies; 94% ancient-paired (16/17); te_marker_fraction mean 0.219	Checked for the same assembly-quality confound as ddHypMacu1: HAP1/HAP2 are more fragmented than HAP3/HAP4 (89 vs 2 unplaced) but this does NOT inflate te_marker_fraction (0.209 vs 0.270, if anything reversed) -- no correction needed. Sampled individual likely isn't "true" diploid A. edulis. Pellicer et al. 2012 directly supports the plausibility of this: of specimens collected as "S. aria", 14 were found to actually be triploid, not diploid -- misidentification under this name-group is common and documented. Dickinson 2018 notes the Aria complex contains BOTH allotetraploid AND at least two confirmed autotetraploid species, so origin still depends on resolving exact species identity first -- can't be inferred from genus membership alone.
drLytSali1	Lythrum salicaria	autotetraploid with tetrasomic inheritance	unspecified		auto	medium (user-stated; not independently source-verified this session)	user-provided, not yet formally cited	4 copies; 67% ancient-paired (10/15); te_marker_fraction mean 0.307 median 0.271	Originating puzzle for this whole investigation: does NOT show the expected low/auto te_marker_fraction signature -- HIGHER than daGleHede1's confirmed allo value. Whole-genome bulk distance is clean and uniform across all 15 chromosomes (~0.02-0.03) after the chrom-labeling fix, consistent with tetrasomic inheritance at the bulk-divergence level even though the TE-marker signal disagrees. Unresolved.
drTriRepe1	Trifolium repens	allotetraploid 2n=4x=32	2n=32	yes	allo	high -- extensively confirmed across at least 9 independent studies (GISH, ITS/cpDNA phylogenetics, chromosome-level genome assembly, gene-cluster mapping)	Griffiths et al. 2019 Plant Cell; Williams et al. 2012 BMC Plant Biol; Santangelo et al. 2023 Genome Biol & Evol; Kuo et al. 2024 BMC Biology; Olsen et al. 2021 New Phytologist; Abberton 2007; Ansari et al. 1999 Annals of Botany; Ullah et al. 2022 Frontiers; Ellison et al. 2006	2 copies; 100% ancient-paired (16/16); te_marker_fraction mean 0.169	Now one of the best-evidenced allo calls in the entire panel, on par with daGleHede1/wheat. Diploid progenitors identified as T. occidentale and T. pallescens (maternal, per cpDNA/GISH) -- one older source (Abberton 2007) instead suggests T. nigrescens + T. occidentale, but the occidentale+pallescens pairing is the consensus across the majority of sources including the 2023 chromosome-level genome assembly, which used both progenitors' genomes directly to assign subgenome identity. Upgraded from "low, unverified" -- this is now settled.
daSonOler1	Sonchus oleraceus	not formally verified this session; general recollection of 2n=18 (n=9) flagged as uncertain, conflicts with our n=16	uncertain, possible discrepancy		n/a (appears diploid from our own data)	high for "not polyploid" (from our own structural + distance evidence, not external literature)	none formally checked	2 copies; 0% ancient-paired; whole-genome distance 0.00007 (near-zero); te_marker_fraction mean 0.039	Clean diploid signature by every internal metric. Chromosome-count discrepancy with commonly-cited literature value not resolved.
ddMalSylv1	Malva sylvestris	"dead diploid" per user		yes (matches our 2-copy structure)	n/a (diploid)	high (user + our own structural data)	user-provided	2 copies; 0% ancient-paired; te_marker_fraction mean 0.135	Diploid floor reference alongside daSonOler1.
daInuConz1	Inula conyza	not externally checked		n/a	n/a (appears diploid from our own data)	medium (internal data only)	none	2 copies; 0% ancient-paired; te_marker_fraction mean 0.017	One of the lowest te_marker_fraction values in the panel -- de facto low/diploid floor reference.
dcHonPepl1	Honckenya peploides	not externally checked		n/a	n/a	medium (internal data only)	none	2 copies; 0% ancient-paired at FDR significance, but real sub-threshold candidates exist (chr07xchr10 z=-3.22); te_marker_fraction mean 0.028	Low te_marker_fraction despite the sub-threshold ancient signal -- worth another look if the ancient-pairing question is revisited.
dcCerAlpi1	Cerastium alpinum	not externally checked		n/a	n/a	medium (internal data only)	none	2 copies; 0% ancient-paired; te_marker_fraction mean 0.198	
llColAutu1	Colchicum autumnale	tetraploid, 2n=4x=36 (x=9), part of a Central/South European polyploid complex; genus-wide, Colchicum ranges from tetraploid to 24-ploid with ~75% of species polyploid	2n=36	yes (our assembly: 2 copies -- consistent with a tetraploid represented at haplotype-pair resolution)	explicitly unresolved -- the most authoritative source found states directly that "the extent to which past allopolyploidy or autopolyploidy explains the lability of Colchicum chromosome numbers remains an open question, as there are no experimental crosses or other studies addressing hybridization" (Chacon & Renner 2014)	medium for ploidy level, explicitly none for origin (stated as an open question in the primary source, not just unchecked)	Persson et al. 2011 Taxon; Fridlender et al. 2002 Plant Cell Reports; Chacon, Cusimano & Renner 2014 Systematic Botany; Feinbrun 1958 Evolution; Nordenstam 1998; D'Amato 1957	2 copies; 94% ancient-paired (48/51) at extreme ratios (median ~568x); te_marker_fraction mean 0.050	Deepest, cleanest ancient-duplication signal in the panel, but oddly low te_marker_fraction -- Chacon et al. 2014 offers a genuine explanation: they infer frequent "demi-duplication" (fusion of gametes of different ploidy) as the dominant karyotype-evolution mechanism in Colchicum specifically, a real, documented THIRD pathway distinct from both classic auto- and allopolyploidy. Demi-duplication would be expected to produce strong copy-number/structural signal (consistent with our 48/51 pairing) without necessarily merging two long-diverged genomes (consistent with our low te_frac) -- a plausible mechanistic explanation for the internal inconsistency, not just noise. Feinbrun 1958 speculates polyploids in this section are "presumably allopolyploids" but this is not experimentally supported per the more rigorous 2014 review.
ddAraThal4	Arabidopsis thaliana	diploid 2n=10	2n=10 (x=5)	yes (our assembly: 1 copy, 5 chromosome numbers)	auto (true diploid, not a polyploid)	high (well-established reference genome species)	Arabidopsis Genome Initiative 2000	1 copy (alt haplotype assembly entirely below min-len -- self-fertilizing, low heterozygosity); no significant ancient-homeolog pairs (best q~0.30, 5 chromosomes/10 pairs gives little power); windowed empty (needs >=2 copies)	First confirmed-diploid anchor for the panel (all other species processed so far are polyploid). Run to sanity-check the pipeline on a genuinely simple genome, not to detect the At-alpha WGD -- chromosome-scale k-mer divergence has essentially no power to see a gene-level, ~40My-rediploidized WGD signal like At-alpha; absence of a hit here is expected, not a null result about the method.
ddLepDrab1	Lepidium draba	polyploid series, base x=8: octoploid in Europe (2n=64), hexaploid-decaploid in western Asia; also cited as n=16,32	2n=64 (octoploid, Europe)	our assembly: 4 copies, 8 chromosome numbers -- consistent with a tetraploid REPRESENTATION of a species whose Europe-wide cytotype may be higher (octoploid); partial/uncertain match, cytotype of the specific sequenced individual not confirmed	allo-leaning at the tribe level (Lepidieae, which contains L. draba, is described as falling within the "hybrid or highly polyploid classes"; tribe-wide pattern attributed to "rampant hybridization" that "often precedes allopolyploidization"), but no experimentally-confirmed origin statement specific to L. draba itself	medium -- tribe/genus-level pattern is strong and consistent, but not a direct species-specific confirmation	Walden, Kiefer & Koch 2026 Systematic Biology; Kagale et al. 2014 Plant Cell ("Lepidium event" WGD shared by L. densiflorum/meyenii/sativum); Francis & Warwick 2008 (chromosome counts); Hendriks et al. 2023 Current Biology (Brassicaceae 1000-gene phylogeny)	4 copies; 8 chromosome numbers, 16/16 fully paired (8/8 pairs); partition_consistency 0.94, NOT explained by the routine HAP1/2-vs-HAP3/4 assembly-completeness artifact (see auto_allo_spectrum.tsv)	The panel's best current candidate for genuine allo-like structural stability, and this lit search independently corroborates it: Lepidieae is specifically flagged as hybridization-driven and allopolyploidy-prone at the tribe level. Not yet a species-specific confirmed call, but the strongest circumstantial support in this batch.
drSorDevo1	Sorbus devoniensis	tetraploid, 2n=4x=68 (x=17)	2n=68	yes (our assembly: 2 copies, 34 chromosome numbers)	allo -- hybridogenic, formed via a triploid-bridge mechanism from S. torminalis (sexual diploid, confirmed MATERNAL parent via chloroplast/microsatellite data) x members of subgenus Aria/S. aria s.l. (paternal, pollen donor)	high -- extensively confirmed across many independent studies using chloroplast DNA, microsatellites, and peroxidase isozyme banding	Hamston 2017 (thesis); Chester et al. 2007 Bot J Linn Soc; Hamston et al. 2018 Frontiers in Plant Science; Sell 1989 Watsonia; Fay et al. 2022 Curtis's Bot Mag; Hamston, Pellicer & Fay 2015 New J Botany; Proctor, Proctor & Groenhof 1989 New Phytologist	2 copies; 34/34 chromosomes fully paired (17/17 pairs) -- the strongest complete-pairing signal in the whole panel	One of the best-evidenced allo calls found in this literature pass, on par with drTriRepe1. Proctor et al. 1989 gives especially direct evidence: S. devoniensis's peroxidase phenotype combines bands found in BOTH S. aria and S. torminalis, directly confirming a hybrid genomic composition. Matches our own strongest complete-pairing result extremely well.
daSenVulg1	Senecio vulgaris	tetraploid, 2n=40	2n=40	yes (our assembly: 2 copies, 20 chromosome numbers)	genuinely contested historically, but more recent molecular evidence leans allotetraploid; older autotetraploid-from-S.-vernalis hypothesis (Kadereit 1984) was specifically tested and refuted by later isozyme work	medium -- actively debated in the literature across decades, no fully settled consensus on exact parentage, but recent evidence leans allo	Kadereit 1984 Plant Syst Evol (proposes auto, from S. vernalis); Harris & Ingram 1992 Heredity (no definitive evidence either way); Ashton & Abbott 1992 Plant Syst Evol (isozyme evidence refutes the S.-vernalis-autotetraploid hypothesis, favors allo); Kim et al. 2008 Science (states allotetraploid, hybridization with S. squalidus + unknown parent); Chapman & Abbott 2010 New Phytologist (RAY2b homeolog evidence for allotetraploidy); Abbott & Lowe 2004 Biol J Linn Soc (frames as an explicitly unresolved auto-vs-allo question as of that paper)	2 copies; 16/20 chromosomes paired (8/8 pairs); uniform divergence ~0.06-0.07 across all pairs -- consistent single-age signature	Directly relevant because S. vulgaris is the known tetraploid parent of the allohexaploid S. cambrensis (via hybridization with diploid S. squalidus) -- well-studied for THAT reason, but S. vulgaris's OWN origin is the less-settled, older question. Weight of more recent molecular evidence (RAY2b homeolog, Science 2008 paper) leans allo; our own uniform, single-age pairing signal is consistent with that read.
daPilAura1	Pilosella aurantiaca	tetraploid, 2n=36 (also pentaploid 2n=45 and rare heptaploid cytotypes reported), facultatively apomictic (apospory)	2n=36	yes (our assembly: 2 copies, 18 chromosome numbers)	suggestive of hybrid origin at the genus level ("extensive reticulate evolution and common polyploidy, often of hybrid origin" -- Majeskyet al. 2017) and P. aurantiaca is documented as a PARENT of further allopolyploid hybrids (e.g. P. rubra, ~4 sets P. aurantiaca + 2 sets P. officinarum), but no source found directly confirms P. aurantiaca's OWN origin as opposed to its role in producing hybrid derivatives	low-medium -- suggestive, not a direct confirmation for the base taxon itself	Krahulcova, Krahulec & Rosenbaumova 2011 Sexual Plant Reprod; Krahulcova, Raabe & Krahulec 2012 Kochia; Okada et al. 2011 Plant Cell Physiol; Krahulcova, Rotreklova & Krahulec 2014 Folia Geobot; Gloríková 2025 (thesis); Krahulec et al. 2011 Preslia; Majesky, Krahulec & Vasut 2017 Taxon	2 copies; 18/18 chromosomes fully paired (9/9 pairs), tight/consistent divergence 0.031-0.044 -- single-age WGD signature	Ploidy level (tetraploid, 2n=36) and reproductive mode (facultative apomixis) are very well documented, but none of the extensive Pilosella/Hieracium literature found directly addresses whether P. aurantiaca's OWN tetraploidy is auto or allo in origin -- it's mostly discussed as a hybridizing PARENT of further crosses. Origin remains open despite the volume of literature on the genus.
drMyrSpic1	Myriophyllum spicatum	allohexaploid, AABBCC (three subgenomes), stepwise (AB)C origin -- an A-B allopolyploid lineage formed first, then hybridized with a more divergent C-like lineage	2n=42 (x=7)	yes (our assembly: 2 copies, 21 chromosome numbers)	allo -- directly confirmed via chromosome-scale genome assembly	high -- confirmed by a 2026 chromosome-scale genome assembly, corroborated by independent gene-sequence-typing (G3pdh) studies showing three distinct sequence types per individual	Wang et al. 2026 The Plant Journal (chromosome-scale genome, AABBCC); Lu et al. 2017 Aquatic Botany (G3pdh evidence); Pashnick 2021 (thesis, disomic inheritance confirmed by GBS); Hannay et al. 2026 Evolutionary Applications; Volkova, Ivanova & Bobrov 2024 Aquatic Botany	2 copies; 16/21 chromosomes paired (8 pairs); bimodal divergence -- 7 tight pairs (0.057-0.061) + 1 much weaker pair (0.128)	One of the strongest, most direct allo confirmations found in this whole literature pass -- comparable in quality to daGleHede1/wheat/drTriRepe1/drSorDevo1. The documented stepwise (AB)C origin maps remarkably well onto our own bimodal divergence pattern: the 7 tight pairs plausibly reflect the older/tighter A-B split, and the 1 weaker pair the more divergent C-lineage joining later. An older source (Moody & Les 2010) suggested a potential autopolyploid history from nrDNA/cpDNA congruence, but this is superseded by the 2026 genome-level confirmation.
drMyrVert1	Myriophyllum verticillatum	tetraploid, 2n=28 (x=7) reported, though even the tetraploid classification itself was historically disputed (one source explicitly rejected interpreting it as part of a polyploid series)	2n=28	yes (our assembly: 2 copies, 14 chromosome numbers), though ploidy level itself has some historical uncertainty	unresolved -- this species is used almost exclusively as an OUTGROUP in phylogenetic studies of M. spicatum/M. sibiricum; no source found addresses its own origin	low for origin, medium for ploidy level	Lukosiunas 2024 (thesis); Lu et al. 2017 Aquatic Botany (used only as outgroup); Aiken 1981 Brittonia (dismisses a polyploid-series interpretation); Kavova 2019 (thesis, "probably represented only by cytotype 2n=28")	2 copies; 14/14 chromosomes fully paired (7/7 pairs) -- fully resolved, no unpaired chromosomes	Unlike its close relative M. spicatum (see drMyrSpic1, now a strong confirmed-allo case), M. verticillatum's own polyploid origin has never been directly studied -- it only appears as a comparison/outgroup taxon. Our own full-pairing result is a genuinely new data point for a species literature hasn't addressed.
drRosSpin1	Rosa spinosissima	CONTESTED: majority of older cytogenetic/phylogenomic literature reports allotetraploid, 2n=4x=28 (x=7); but a 2026 chromosome-level genome paper reports DIPLOID, 2n=14	2n=14 (2026 genome paper) vs 2n=28 (majority of older sources) -- direct contradiction	our assembly: 14 chromosome numbers x 2 haplotype copies each, all 14 fully paired into 7 ancient-homeolog groups -- structurally consistent with the OLDER tetraploid reading (x=7 base, the 14 numbered loci being 2 ancient-duplicate copies of 7 true ancestral chromosomes), NOT obviously consistent with a simple diploid (2n=14, 7 unpaired chromosomes) individual	allo-leaning per most sources (phylogenomic hybrid signal, isozyme data, rDNA loci pattern) IF the tetraploid reading is correct; the 2026 genome paper reporting diploid does not address auto/allo since it argues the species isn't polyploid at all	low -- genuinely unresolved, direct contradiction between recent genomic and older cytogenetic evidence, similar in kind to the drAriEdul1 identity issue	Debray et al. 2022 Systematic Biology (50-50 intersectional hybrid, phylogenomics); Mayland-Quellhorst et al. 2021 Nordic J Botany (allopolyploid, 2n=4x=28, citing Fougere-Danezan et al. 2014); Wissemann & Ritz 2005 Bot J Linn Soc (isozyme evidence); Vozarova 2023 (thesis, rDNA loci); Roberts 1977 Bot J Linn Soc (meiosis ambiguous between allo/auto-then-stabilized); Ruhsam et al. 2026 Wellcome Open Research (genome paper, reports diploid 2n=14)	14 chromosome numbers, 2 copies each, 14/14 fully paired (7/7 pairs); te_marker_fraction mean 0.122	IMPORTANT, worth flagging prominently: this is a genuine, recent (2026) contradiction in the literature about this species' basic ploidy level, not just its origin. Our own structural result (14 loci, all cleanly paired into 7 ancient-duplicate groups) reads as more consistent with the older tetraploid consensus than with the new diploid claim -- but this needs direct reconciliation (e.g. checking whether the Darwin ToL sequenced individual is the same one behind the 2026 genome paper) before trusting either the ploidy level or the allo call for this species.
ddSalPent1	Salix pentandra	polyploid group ("C5"/section Pentandrae) hypothesized to have arisen from allopolyploid offspring via crosses between the Salix and Vetrix clades	not directly stated	not directly stated	allo -- suggested, hedged ("might have arisen")	medium -- phylogenomic tree-conflict + admixture evidence, but explicitly hedged in the source	Gulyaev et al. 2022 Annals of Botany (whole-genome resequencing phylogeny)	2 copies; 38/38 chromosomes fully paired (19/19 pairs) -- the largest complete-pairing count in the panel	Nuclear/chloroplast tree conflict for the group containing S. pentandra, further supported by admixture analysis of nuclear data -- genuine phylogenomic evidence for hybrid origin, though the source hedges with "might have." Consistent with our own complete, allo-leaning pairing signal.
ddSalTria1	Salix triandra	historically reported as DIPLOID (haploid n=19 or n=22, two forms) -- CONTRADICTS our assembly's triploid (3-copy) structure	haploid n=19 or n=22 (diploid) per a 1924 source -- no modern triploid count found	no -- direct conflict with our assembly's triploid structure; no modern source found addressing this specific discrepancy	no information found on auto/allo origin either way	low -- only a single, very old (1924) cytological source found, and it conflicts with our own structural finding	Blackburn & Harrison 1924 Annals of Botany	3 copies (triploid); 4/19 chromosomes paired (2/19 pairs) -- sparse, singleton explained by the routine HAP1/2-vs-HAP3/4 assembly-completeness pattern	Worth treating our own "triploid" structural call with some caution: the only literature found for this species reports diploid chromosome counts, with no mention of a triploid cytotype. Either modern populations/cultivars differ from the 1924-studied material, or the 3-haplotype-copy structure recovered by AUTO-detection in this assembly reflects something other than true biological triploidy (e.g. a labeling/assembly artifact) -- unresolved, worth a second look at the raw manifest/header parsing for this species specifically.
