species	k	group_sizes	separation_ratio	null_mean_ratio	z_score	groups
daEupConf1	11	2,2,2,2,2,2,2,2,2,2,2	1.6425	0.9999	19.16	chr01,chr03 | chr02,chr05 | chr04,chr13 | chr06,chr07 | chr08,chr14 | chr09,chr17 | chr10,chr12 | chr11,chr16 | chr15,chr19 | chr18,chr21 | chr20,chr22
daEupConf1	10	2,2,2,2,2,2,2,2,2,4	1.4501	1.0038	14.17	chr01,chr03 | chr02,chr05,chr11,chr16 | chr04,chr13 | chr06,chr07 | chr08,chr14 | chr09,chr17 | chr10,chr12 | chr15,chr19 | chr18,chr21 | chr20,chr22
daEupConf1	9	2,2,2,2,2,2,2,2,6	1.2945	1.0026	11.50	chr01,chr03 | chr02,chr05,chr11,chr16,chr06,chr07 | chr04,chr13 | chr08,chr14 | chr09,chr17 | chr10,chr12 | chr15,chr19 | chr18,chr21 | chr20,chr22
daEupConf1	8	2,2,2,2,2,2,2,8	1.2080	1.0016	9.61	chr01,chr03 | chr02,chr05,chr11,chr16,chr06,chr07,chr15,chr19 | chr04,chr13 | chr08,chr14 | chr09,chr17 | chr10,chr12 | chr18,chr21 | chr20,chr22
daEupConf1	7	2,2,2,2,2,2,10	1.1527	1.0003	8.90	chr01,chr03 | chr02,chr05,chr11,chr16,chr06,chr07,chr15,chr19,chr04,chr13 | chr08,chr14 | chr09,chr17 | chr10,chr12 | chr18,chr21 | chr20,chr22
daEupConf1	6	2,2,2,2,2,12	1.1163	1.0005	6.76	chr01,chr03 | chr02,chr05,chr11,chr16,chr06,chr07,chr15,chr19,chr04,chr13,chr08,chr14 | chr09,chr17 | chr10,chr12 | chr18,chr21 | chr20,chr22
daEupConf1	5	2,2,2,2,14	1.0935	0.9995	6.51	chr01,chr03 | chr02,chr05,chr11,chr16,chr06,chr07,chr15,chr19,chr04,chr13,chr08,chr14,chr09,chr17 | chr10,chr12 | chr18,chr21 | chr20,chr22
daEupConf1	4	2,2,2,16	1.0794	0.9996	5.23	chr01,chr03 | chr02,chr05,chr11,chr16,chr06,chr07,chr15,chr19,chr04,chr13,chr08,chr14,chr09,chr17,chr18,chr21 | chr10,chr12 | chr20,chr22
daEupConf1	3	2,2,18	1.0713	1.0006	4.36	chr01,chr03 | chr02,chr05,chr11,chr16,chr06,chr07,chr15,chr19,chr04,chr13,chr08,chr14,chr09,chr17,chr18,chr21,chr10,chr12 | chr20,chr22
daEupConf1	2	2,20	1.0656	1.0001	3.19	chr01,chr03 | chr02,chr05,chr11,chr16,chr06,chr07,chr15,chr19,chr04,chr13,chr08,chr14,chr09,chr17,chr18,chr21,chr10,chr12,chr20,chr22
daGleHede1	9	2,2,2,2,2,2,2,2,2	2.2689	1.0077	21.59	chr01,chr05 | chr02,chr03 | chr04,chr10 | chr06,chr09 | chr07,chr08 | chr11,chr15 | chr12,chr13 | chr14,chr17 | chr16,chr18
daGleHede1	8	2,2,2,2,2,2,2,4	1.6697	1.0007	16.03	chr01,chr05 | chr02,chr03 | chr04,chr10 | chr06,chr09,chr07,chr08 | chr11,chr15 | chr12,chr13 | chr14,chr17 | chr16,chr18
