,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15
HAP1_chr01,0.000000,0.114763,0.116622,0.106415,0.086729,0.149958,0.111313,0.113220,0.157941,0.122008,0.150907,0.158651,0.156590,0.164936,0.167848
HAP1_chr02,0.114763,0.000000,0.123575,0.118003,0.158871,0.159136,0.122241,0.123235,0.163892,0.129156,0.159024,0.077949,0.145517,0.170185,0.113461
HAP1_chr03,0.116622,0.123575,0.000000,0.119045,0.159450,0.158902,0.123437,0.124167,0.165478,0.129913,0.159227,0.146816,0.088830,0.170702,0.091726
HAP1_chr04,0.106415,0.118003,0.119045,0.000000,0.150679,0.152134,0.114637,0.116555,0.159259,0.122588,0.075300,0.160995,0.158213,0.166108,0.169401
HAP1_chr05,0.086729,0.158871,0.159450,0.150679,0.000000,0.113576,0.155552,0.154781,0.121601,0.163527,0.117430,0.130964,0.119239,0.131342,0.139542
HAP1_chr06,0.149958,0.159136,0.158902,0.152134,0.113576,0.000000,0.154988,0.076206,0.123832,0.162477,0.120155,0.132162,0.122670,0.132367,0.139751
HAP1_chr07,0.111313,0.122241,0.123437,0.114637,0.155552,0.154988,0.000000,0.119805,0.073309,0.126171,0.155925,0.162400,0.160543,0.167976,0.169938
HAP1_chr08,0.113220,0.123235,0.124167,0.116555,0.154781,0.076206,0.119805,0.000000,0.162566,0.127019,0.157132,0.163813,0.160397,0.168350,0.170630
HAP1_chr09,0.157941,0.163892,0.165478,0.159259,0.121601,0.123832,0.073309,0.162566,0.000000,0.167708,0.125847,0.136831,0.128223,0.137530,0.145012
HAP1_chr10,0.122008,0.129156,0.129913,0.122588,0.163527,0.162477,0.126171,0.127019,0.167708,0.000000,0.161847,0.167386,0.167672,0.067949,0.174917
HAP1_chr11,0.150907,0.159024,0.159227,0.075300,0.117430,0.120155,0.155925,0.157132,0.125847,0.161847,0.000000,0.134095,0.124337,0.134334,0.140967
HAP1_chr12,0.158651,0.077949,0.146816,0.160995,0.130964,0.132162,0.162400,0.163813,0.136831,0.167386,0.134095,0.000000,0.136441,0.144141,0.147507
HAP1_chr13,0.156590,0.145517,0.088830,0.158213,0.119239,0.122670,0.160543,0.160397,0.128223,0.167672,0.124337,0.136441,0.000000,0.137962,0.142514
HAP1_chr14,0.164936,0.170185,0.170702,0.166108,0.131342,0.132367,0.167976,0.168350,0.137530,0.067949,0.134334,0.144141,0.137962,0.000000,0.148699
HAP1_chr15,0.167848,0.113461,0.091726,0.169401,0.139542,0.139751,0.169938,0.170630,0.145012,0.174917,0.140967,0.147507,0.142514,0.148699,0.000000
