unit_a	unit_b	k_sweep	chosen_k	kmers_a	kmers_b	shared	union	jaccard_at_chosen_k	containment_at_chosen_k	distance	containment_p	resolution_limited	k_consistency_spread
HAP1_chr01	HAP1_chr02	11,13,15,17,19,23	23	50390909	30837814	2052576	79176147	0.025924	0.066560	0.129784	0.111136	False	0.109247
HAP1_chr01	HAP1_chr03	11,13,15,17,19,23	23	50390909	32401922	2164245	80628586	0.026842	0.066794	0.128310	0.111000	False	0.108731
HAP1_chr01	HAP1_chr04	11,13,15,17,19,23	23	50390909	33117341	2100231	81408019	0.025799	0.063418	0.129989	0.113003	False	0.111348
HAP1_chr01	HAP1_chr05	11,13,15,17,19,23	23	50390909	31527697	2184116	79734490	0.027392	0.069276	0.127451	0.109589	False	0.108373
HAP1_chr01	HAP1_chr06	11,13,15,17,19,23	23	50390909	32497306	2215997	80672218	0.027469	0.068190	0.127332	0.110200	False	0.108053
HAP1_chr01	HAP1_chr07	11,13,15,17,19,23	23	50390909	31062918	2100867	79352960	0.026475	0.067633	0.128893	0.110518	False	0.109064
HAP1_chr01	HAP1_chr08	11,13,15,17,19,23	23	50390909	30942450	1863663	79469696	0.023451	0.060230	0.134038	0.114990	False	0.112938
HAP1_chr01	HAP2_chr01	11,13,15,17,19,23	23	50390909	50466827	28188454	72669282	0.387901	0.559396	0.025289	0.024940	False	0.015389
HAP1_chr01	HAP2_chr02	11,13,15,17,19,23	23	50390909	26403809	1822691	74972027	0.024312	0.069031	0.132508	0.109726	False	0.110039
HAP1_chr01	HAP2_chr03	11,13,15,17,19,23	23	50390909	32640066	2188721	80842254	0.027074	0.067056	0.127946	0.110849	False	0.108462
HAP1_chr01	HAP2_chr04	11,13,15,17,19,23	23	50390909	32982127	1999569	81373467	0.024573	0.060626	0.132054	0.114737	False	0.112977
HAP1_chr01	HAP2_chr05	11,13,15,17,19,23	23	50390909	30466851	2044891	78812869	0.025946	0.067119	0.129748	0.110813	False	0.110054
HAP1_chr01	HAP2_chr06	11,13,15,17,19,23	23	50390909	32232078	2252834	80370153	0.028031	0.069894	0.126476	0.109245	False	0.107262
HAP1_chr01	HAP2_chr07	11,13,15,17,19,23	23	50390909	29835669	1883165	78343413	0.024037	0.063118	0.132989	0.113186	False	0.112281
HAP1_chr01	HAP2_chr08	11,13,15,17,19,23	23	50390909	31319940	2164233	79546616	0.027207	0.069101	0.127738	0.109687	False	0.107750
HAP1_chr01	HAP3_chr01	11,13,15,17,19,23	23	50390909	49725198	21696166	78419941	0.276666	0.436321	0.036350	0.035417	False	0.023502
HAP1_chr01	HAP3_chr02	11,13,15,17,19,23	23	50390909	28276876	2079798	76587987	0.027156	0.073551	0.127818	0.107268	False	0.106778
HAP1_chr01	HAP3_chr03	11,13,15,17,19,23	23	50390909	32812309	2247980	80955238	0.027768	0.068510	0.126874	0.110019	False	0.107441
HAP1_chr01	HAP3_chr04	11,13,15,17,19,23	23	50390909	33669960	2186847	81874022	0.026710	0.064949	0.128519	0.112082	False	0.110051
HAP1_chr01	HAP3_chr05	11,13,15,17,19,23	23	50390909	31628215	2156576	79862548	0.027004	0.068185	0.128056	0.110203	False	0.108786
HAP1_chr01	HAP3_chr06	11,13,15,17,19,23	23	50390909	32426841	2233690	80584060	0.027719	0.068884	0.126950	0.109809	False	0.107672
HAP1_chr01	HAP3_chr07	11,13,15,17,19,23	23	50390909	30111257	2052280	78449886	0.026160	0.068157	0.129399	0.110219	False	0.109302
HAP1_chr01	HAP3_chr08	11,13,15,17,19,23	23	50390909	30067910	2154385	78304434	0.027513	0.071651	0.127265	0.108283	False	0.106865
