,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19
HAP1_chr01,0.000000,0.146243,0.151318,0.154325,0.155786,0.152961,0.148518,0.143723,0.147056,0.174814,0.147949,0.154058,0.151164,0.157670,0.157816,0.157896,0.157586,0.160316,0.167192
HAP1_chr02,0.146243,0.000000,0.151204,0.142701,0.153328,0.147016,0.145443,0.150266,0.145095,0.168382,0.139118,0.146549,0.143272,0.149233,0.150963,0.148600,0.149236,0.149682,0.166737
HAP1_chr03,0.151318,0.151204,0.000000,0.159815,0.158827,0.157433,0.153292,0.156925,0.153509,0.176285,0.149063,0.154638,0.152361,0.157619,0.147898,0.157247,0.146685,0.159496,0.171997
HAP1_chr04,0.154325,0.142701,0.159815,0.000000,0.150940,0.158877,0.154984,0.160020,0.155026,0.172367,0.152379,0.155039,0.154398,0.158737,0.160355,0.158588,0.159457,0.159468,0.172380
HAP1_chr05,0.155786,0.153328,0.158827,0.150940,0.000000,0.158528,0.154848,0.158597,0.155091,0.174530,0.151903,0.151561,0.155478,0.149058,0.158472,0.157217,0.158518,0.159607,0.172443
HAP1_chr06,0.152961,0.147016,0.157433,0.158877,0.158528,0.000000,0.152554,0.154674,0.150448,0.146189,0.145730,0.152350,0.150218,0.153436,0.155526,0.154313,0.155270,0.155875,0.168769
HAP1_chr07,0.148518,0.145443,0.153292,0.154984,0.154848,0.152554,0.000000,0.151725,0.144133,0.168477,0.143685,0.147961,0.143260,0.152360,0.152777,0.151962,0.151886,0.155500,0.158922
HAP1_chr08,0.143723,0.150266,0.156925,0.160020,0.158597,0.154674,0.151725,0.000000,0.152654,0.172951,0.147666,0.152878,0.151667,0.154898,0.155781,0.156332,0.155049,0.157630,0.169216
HAP1_chr09,0.147056,0.145095,0.153509,0.155026,0.155091,0.150448,0.144133,0.152654,0.000000,0.166510,0.138757,0.148211,0.144017,0.148549,0.150230,0.150130,0.149932,0.152408,0.164441
HAP1_chr10,0.174814,0.168382,0.176285,0.172367,0.174530,0.146189,0.168477,0.172951,0.166510,0.000000,0.163145,0.169001,0.166719,0.169446,0.172668,0.172161,0.167939,0.170162,0.179122
HAP1_chr11,0.147949,0.139118,0.149063,0.152379,0.151903,0.145730,0.143685,0.147666,0.138757,0.163145,0.000000,0.135220,0.138714,0.144861,0.146995,0.145107,0.145150,0.146611,0.161594
HAP1_chr12,0.154058,0.146549,0.154638,0.155039,0.151561,0.152350,0.147961,0.152878,0.148211,0.169001,0.135220,0.000000,0.145938,0.150862,0.151836,0.149692,0.149738,0.152132,0.167561
HAP1_chr13,0.151164,0.143272,0.152361,0.154398,0.155478,0.150218,0.143260,0.151667,0.144017,0.166719,0.138714,0.145938,0.000000,0.143910,0.149370,0.147421,0.148221,0.149592,0.162601
HAP1_chr14,0.157670,0.149233,0.157619,0.158737,0.149058,0.153436,0.152360,0.154898,0.148549,0.169446,0.144861,0.150862,0.143910,0.000000,0.152796,0.150256,0.150278,0.154179,0.165363
HAP1_chr15,0.157816,0.150963,0.147898,0.160355,0.158472,0.155526,0.152777,0.155781,0.150230,0.172668,0.146995,0.151836,0.149370,0.152796,0.000000,0.153855,0.153938,0.156424,0.167515
HAP1_chr16,0.157896,0.148600,0.157247,0.158588,0.157217,0.154313,0.151962,0.156332,0.150130,0.172161,0.145107,0.149692,0.147421,0.150256,0.153855,0.000000,0.150867,0.138851,0.167023
HAP1_chr17,0.157586,0.149236,0.146685,0.159457,0.158518,0.155270,0.151886,0.155049,0.149932,0.167939,0.145150,0.149738,0.148221,0.150278,0.153938,0.150867,0.000000,0.154231,0.164097
HAP1_chr18,0.160316,0.149682,0.159496,0.159468,0.159607,0.155875,0.155500,0.157630,0.152408,0.170162,0.146611,0.152132,0.149592,0.154179,0.156424,0.138851,0.154231,0.000000,0.167295
HAP1_chr19,0.167192,0.166737,0.171997,0.172380,0.172443,0.168769,0.158922,0.169216,0.164441,0.179122,0.161594,0.167561,0.162601,0.165363,0.167515,0.167023,0.164097,0.167295,0.000000
