unit	total_windows	n_self	n_other	n_ambiguous	n_none	pct_self	pct_other
HAPA_chr01	2368	2241	0	127	0	94.64	0.00
HAPB_chr01	2686	2418	0	268	0	90.02	0.00
HAPA_chr02	3192	3012	39	141	0	94.36	1.22
HAPB_chr02	3243	2865	1	377	0	88.34	0.03
HAPA_chr03	3029	2889	3	137	0	95.38	0.10
HAPB_chr03	3356	2980	3	373	0	88.80	0.09
HAPA_chr04	3042	2547	84	411	0	83.73	2.76
HAPB_chr04	2778	2201	3	574	0	79.23	0.11
HAPA_chr05	2856	2721	5	130	0	95.27	0.18
HAPB_chr05	2959	2580	6	373	0	87.19	0.20
HAPA_chr06	2473	2297	0	176	0	92.88	0.00
HAPB_chr06	2902	2580	2	320	0	88.90	0.07
HAPA_chr07	2976	2861	2	113	0	96.14	0.07
HAPB_chr07	2889	2406	3	480	0	83.28	0.10
