unit	win_start	win_end	a_hits	b_hits	a_frac	b_frac	assigned
HAPA_chr01	1	250000	4088	4889	0.0123	0.0098	ambiguous
HAPA_chr01	250001	500000	17407	8290	0.0524	0.0167	a
HAPA_chr01	500001	750000	30867	17083	0.0930	0.0343	a
HAPA_chr01	750001	1000000	49400	9638	0.1488	0.0194	a
HAPA_chr01	1000001	1250000	34998	8275	0.1054	0.0166	a
HAPA_chr01	1250001	1500000	10025	8089	0.0302	0.0163	ambiguous
HAPA_chr01	1500001	1750000	7807	6821	0.0235	0.0137	ambiguous
HAPA_chr01	1750001	2000000	22866	7315	0.0689	0.0147	a
HAPA_chr01	2000001	2250000	9285	6591	0.0280	0.0132	a
HAPA_chr01	2250001	2500000	14995	8120	0.0452	0.0163	a
HAPA_chr01	2500001	2750000	12374	11381	0.0373	0.0229	ambiguous
HAPA_chr01	2750001	3000000	36308	8271	0.1094	0.0166	a
HAPA_chr01	3000001	3250000	28424	6491	0.0856	0.0130	a
HAPA_chr01	3250001	3500000	32717	14136	0.0986	0.0284	a
HAPA_chr01	3500001	3750000	23134	11990	0.0697	0.0241	a
HAPA_chr01	3750001	4000000	29383	10221	0.0885	0.0205	a
HAPA_chr01	4000001	4250000	32735	14826	0.0986	0.0298	a
HAPA_chr01	4250001	4500000	11490	8284	0.0346	0.0167	a
HAPA_chr01	4500001	4750000	2346	2853	0.0071	0.0057	ambiguous
HAPA_chr01	4750001	5000000	4229	5261	0.0127	0.0106	ambiguous
HAPA_chr01	5000001	5250000	19604	8284	0.0591	0.0167	a
HAPA_chr01	5250001	5500000	20083	10476	0.0605	0.0211	a
HAPA_chr01	5500001	5750000	10767	7568	0.0324	0.0152	a
HAPA_chr01	5750001	6000000	20907	8504	0.0630	0.0171	a
HAPA_chr01	6000001	6250000	24938	10707	0.0751	0.0215	a
HAPA_chr01	6250001	6500000	27923	9429	0.0841	0.0190	a
HAPA_chr01	6500001	6750000	13557	9013	0.0408	0.0181	a
HAPA_chr01	6750001	7000000	23348	9588	0.0703	0.0193	a
HAPA_chr01	7000001	7250000	19779	11452	0.0596	0.0230	a
HAPA_chr01	7250001	7500000	17998	9056	0.0542	0.0182	a
HAPA_chr01	7500001	7750000	24869	11873	0.0749	0.0239	a
HAPA_chr01	7750001	8000000	13470	6093	0.0406	0.0122	a
HAPA_chr01	8000001	8250000	17969	10689	0.0541	0.0215	a
HAPA_chr01	8250001	8500000	22171	9603	0.0668	0.0193	a
HAPA_chr01	8500001	8750000	17353	10438	0.0523	0.0210	a
HAPA_chr01	8750001	9000000	11342	3824	0.0342	0.0077	a
HAPA_chr01	9000001	9250000	14818	9938	0.0446	0.0200	a
HAPA_chr01	9250001	9500000	26818	9071	0.0808	0.0182	a
HAPA_chr01	9500001	9750000	33119	12339	0.0998	0.0248	a
HAPA_chr01	9750001	10000000	22162	10411	0.0668	0.0209	a
HAPA_chr01	10000001	10250000	17701	10671	0.0533	0.0214	a
HAPA_chr01	10250001	10500000	14906	8367	0.0449	0.0168	a
HAPA_chr01	10500001	10750000	12350	10501	0.0372	0.0211	ambiguous
HAPA_chr01	10750001	11000000	11400	8006	0.0343	0.0161	a
HAPA_chr01	11000001	11250000	34542	12409	0.1041	0.0249	a
HAPA_chr01	11250001	11500000	18544	12249	0.0559	0.0246	a
HAPA_chr01	11500001	11750000	25139	10681	0.0757	0.0215	a
HAPA_chr01	11750001	12000000	25184	9154	0.0759	0.0184	a
HAPA_chr01	12000001	12250000	25189	9198	0.0759	0.0185	a
HAPA_chr01	12250001	12500000	26090	7586	0.0786	0.0152	a
HAPA_chr01	12500001	12750000	29624	14491	0.0893	0.0291	a
HAPA_chr01	12750001	13000000	22503	10622	0.0678	0.0214	a
HAPA_chr01	13000001	13250000	22662	8921	0.0683	0.0179	a
HAPA_chr01	13250001	13500000	13495	7004	0.0407	0.0141	a
HAPA_chr01	13500001	13750000	23956	8689	0.0722	0.0175	a
HAPA_chr01	13750001	14000000	14444	12664	0.0435	0.0255	ambiguous
HAPA_chr01	14000001	14250000	20459	13191	0.0616	0.0265	a
HAPA_chr01	14250001	14500000	17169	7991	0.0517	0.0161	a
HAPA_chr01	14500001	14750000	22737	11920	0.0685	0.0240	a
HAPA_chr01	14750001	15000000	17789	12541	0.0536	0.0252	a
HAPA_chr01	15000001	15250000	18554	9216	0.0559	0.0185	a
HAPA_chr01	15250001	15500000	12808	10540	0.0386	0.0212	ambiguous
HAPA_chr01	15500001	15750000	14911	8133	0.0449	0.0163	a
HAPA_chr01	15750001	16000000	23631	12506	0.0712	0.0251	a
HAPA_chr01	16000001	16250000	21486	10267	0.0647	0.0206	a
HAPA_chr01	16250001	16500000	17975	9303	0.0542	0.0187	a
HAPA_chr01	16500001	16750000	15998	11334	0.0482	0.0228	a
HAPA_chr01	16750001	17000000	15609	8623	0.0470	0.0173	a
HAPA_chr01	17000001	17250000	21068	8787	0.0635	0.0177	a
HAPA_chr01	17250001	17500000	22984	14873	0.0692	0.0299	a
HAPA_chr01	17500001	17750000	31477	12399	0.0948	0.0249	a
HAPA_chr01	17750001	18000000	14800	10175	0.0446	0.0205	a
HAPA_chr01	18000001	18250000	21912	12296	0.0660	0.0247	a
HAPA_chr01	18250001	18500000	22571	8025	0.0680	0.0161	a
HAPA_chr01	18500001	18750000	23064	9478	0.0695	0.0191	a
HAPA_chr01	18750001	19000000	13155	8073	0.0396	0.0162	a
HAPA_chr01	19000001	19250000	21461	11606	0.0647	0.0233	a
HAPA_chr01	19250001	19500000	23664	9460	0.0713	0.0190	a
HAPA_chr01	19500001	19750000	23203	10147	0.0699	0.0204	a
HAPA_chr01	19750001	20000000	20399	14002	0.0615	0.0281	a
HAPA_chr01	20000001	20250000	30602	11175	0.0922	0.0225	a
HAPA_chr01	20250001	20500000	26678	9772	0.0804	0.0196	a
HAPA_chr01	20500001	20750000	18946	6992	0.0571	0.0141	a
HAPA_chr01	20750001	21000000	9613	4503	0.0290	0.0091	a
HAPA_chr01	21000001	21250000	6302	5413	0.0190	0.0109	ambiguous
HAPA_chr01	21250001	21500000	14973	7994	0.0451	0.0161	a
HAPA_chr01	21500001	21750000	18867	7982	0.0568	0.0160	a
HAPA_chr01	21750001	22000000	5511	6650	0.0166	0.0134	ambiguous
HAPA_chr01	22000001	22250000	16116	7321	0.0486	0.0147	a
HAPA_chr01	22250001	22500000	24303	8781	0.0732	0.0177	a
HAPA_chr01	22500001	22750000	23389	12050	0.0705	0.0242	a
HAPA_chr01	22750001	23000000	18472	11684	0.0557	0.0235	a
HAPA_chr01	23000001	23250000	14572	6145	0.0439	0.0124	a
HAPA_chr01	23250001	23500000	17222	13185	0.0519	0.0265	ambiguous
HAPA_chr01	23500001	23750000	20181	8296	0.0608	0.0167	a
HAPA_chr01	23750001	24000000	22725	8659	0.0685	0.0174	a
HAPA_chr01	24000001	24250000	13124	5476	0.0395	0.0110	a
HAPA_chr01	24250001	24500000	18983	9990	0.0572	0.0201	a
HAPA_chr01	24500001	24750000	22224	10035	0.0670	0.0202	a
HAPA_chr01	24750001	25000000	17919	10420	0.0540	0.0209	a
HAPA_chr01	25000001	25250000	28155	8704	0.0848	0.0175	a
HAPA_chr01	25250001	25500000	23599	11286	0.0711	0.0227	a
HAPA_chr01	25500001	25750000	17517	10293	0.0528	0.0207	a
HAPA_chr01	25750001	26000000	7506	9250	0.0226	0.0186	ambiguous
HAPA_chr01	26000001	26250000	14473	11452	0.0436	0.0230	ambiguous
HAPA_chr01	26250001	26500000	29852	11604	0.0899	0.0233	a
HAPA_chr01	26500001	26750000	36065	8660	0.1087	0.0174	a
HAPA_chr01	26750001	27000000	36461	10107	0.1099	0.0203	a
HAPA_chr01	27000001	27250000	26579	7987	0.0801	0.0161	a
HAPA_chr01	27250001	27500000	30605	9088	0.0922	0.0183	a
HAPA_chr01	27500001	27750000	34820	14405	0.1049	0.0290	a
HAPA_chr01	27750001	28000000	32195	11007	0.0970	0.0221	a
HAPA_chr01	28000001	28250000	23626	10280	0.0712	0.0207	a
HAPA_chr01	28250001	28500000	20466	9555	0.0617	0.0192	a
HAPA_chr01	28500001	28750000	29570	11627	0.0891	0.0234	a
HAPA_chr01	28750001	29000000	24425	17429	0.0736	0.0350	a
HAPA_chr01	29000001	29250000	20357	10298	0.0613	0.0207	a
HAPA_chr01	29250001	29500000	26276	15886	0.0792	0.0319	a
HAPA_chr01	29500001	29750000	36862	9731	0.1111	0.0196	a
HAPA_chr01	29750001	30000000	30640	9985	0.0923	0.0201	a
HAPA_chr01	30000001	30250000	14950	12760	0.0450	0.0256	ambiguous
HAPA_chr01	30250001	30500000	23403	9467	0.0705	0.0190	a
HAPA_chr01	30500001	30750000	27370	13578	0.0825	0.0273	a
HAPA_chr01	30750001	31000000	25034	11593	0.0754	0.0233	a
HAPA_chr01	31000001	31250000	33457	9074	0.1008	0.0182	a
HAPA_chr01	31250001	31500000	23942	8487	0.0721	0.0171	a
HAPA_chr01	31500001	31750000	14645	11388	0.0441	0.0229	ambiguous
HAPA_chr01	31750001	32000000	30175	11276	0.0909	0.0227	a
HAPA_chr01	32000001	32250000	24108	10968	0.0726	0.0220	a
HAPA_chr01	32250001	32500000	23769	12539	0.0716	0.0252	a
HAPA_chr01	32500001	32750000	22386	7783	0.0674	0.0156	a
