unit	win_start	win_end	matched_side
HAPA_chr02	19250001	19500000	b
HAPA_chr02	30750001	31000000	b
HAPA_chr02	402500001	402750000	b
HAPA_chr02	402750001	403000000	b
HAPA_chr02	403000001	403250000	b
HAPA_chr02	403250001	403500000	b
HAPA_chr02	403500001	403750000	b
HAPA_chr02	403750001	404000000	b
HAPA_chr02	404000001	404250000	b
HAPA_chr02	404250001	404500000	b
HAPA_chr02	404500001	404750000	b
HAPA_chr02	404750001	405000000	b
HAPA_chr02	405000001	405250000	b
HAPA_chr02	405250001	405500000	b
HAPA_chr02	405500001	405750000	b
HAPA_chr02	405750001	406000000	b
HAPA_chr02	406250001	406500000	b
HAPA_chr02	406500001	406750000	b
HAPA_chr02	407250001	407500000	b
HAPA_chr02	407750001	408000000	b
HAPA_chr02	408500001	408750000	b
HAPA_chr02	409000001	409250000	b
HAPA_chr02	409250001	409500000	b
HAPA_chr02	409500001	409750000	b
HAPA_chr02	409750001	410000000	b
HAPA_chr02	410500001	410750000	b
HAPA_chr02	410750001	411000000	b
HAPA_chr02	411000001	411250000	b
HAPA_chr02	411250001	411500000	b
HAPA_chr02	411500001	411750000	b
HAPA_chr02	411750001	412000000	b
HAPA_chr02	412000001	412250000	b
HAPA_chr02	412250001	412500000	b
HAPA_chr02	412500001	412750000	b
HAPA_chr02	412750001	413000000	b
HAPA_chr02	794000001	794250000	b
HAPA_chr02	794250001	794500000	b
HAPA_chr02	794500001	794750000	b
HAPA_chr02	797750001	797885371	b
HAPB_chr02	31500001	31750000	a
HAPA_chr03	233250001	233500000	b
HAPA_chr03	749250001	749500000	b
HAPA_chr03	755000001	755250000	b
HAPB_chr03	719500001	719750000	a
HAPB_chr03	719750001	720000000	a
HAPB_chr03	720000001	720250000	a
HAPA_chr04	609250001	609500000	b
HAPA_chr04	609500001	609750000	b
HAPA_chr04	618750001	619000000	b
HAPA_chr04	651750001	652000000	b
HAPA_chr04	652250001	652500000	b
HAPA_chr04	652750001	653000000	b
HAPA_chr04	653000001	653250000	b
HAPA_chr04	653500001	653750000	b
HAPA_chr04	653750001	654000000	b
HAPA_chr04	654000001	654250000	b
HAPA_chr04	657250001	657500000	b
HAPA_chr04	657500001	657750000	b
HAPA_chr04	657750001	658000000	b
HAPA_chr04	658500001	658750000	b
HAPA_chr04	659250001	659500000	b
HAPA_chr04	659500001	659750000	b
HAPA_chr04	661000001	661250000	b
HAPA_chr04	661500001	661750000	b
HAPA_chr04	661750001	662000000	b
HAPA_chr04	662000001	662250000	b
HAPA_chr04	662250001	662500000	b
HAPA_chr04	664250001	664500000	b
HAPA_chr04	665000001	665250000	b
HAPA_chr04	665250001	665500000	b
HAPA_chr04	666250001	666500000	b
HAPA_chr04	668000001	668250000	b
HAPA_chr04	669000001	669250000	b
HAPA_chr04	670500001	670750000	b
HAPA_chr04	670750001	671000000	b
HAPA_chr04	671000001	671250000	b
HAPA_chr04	672500001	672750000	b
HAPA_chr04	673250001	673500000	b
HAPA_chr04	673500001	673750000	b
HAPA_chr04	676750001	677000000	b
HAPA_chr04	677500001	677750000	b
HAPA_chr04	678000001	678250000	b
HAPA_chr04	678250001	678500000	b
HAPA_chr04	678500001	678750000	b
HAPA_chr04	678750001	679000000	b
HAPA_chr04	679000001	679250000	b
HAPA_chr04	679750001	680000000	b
HAPA_chr04	680000001	680250000	b
HAPA_chr04	680250001	680500000	b
HAPA_chr04	680500001	680750000	b
HAPA_chr04	680750001	681000000	b
HAPA_chr04	681000001	681250000	b
HAPA_chr04	682250001	682500000	b
HAPA_chr04	682500001	682750000	b
HAPA_chr04	682750001	683000000	b
HAPA_chr04	683000001	683250000	b
HAPA_chr04	683250001	683500000	b
HAPA_chr04	686000001	686250000	b
HAPA_chr04	688500001	688750000	b
HAPA_chr04	692250001	692500000	b
HAPA_chr04	692500001	692750000	b
HAPA_chr04	693000001	693250000	b
HAPA_chr04	694500001	694750000	b
HAPA_chr04	695250001	695500000	b
HAPA_chr04	696250001	696500000	b
HAPA_chr04	696750001	697000000	b
HAPA_chr04	697250001	697500000	b
HAPA_chr04	697500001	697750000	b
HAPA_chr04	700000001	700250000	b
HAPA_chr04	700750001	701000000	b
HAPA_chr04	701500001	701750000	b
HAPA_chr04	703000001	703250000	b
HAPA_chr04	703250001	703500000	b
HAPA_chr04	703500001	703750000	b
HAPA_chr04	710250001	710500000	b
HAPA_chr04	712250001	712500000	b
HAPA_chr04	713250001	713500000	b
HAPA_chr04	715000001	715250000	b
HAPA_chr04	715500001	715750000	b
HAPA_chr04	716000001	716250000	b
HAPA_chr04	718500001	718750000	b
HAPA_chr04	723750001	724000000	b
HAPA_chr04	724250001	724500000	b
HAPA_chr04	734500001	734750000	b
HAPA_chr04	734750001	735000000	b
HAPA_chr04	735000001	735250000	b
HAPA_chr04	741250001	741500000	b
HAPA_chr04	752250001	752500000	b
HAPA_chr04	759750001	760000000	b
HAPA_chr04	760000001	760250000	b
HAPB_chr04	3000001	3250000	a
HAPB_chr04	9250001	9500000	a
HAPB_chr04	21750001	22000000	a
HAPA_chr05	1	250000	b
HAPA_chr05	250001	500000	b
HAPA_chr05	32750001	33000000	b
HAPA_chr05	506500001	506750000	b
HAPA_chr05	506750001	507000000	b
HAPB_chr05	76250001	76500000	a
HAPB_chr05	165250001	165500000	a
HAPB_chr05	226750001	227000000	a
HAPB_chr05	330750001	331000000	a
HAPB_chr05	331000001	331250000	a
HAPB_chr05	331250001	331500000	a
HAPB_chr06	9750001	10000000	a
HAPB_chr06	287250001	287500000	a
HAPA_chr07	1	250000	b
HAPA_chr07	702500001	702750000	b
HAPB_chr07	1	250000	a
HAPB_chr07	250001	500000	a
HAPB_chr07	500001	750000	a
