chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	4	0.018136	chr14	0.102177	-5.785	7.05666e-08	6.36
chr02	4	0.012637	chr03	0.095103	-10.948	0	7.43
chr03	4	0.012969	chr02	0.095103	-10.948	0	7.43
chr04	4	0.020084	chr08	0.095173	-10.896	0	6.35
chr05	4	0.013373	chr10	0.096679	-9.797	0	7.34
chr06	4	0.015819					
chr07	4	0.024403	chr12	0.098874	-8.195	3.77476e-15	5.09
chr08	4	0.009901	chr04	0.095173	-10.896	0	6.35
chr09	4	0.013339	chr17	0.100822	-6.774	1.42459e-10	7.90
chr10	4	0.012979	chr05	0.096679	-9.797	0	7.34
chr11	4	0.011082	chr15	0.099396	-7.814	7.54952e-14	8.68
chr12	4	0.014428	chr07	0.098874	-8.195	3.77476e-15	5.09
chr13	4	0.013366	chr16	0.102479	-5.564	2.24037e-07	8.10
chr14	4	0.014005	chr01	0.102177	-5.785	7.05666e-08	6.36
chr15	4	0.011810	chr11	0.099396	-7.814	7.54952e-14	8.68
chr16	4	0.011950	chr13	0.102479	-5.564	2.24037e-07	8.10
chr17	4	0.012171	chr09	0.100822	-6.774	1.42459e-10	7.90
