chrom	group_a	group_b	n_within	n_cross	within_te_marker_fraction	cross_te_marker_fraction	split_ratio	flagged_units
chr01	HAP3_chr01	HAP4_chr01,HAP1_chr01,HAP2_chr01	3	3	0.103039	0.126382	1.23	
chr02	HAP1_chr02,HAP3_chr02	HAP4_chr02,HAP2_chr02	2	4	0.103624	0.108781	1.05	
chr03	HAP1_chr03,HAP4_chr03	HAP3_chr03,HAP2_chr03	2	4	0.126071	0.126842	1.01	
chr04	HAP1_chr04	HAP4_chr04,HAP2_chr04,HAP3_chr04	3	3	0.113212	0.102500	0.91	
chr05	HAP1_chr05	HAP3_chr05,HAP2_chr05,HAP4_chr05	3	3	0.113322	0.108133	0.95	
chr06	HAP2_chr06,HAP1_chr06,HAP3_chr06	HAP4_chr06	3	3	0.151726	0.151433	1.00	
chr07	HAP3_chr07,HAP2_chr07	HAP4_chr07,HAP1_chr07	2	4	0.121403	0.118630	0.98	
chr08	HAP1_chr08,HAP2_chr08,HAP3_chr08	HAP4_chr08	3	3	0.119830	0.140767	1.17	
chr09	HAP1_chr09	HAP3_chr09,HAP2_chr09,HAP4_chr09	3	3	0.135394	0.145070	1.07	
chr10	HAP1_chr10,HAP3_chr10	HAP2_chr10,HAP4_chr10	2	4	0.141792	0.168980	1.19	
chr11	HAP2_chr11	HAP4_chr11,HAP1_chr11,HAP3_chr11	3	3	0.144533	0.153495	1.06	
